정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1007,벡터 매칭
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1027,고층 건물
true,1038,감소하는 수
true,1039,교환
true,1043,거짓말
true,1051,숫자 정사각형
true,1062,가르침
true,1065,한수
true,1081,합
true,1083,소트
true,1092,배
true,1094,막대기
true,1099,알 수 없는 문장
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1132,합
true,1149,RGB거리
true,1152,단어의 개수
true,1153,네 개의 소수
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1182,부분수열의 합
true,1195,킥다운
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1219,오민식의 고민
true,1238,파티
true,1240,노드사이의 거리
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1276,교각 놓기
true,1300,K번째 수
true,1328,고층 빌딩
true,1339,단어 수학
true,1342,행운의 문자열
true,1344,축구
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1377,버블 소트
true,1406,에디터
true,1427,소트인사이드
true,1463,1로 만들기
true,1484,다이어트
true,1485,정사각형
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1561,놀이 공원
true,1563,개근상
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1655,가운데를 말해요
true,1670,정상 회담 2
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1708,볼록 껍질
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1719,택배
true,1720,타일 코드
true,1722,순열의 순서
true,1726,로봇
true,1727,커플 만들기
true,1735,분수 합
true,1744,수 묶기
true,1747,소수&팰린드롬
true,1753,최단경로
true,1759,암호 만들기
true,1766,문제집
true,1774,우주신과의 교감
true,1786,찾기
true,1799,비숍
true,1806,부분합
true,1826,연료 채우기
true,1837,암호제작
true,1838,버블 정렬
true,1850,최대공약수
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1874,스택 수열
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1944,복제 로봇
true,1947,선물 전달
true,1956,운동
true,1958,LCS 3
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1983,숫자 박스
true,1987,알파벳
true,1992,쿼드트리
true,2003,수들의 합 2
true,2014,소수의 곱
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2056,작업
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2109,순회강연
true,2116,주사위 쌓기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2151,거울 설치
true,2156,포도주 시식
true,2157,여행
true,2159,케익 배달
true,2162,선분 그룹
true,2166,다각형의 면적
true,2170,선 긋기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2194,유닛 이동시키기
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2212,센서
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2230,수 고르기
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2263,트리의 순회
true,2266,금고 테스트
true,2281,데스노트
true,2291,Sequence
true,2292,벌집
true,2293,동전 1
true,2300,기지국
true,2306,유전자
true,2309,일곱 난쟁이
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2437,저울
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2448,별 찍기 - 11
true,2449,전구
true,2455,지능형 기차
true,2457,공주님의 정원
true,2458,키 순서
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2473,세 용액
true,2479,경로 찾기
true,2481,해밍 경로
true,2482,색상환
true,2487,섞기 수열
true,2493,탑
true,2504,괄호의 값
true,2513,통학버스
true,2515,전시장
true,2533,사회망 서비스(SNS)
true,2551,두 대표 자연수
true,2557,Hello World
true,2560,짚신벌레
true,2568,전깃줄 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2591,숫자카드
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2616,소형기관차
true,2618,경찰차
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2631,줄세우기
true,2636,치즈
true,2637,장난감조립
true,2638,치즈
true,2643,색종이 올려 놓기
true,2655,가장높은탑쌓기
true,2660,회장뽑기
true,2661,좋은수열
true,2662,기업투자
true,2665,미로만들기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2671,잠수함식별
true,2688,줄어들지 않아
true,2696,중앙값 구하기
true,2698,인접한 비트의 개수
true,2718,타일 채우기
true,2725,보이는 점의 개수
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2805,나무 자르기
true,2824,최대공약수
true,2839,설탕 배달
true,2887,행성 터널
true,2904,수학은 너무 쉬워
true,2916,자와 각도기
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2981,검문
true,3020,개똥벌레
true,3033,가장 긴 문자열
true,3055,탈출
true,3108,로고
true,3109,빵집
true,3117,YouTube
true,3176,도로 네트워크
true,3190,뱀
true,3425,고스택
true,3584,가장 가까운 공통 조상
true,3649,로봇 프로젝트
true,3745,오름세
true,3860,할로윈 묘지
true,3954,Brainf**k 인터프리터
true,3980,선발 명단
true,4179,불!
true,4195,친구 네트워크
true,4256,트리
true,4344,평균은 넘겠지
true,4358,생태학
true,4375,1
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4811,알약
true,4948,베르트랑 공준
true,4991,로봇 청소기
true,5014,스타트링크
true,5015,ls
true,5052,전화번호 목록
true,5213,과외맨
true,5397,키로거
true,5427,불
true,5430,AC
true,5502,팰린드롬
true,5525,IOIOI
true,5557,1학년
true,5568,카드 놓기
true,5569,출근 경로
true,5573,산책
true,5582,공통 부분 문자열
true,5626,제단
true,5719,거의 최단 경로
true,5721,사탕 줍기 대회
true,6064,카잉 달력
true,6087,레이저 통신
true,6118,숨바꼭질
true,6416,트리인가?
true,6439,교차
true,6443,애너그램
true,6497,전력난
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,7287,등록
true,7432,디스크 트리
true,7453,합이 0인 네 정수
true,7569,토마토
true,7570,줄 세우기
true,7573,고기잡이
true,7576,토마토
true,7579,앱
true,7662,이중 우선순위 큐
true,8895,막대 배치
true,8980,택배
true,8982,수족관 1
true,8983,사냥꾼
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9207,페그 솔리테어
true,9251,LCS
true,9252,LCS 2
true,9370,미확인 도착지
true,9461,파도반 수열
true,9466,텀 프로젝트
true,9470,Strahler 순서
true,9498,시험 성적
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,9935,문자열 폭발
true,10026,적록색약
true,10159,저울
true,10216,Count Circle Groups
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10255,교차점
true,10282,해킹
true,10422,괄호
true,10451,순열 사이클
true,10538,빅 픽쳐
true,10610,30
true,10711,모래성
true,10799,쇠막대기
true,10803,정사각형 만들기
true,10814,나이순 정렬
true,10817,세 수
true,10828,스택
true,10830,행렬 제곱
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10993,별 찍기 - 18
true,11000,강의실 배정
true,11004,K번째 수
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11054,가장 긴 바이토닉 부분 수열
true,11062,카드 게임
true,11066,파일 합치기
true,11266,단절점
true,11400,단절선
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11509,풍선 맞추기
true,11559,Puyo Puyo
true,11562,백양로 브레이크
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11657,타임머신
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11758,CCW
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,11967,불켜기
true,12015,가장 긴 증가하는 부분 수열 2
true,12094,2048 (Hard)
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12785,토쟁이의 등굣길
true,12849,본대 산책
true,12851,숨바꼭질 2
true,12869,뮤탈리스크
true,12886,돌 그룹
true,12899,데이터 구조
true,12996,Acka
true,13023,ABCDE
true,13241,최소공배수
true,13251,조약돌 꺼내기
true,13325,이진 트리
true,13334,철로
true,13398,연속합 2
true,13418,학교 탐방하기
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13560,축구 게임
true,13701,중복 제거
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14225,부분수열의 합
true,14226,이모티콘
true,14238,출근 기록
true,14391,종이 조각
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14716,현수막
true,14728,벼락치기
true,14863,서울에서 경산까지
true,14864,줄서기
true,14867,물통
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14938,서강그라운드
true,15649,N과 M (1)
true,15653,구슬 탈출 4
true,15661,링크와 스타트
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15971,두 로봇
true,16137,견우와 직녀
true,16197,두 동전
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16288,Passport Control
true,16397,탈출
true,16562,친구비
true,16637,괄호 추가하기
true,16917,양념 반 후라이드 반
true,16918,봄버맨
true,16929,Two Dots
true,16938,캠프 준비
true,16946,벽 부수고 이동하기 4
true,16947,서울 지하철 2호선
true,16953,A → B
true,16954,움직이는 미로 탈출
true,16985,Maaaaaaaaaze
true,16988,Baaaaaaaaaduk2 (Easy)
true,16989,Baaaaaaaaaduk2 (Hard)
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17073,나무 위의 빗물
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17244,아맞다우산
true,17281,⚾
true,17298,오큰수
true,17299,오등큰수
true,17386,선분 교차 1
true,17404,RGB거리 2
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17612,쇼핑몰
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
true,18500,미네랄 2
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
false,2436,공약수
false,6549,히스토그램에서 가장 큰 직사각형
false,11279,최대 힙
false,11444,피보나치 수 6
false,12850,본대 산책2
