정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1065,한수
true,1074,Z
true,1085,직사각형에서 탈출
true,1110,더하기 사이클
true,1135,뉴스 전하기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1167,트리의 지름
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1269,대칭 차집합
true,1275,커피숍2
true,1300,K번째 수
true,1305,광고
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1327,소트 게임
true,1339,단어 수학
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1449,수리공 항승
true,1456,거의 소수
true,1463,1로 만들기
true,1475,방 번호
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1541,잃어버린 괄호
true,1546,평균
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1623,신년 파티
true,1629,곱셈
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1708,볼록 껍질
true,1717,집합의 표현
true,1725,히스토그램
true,1726,로봇
true,1730,판화
true,1738,골목길
true,1743,음식물 피하기
true,1747,소수&팰린드롬
true,1753,최단경로
true,1761,정점들의 거리
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1799,비숍
true,1865,웜홀
true,1893,시저 암호
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1948,임계경로
true,1949,우수 마을
true,1956,운동
true,1958,LCS 3
true,1965,상자넣기
true,1969,DNA
true,1976,여행 가자
true,1978,소수 찾기
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2042,구간 합 구하기
true,2064,IP 주소
true,2075,N번째 큰 수
true,2086,피보나치 수의 합
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2212,센서
true,2213,트리의 독립집합
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2243,사탕상자
true,2252,줄 세우기
true,2254,감옥 건설
true,2268,수들의 합
true,2290,LCD Test
true,2292,벌집
true,2294,동전 2
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2357,최솟값과 최댓값
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2477,참외밭
true,2478,자물쇠
true,2479,경로 찾기
true,2480,주사위 세개
true,2484,주사위 네개
true,2490,윷놀이
true,2491,수열
true,2492,보석
true,2493,탑
true,2494,숫자 맞추기
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2505,두 번 뒤집기
true,2512,예산
true,2517,달리기
true,2522,별 찍기 - 12
true,2529,부등호
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2590,색종이
true,2591,숫자카드
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2611,자동차경주
true,2621,카드게임
true,2623,음악프로그램
true,2630,색종이 만들기
true,2637,장난감조립
true,2644,촌수계산
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2805,나무 자르기
true,2839,설탕 배달
true,2848,알고스팟어
true,2864,5와 6의 차이
true,2867,수열의 값
true,2887,행성 터널
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,3006,터보소트
true,3009,네 번째 점
true,3055,탈출
true,3085,사탕 게임
true,3117,YouTube
true,3190,뱀
true,3197,백조의 호수
true,3665,최종 순위
true,3745,오름세
true,3780,네트워크 연결
true,3793,Common Subsequence
true,3896,소수 사이 수열
true,4153,직각삼각형
true,4195,친구 네트워크
true,4198,열차정렬
true,4344,평균은 넘겠지
true,4354,문자열 제곱
true,4358,생태학
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4948,베르트랑 공준
true,5014,스타트링크
true,5052,전화번호 목록
true,5214,환승
true,5338,마이크로소프트 로고
true,5427,불
true,5430,AC
true,5525,IOIOI
true,5622,다이얼
true,5670,휴대폰 자판
true,5676,음주 코딩
true,5913,준규와 사과
true,6118,숨바꼭질
true,6198,옥상 정원 꾸미기
true,6236,용돈 관리
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6850,Cows
true,7287,등록
true,7420,맹독 방벽
true,7562,나이트의 이동
true,7576,토마토
true,7578,공장
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9037,The candy war
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9240,로버트 후드
true,9251,LCS
true,9252,LCS 2
true,9253,스페셜 저지
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9421,소수상근수
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9470,Strahler 순서
true,9471,피사노 주기
true,9498,시험 성적
true,9527,1의 개수 세기
true,9663,N-Queen
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10172,개
true,10250,ACM 호텔
true,10430,나머지
true,10448,유레카 이론
true,10473,인간 대포
true,10539,수빈이와 수열
true,10597,순열장난
true,10718,We love kriii
true,10769,행복한지 슬픈지
true,10773,제로
true,10775,공항
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,11000,강의실 배정
true,11003,최솟값 찾기
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11085,군사 이동
true,11279,최대 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11562,백양로 브레이크
true,11568,민균이의 계략
true,11585,속타는 저녁 메뉴
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11657,타임머신
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12781,PIZZA ALVOLOC
true,12790,Mini Fantasy War
true,12791,Starman
true,12837,가계부 (Hard)
true,12865,평범한 배낭
true,13168,내일로 여행
true,13392,방법을 출력하지 않는 숫자 맞추기
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13772,Holes
true,13904,과제
true,14002,가장 긴 증가하는 부분 수열 4
true,14418,Three Square
true,14425,문자열 집합
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14620,꽃길
true,14868,문명
true,14942,개미
true,15422,Bumped!
true,15459,Haybale Feast
true,15552,빠른 A+B
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15681,트리와 쿼리
true,15732,도토리 숨기기
true,15748,Rest Stops
true,15802,타노스
true,15927,회문은 회문아니야!!
true,15953,상금 헌터
true,15969,행복
true,15970,화살표 그리기
true,16198,에너지 모으기
true,16205,변수명
true,16434,드래곤 앤 던전
true,16461,듀얼 채널 VHF 무전기
true,16463,13일의 금요일
true,16470,A Homogeneous Country
true,16471,작은 수 내기
true,16472,고냥이
true,16500,문자열 판별
true,16503,괄호 없는 사칙연산
true,16504,종이접기
true,16562,친구비
true,16637,괄호 추가하기
true,16673,고려대학교에는 공식 와인이 있다
true,16674,2018년을 되돌아보며
true,16676,근우의 다이어리 꾸미기
true,16769,Mixing Milk
true,16920,확장 게임
true,16956,늑대와 양
true,17070,파이프 옮기기 1
true,17072,아스키 아트
true,17204,죽음의 게임
true,17224,APC는 왜 서브태스크 대회가 되었을까?
true,17225,세훈이의 선물가게
true,17269,이름궁합 테스트
true,17293,맥주 99병
true,17298,오큰수
true,17299,오등큰수
true,17389,보너스 점수
true,17398,통신망 분할
true,17403,가장 높고 넓은 성
true,17413,단어 뒤집기 2
true,17435,합성함수와 쿼리
true,17509,And the Winner Is... Ourselves!
false,1280,나무 심기
false,7476,최대 공통 증가 수열
