정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1065,한수
true,1074,Z
true,1080,행렬
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1305,광고
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1344,축구
true,1359,복권
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1406,에디터
true,1427,소트인사이드
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1479,네 부분문자열
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1546,평균
true,1550,16진수
true,1555,소수 만들기
true,1561,놀이 공원
true,1629,곱셈
true,1644,소수의 연속합
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1657,두부장수 장홍준
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1707,이분 그래프
true,1717,집합의 표현
true,1720,타일 코드
true,1722,순열의 순서
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1806,부분합
true,1855,암호
true,1890,점프
true,1912,연속합
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1939,중량제한
true,1956,운동
true,1963,소수 경로
true,1967,트리의 지름
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2011,암호코드
true,2022,사다리
true,2042,구간 합 구하기
true,2056,작업
true,2089,-2진수
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2156,포도주 시식
true,2160,그림 비교
true,2178,미로 탐색
true,2193,이친수
true,2225,합분해
true,2228,구간 나누기
true,2240,자두나무
true,2251,물통
true,2252,줄 세우기
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2475,검증수
true,2480,주사위 세개
true,2490,윷놀이
true,2506,점수계산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2587,대표값2
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2632,피자판매
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2823,유턴 싫어
true,2839,설탕 배달
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,3015,오아시스 재결합
true,3036,링
true,3046,R2
true,3231,카드놀이
true,4344,평균은 넘겠지
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4963,섬의 개수
true,5052,전화번호 목록
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5397,키로거
true,5565,영수증
true,5582,공통 부분 문자열
true,5612,터널의 입구와 출구
true,5622,다이얼
true,5671,호텔 방 번호
true,6086,최대 유량
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7576,토마토
true,7785,회사에 있는 사람
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9226,도깨비말
true,9248,Suffix Array
true,9250,문자열 집합 판별
true,9251,LCS
true,9316,Hello Judge
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9613,GCD 합
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,9935,문자열 폭발
true,10039,평균 점수
true,10171,고양이
true,10172,개
true,10256,돌연변이
true,10430,나머지
true,10451,순열 사이클
true,10539,수빈이와 수열
true,10540,KLOPKA
true,10610,30
true,10718,We love kriii
true,10797,10부제
true,10799,쇠막대기
true,10801,카드게임
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10830,행렬 제곱
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10943,랜덤 게임~
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10986,나머지 합
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11279,최대 힙
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11444,피보나치 수 6
true,11478,서로 다른 부분 문자열의 개수
true,11479,서로 다른 부분 문자열의 개수 2
true,11506,占쏙옙
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11867,박스 나누기 게임
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11966,2의 제곱인가?
true,12101,"1, 2, 3 더하기 2"
true,12104,순환 순열
true,12767,Ceiling Function
true,12960,체스판
true,13250,주사위 게임
true,13264,접미사 배열 2
true,13458,시험 감독
true,13505,두 수 XOR
true,14389,4블록
true,14426,접두사 찾기
true,14438,수열과 쿼리 17
true,14440,정수 수열
true,14499,주사위 굴리기
true,14501,퇴사
true,14502,연구소
true,14581,팬들에게 둘러싸인 홍준
true,14645,와이버스 부릉부릉
true,14710,고장난 시계
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,15552,빠른 A+B
true,15680,연세대학교
true,15688,수 정렬하기 5
true,15953,상금 헌터
true,15954,인형들
true,15963,CASIO
true,15969,행복
true,15970,화살표 그리기
true,15971,두 로봇
true,15973,두 박스
true,15975,화살표 그리기
true,16208,귀찮음
true,16209,수열 섞기
true,16210,DSHS Bank
true,16211,백채원
true,16212,정열적인 정렬
true,16430,제리와 톰
true,16719,ZOAC
true,16724,피리 부는 사나이
true,16876,재미있는 숫자 게임
false,15976,XCorr
