정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1057,토너먼트
true,1062,가르침
true,1063,킹
true,1065,한수
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1331,나이트 투어
true,1333,부재중 전화
true,1357,뒤집힌 덧셈
true,1369,배열값
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1407,2로 몇 번 나누어질까
true,1427,소트인사이드
true,1448,삼각형 만들기
true,1463,1로 만들기
true,1476,날짜 계산
true,1495,기타리스트
true,1520,내리막 길
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1562,계단 수
true,1568,새
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1735,분수 합
true,1743,음식물 피하기
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1789,수들의 합
true,1813,마지막 한마디
true,1822,차집합
true,1834,나머지와 몫이 같은 수
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1965,상자넣기
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2010,플러그
true,2011,암호코드
true,2042,구간 합 구하기
true,2092,집합의 개수
true,2098,외판원 순회
true,2133,타일 채우기
true,2146,다리 만들기
true,2153,소수 단어
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2251,물통
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2344,거울
true,2352,반도체 설계
true,2355,시그마
true,2410,2의 멱수의 합
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2458,키 순서
true,2460,지능형 기차 2
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2506,점수계산
true,2525,오븐 시계
true,2530,인공지능 시계
true,2553,마지막 팩토리얼 수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2566,최댓값
true,2577,숫자의 개수
true,2579,계단 오르기
true,2583,영역 구하기
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2624,동전 바꿔주기
true,2631,줄세우기
true,2643,색종이 올려 놓기
true,2665,미로만들기
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2688,줄어들지 않아
true,2703,Cryptoquote
true,2729,이진수 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2753,윤년
true,2776,암기왕
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2810,컵홀더
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2870,수학숙제
true,2875,대회 or 인턴
true,2890,카약
true,2920,음계
true,2921,도미노
true,2935,소음
true,2937,블록 정리
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2980,도로와 신호등
true,2985,세 수
true,2997,네 번째 수
true,2998,8진수
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3028,창영마을
true,3034,앵그리 창영
true,3046,R2
true,3047,ABC
true,3048,개미
true,3055,탈출
true,3085,사탕 게임
true,3449,해밍 거리
true,3758,KCPC
true,3943,헤일스톤 수열
true,4101,크냐?
true,4159,알래스카
true,4307,개미
true,4344,평균은 넘겠지
true,4378,트ㅏㅊ;
true,4383,점프는 즐거워
true,4592,중복을 없애자
true,4597,패리티
true,4669,Robot Motion
true,4670,Booklet Printing
true,4673,셀프 넘버
true,4674,Do the Untwist
true,4883,삼각 그래프
true,5014,스타트링크
true,5015,ls
true,5063,TGN
true,5073,삼각형과 세 변
true,5347,LCM
true,5397,키로거
true,5502,팰린드롬
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5582,공통 부분 문자열
true,5596,시험 점수
true,5598,카이사르 암호
true,5622,다이얼
true,5635,생일
true,5656,비교 연산자
true,5666,Hot Dogs
true,5717,상근이의 친구들
true,6005,Cow Pinball
true,6064,카잉 달력
true,6081,Hay Expenses
true,6322,직각 삼각형의 두 변
true,6356,Robot
true,6359,만취한 상범
true,6588,골드바흐의 추측
true,6996,애너그램
true,7287,등록
true,7569,토마토
true,8393,합
true,8932,7종 경기
true,8958,OX퀴즈
true,9012,괄호
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9177,단어 섞기
true,9184,신나는 함수 실행
true,9251,LCS
true,9295,주사위
true,9316,Hello Judge
true,9325,얼마?
true,9366,삼각형 분류
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9655,돌 게임
true,9663,N-Queen
true,9935,문자열 폭발
true,9987,포켓몬 마스터
true,10026,적록색약
true,10039,평균 점수
true,10157,자리배정
true,10159,저울
true,10163,색종이
true,10164,격자상의 경로
true,10172,개
true,10173,니모를 찾아서
true,10174,팰린드롬
true,10178,할로윈의 사탕
true,10205,헤라클레스와 히드라
true,10214,Baseball
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10252,그리드 그래프
true,10253,헨리
true,10430,나머지
true,10451,순열 사이클
true,10698,Ahmed Aly
true,10757,큰 수 A+B
true,10784,Amalgamated Artichokes
true,10797,10부제
true,10804,카드 역배치
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10821,정수의 개수
true,10824,네 수
true,10828,스택
true,10833,사과
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10845,큐
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11025,요세푸스 문제 3
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11062,카드 게임
true,11066,파일 합치기
true,11067,모노톤길
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11170,0의 개수
true,11179,2진수 뒤집기
true,11262,Minions’ Master
true,11279,최대 힙
true,11286,절댓값 힙
true,11312,삼각 무늬 - 2
true,11320,삼각 무늬 - 1
true,11382,꼬마 정민
true,11383,뚊
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11477,Lucky Chances
true,11497,통나무 건너뛰기
true,11501,주식
true,11502,세 개의 소수 문제
true,11536,줄 세우기
true,11559,Puyo Puyo
true,11571,분수를 소수로
true,11586,지영 공주님의 마법 거울
true,11613,ASCII Addition
true,11650,좌표 정렬하기
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11784,Hex Code
true,11800,Tawla
true,11816,"8진수, 10진수, 16진수"
true,11921,0.1
true,11931,수 정렬하기 4
true,11945,뜨거운 붕어빵
true,11948,과목선택
true,11966,2의 제곱인가?
true,12015,가장 긴 증가하는 부분 수열 2
true,12738,가장 긴 증가하는 부분 수열 3
true,12790,Mini Fantasy War
true,12791,Starman
true,12793,블록 게임
true,13118,뉴턴과 사과
true,13129,Disposable Cup
true,13133,Aurora Princess
true,13137,Exchange Problem
true,13140,Hello World!
true,13147,Dwarves
true,13297,Quick Estimates
true,13301,타일 장식물
true,13335,트럭
true,13410,거꾸로 구구단
true,13411,하늘에서 정의가 빗발친다!
true,13412,서로소 쌍
true,13413,오셀로 재배치
true,13414,수강신청
true,13416,주식 투자
true,13417,카드 문자열
true,13418,학교 탐방하기
true,13419,탕수육
true,13420,사칙연산
true,13422,도둑
true,13423,Three Dots
true,13424,비밀 모임
true,13699,점화식
true,13701,중복 제거
true,13702,이상한 술집
true,13757,빼빼로 데이
true,13900,순서쌍의 곱의 합
true,13901,로봇
true,14495,피보나치 비스무리한 수열
true,14716,현수막
true,14721,성적표
true,14723,이산수학 과제
true,14724,관리자는 누구?
true,14888,연산자 끼워넣기
false,1005,ACM Craft
false,1013,Contact
false,1020,디지털 카운터
false,1027,고층 건물
false,1036,36진수
false,1215,잘못 작성한 요세푸스 코드
false,1280,나무 심기
false,1321,군인
false,1376,민식우선탐색
false,1557,제곱 ㄴㄴ
false,1564,팩토리얼5
false,1657,두부장수 장홍준
false,1799,비숍
false,1958,LCS 3
false,1981,배열에서 이동
false,2096,내려가기
false,2151,거울 설치
false,2157,여행
false,2240,자두나무
false,2452,그리드 게임
false,2532,먹이사슬
false,2580,스도쿠
false,2590,색종이
false,2611,자동차경주
false,2820,자동차 공장
false,2849,탭댄스
false,2873,롤러코스터
false,3955,캔디 분배
false,4384,공평하게 팀 나누기
false,4781,사탕 가게
false,6137,문자열 생성
false,7469,K번째 수
false,9240,로버트 후드
false,9560,Dice on a Board
false,10251,운전 면허 시험
false,10800,컬러볼
false,10835,카드게임
false,11493,동전 교환
false,11664,선분과 점
false,11781,퇴근 시간
false,11812,K진 트리
false,13415,정렬 게임
false,13421,국민 랜드
false,13532,악마의 수열
