정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1019,책 페이지
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1041,주사위
true,1042,움
true,1049,기타줄
true,1051,숫자 정사각형
true,1053,팰린드롬 공장
true,1057,토너먼트
true,1058,친구
true,1064,평행사변형
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1081,합
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1105,팔
true,1109,섬
true,1110,더하기 사이클
true,1132,합
true,1138,한 줄로 서기
true,1147,텐트
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1246,온라인 판매
true,1248,맞춰봐
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1263,시간 관리
true,1269,대칭 차집합
true,1285,동전 뒤집기
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1316,그룹 단어 체커
true,1322,X와 K
true,1328,고층 빌딩
true,1343,폴리오미노
true,1350,진짜 공간
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1395,스위치
true,1399,보물의 위치
true,1402,아무래도이문제는A번난이도인것같다
true,1405,미친 로봇
true,1407,2로 몇 번 나누어질까
true,1408,24
true,1424,새 앨범
true,1436,영화감독 숌
true,1463,1로 만들기
true,1464,뒤집기 3
true,1475,방 번호
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1520,내리막 길
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1527,금민수의 개수
true,1543,문서 검색
true,1548,부분 삼각 수열
true,1550,16진수
true,1562,계단 수
true,1563,개근상
true,1629,곱셈
true,1644,소수의 연속합
true,1660,캡틴 이다솜
true,1662,압축
true,1695,팰린드롬 만들기
true,1708,볼록 껍질
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1731,추론
true,1735,분수 합
true,1744,수 묶기
true,1753,최단경로
true,1754,진영 순열
true,1758,알바생 강호
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1781,컵라면
true,1783,병든 나이트
true,1789,수들의 합
true,1806,부분합
true,1818,책정리
true,1821,수들의 합
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1908,곱셈 전개식
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1920,수 찾기
true,1924,2007년
true,1925,삼각형
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1947,선물 전달
true,1965,상자넣기
true,1966,프린터 큐
true,1978,소수 찾기
true,1987,알파벳
true,1990,소수인팰린드롬
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2042,구간 합 구하기
true,2079,팰린드롬
true,2087,암호문
true,2096,내려가기
true,2098,외판원 순회
true,2109,순회강연
true,2112,두 부분 문자열
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2160,그림 비교
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2178,미로 탐색
true,2185,직사각형의 합집합
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2230,수 고르기
true,2239,스도쿠
true,2240,자두나무
true,2257,화학식량
true,2258,정육점
true,2293,동전 1
true,2294,동전 2
true,2295,세 수의 합
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2355,시그마
true,2357,최솟값과 최댓값
true,2358,평행선
true,2399,거리의 합
true,2420,사파리월드
true,2435,기상청 인턴 신현수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2456,나는 학급회장이다
true,2460,지능형 기차 2
true,2468,안전 영역
true,2470,두 용액
true,2475,검증수
true,2490,윷놀이
true,2491,수열
true,2507,공주 구하기
true,2512,예산
true,2533,사회망 서비스(SNS)
true,2553,마지막 팩토리얼 수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2565,전깃줄
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2592,대표값
true,2596,비밀편지
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2665,미로만들기
true,2667,단지번호붙이기
true,2705,팰린드롬 파티션
true,2720,세탁소 사장 동혁
true,2729,이진수 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2778,측량사 지윤
true,2780,비밀번호
true,2805,나무 자르기
true,2812,크게 만들기
true,2822,점수 계산
true,2823,유턴 싫어
true,2824,최대공약수
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2862,수학 게임
true,2887,행성 터널
true,2896,무알콜 칵테일
true,2900,프로그램
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2909,캔디 구매
true,2910,빈도 정렬
true,2914,저작권
true,2942,퍼거슨과 사과
true,2953,나는 요리사다
true,2954,창영이의 일기장
true,2959,거북이
true,2965,캥거루 세마리
true,2966,찍기
true,2979,트럭 주차
true,2980,도로와 신호등
true,3002,아날로그 다이얼
true,3004,체스판 조각
true,3009,네 번째 점
true,3013,부분 수열의 중앙값
true,3018,캠프파이어
true,3020,개똥벌레
true,3023,마술사 이민혁
true,3024,마라톤 틱택토
true,3028,창영마을
true,3036,링
true,3041,N-퍼즐
true,3048,개미
true,3049,다각형의 대각선
true,3050,집들이
true,3058,짝수를 찾아라
true,3060,욕심쟁이 돼지
true,3061,사다리
true,3076,상근이의 체스판
true,3165,5
true,3226,전화 요금
true,3392,화성 지도
true,3407,맹세
true,3449,해밍 거리
true,3568,iSharp
true,3665,최종 순위
true,3691,컴퓨터 조립
true,3896,소수 사이 수열
true,3943,헤일스톤 수열
true,3985,롤 케이크
true,3986,좋은 단어
true,4299,AFC 윔블던
true,4307,개미
true,4375,1
true,4388,받아올림
true,4470,줄번호
true,4504,배수 찾기
true,4563,리벤지 오브 피타고라스
true,4597,패리티
true,4806,줄 세기
true,4811,알약
true,4848,집합 숫자 표기법
true,4892,숫자 맞추기 게임
true,4963,섬의 개수
true,4998,저금
true,4999,아!
true,5002,도어맨
true,5032,탄산 음료
true,5052,전화번호 목록
true,5054,주차의 신
true,5063,TGN
true,5086,배수와 약수
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5355,화성 수학
true,5361,전투 드로이드 가격
true,5363,요다
true,5373,큐빙
true,5393,콜라츠
true,5405,프랙탈 거리
true,5502,팰린드롬
true,5543,상근날드
true,5546,파스타
true,5549,행성 탐사
true,5565,영수증
true,5582,공통 부분 문자열
true,5623,수열의 합
true,5624,좋은 수
true,5626,제단
true,5635,생일
true,5671,호텔 방 번호
true,5675,시침과 분침
true,5676,음주 코딩
true,5698,Tautogram
true,5704,팬그램
true,5724,파인만
true,5789,한다 안한다
true,5800,성적 통계
true,5883,아이폰 9S
true,5884,감시 카메라
true,5904,Moo 게임
true,5913,준규와 사과
true,6502,동혁 피자
true,6590,덧셈 체인
true,6591,이항 쇼다운
true,6603,로또
true,6986,절사평균
true,6996,애너그램
true,7287,등록
true,7354,트리의 순서
true,7512,연속하는 소수의 합
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7572,간지(干支)
true,7573,고기잡이
true,7575,바이러스
true,7576,토마토
true,7770,아즈텍 피라미드
true,7795,먹을 것인가 먹힐 것인가
true,7812,중앙 트리
true,8393,합
true,8890,Critical 3-Path
true,8902,색상의 길이
true,8979,올림픽
true,8980,택배
true,8981,입력숫자
true,9020,골드바흐의 추측
true,9084,동전
true,9207,페그 솔리테어
true,9239,스티브 잡숭
true,9251,LCS
true,9339,마라토너
true,9340,Network Planning
true,9341,ZZ
true,9342,염색체
true,9345,디지털 비디오 디스크(DVDs)
true,9417,최대 GCD
true,9460,메탈
true,9461,파도반 수열
true,9465,스티커
true,9494,Text Roll
true,9575,행운의 수
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,10026,적록색약
true,10041,관광
true,10096,세 친구
true,10159,저울
true,10218,Maze
true,10249,Two Knight’s Poem
true,10363,Circle and Marble
true,10419,지각
true,10420,기념일 1
true,10421,수식 완성하기
true,10422,괄호
true,10423,전기가 부족해
true,10424,알고리즘 기말고사
true,10429,QUENTO
true,10430,나머지
true,10438,페리 수열의 합
true,10808,알파벳 개수
true,10828,스택
true,10839,미술관
true,10845,큐
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,11052,카드 구매하기
true,11404,플로이드
true,11499,Path
true,11557,Yangjojang of The Year
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,12106,부분 문자열의 개수
true,13460,구슬 탈출 2
true,13900,순서쌍의 곱의 합
true,13901,로봇
true,13902,개업 2
true,13903,출근
true,13904,과제
true,13905,세부
true,13906,대문자
true,13907,세금
true,13908,비밀번호
true,13909,창문 닫기
true,13910,개업
true,13912,외계 생물
true,14501,퇴사
true,14502,연구소
true,14645,와이버스 부릉부릉
false,1005,ACM Craft
false,1092,배
false,1102,발전소
false,1251,단어 나누기
false,1289,트리의 가중치
false,1369,배열값
false,1373,2진수 8진수
false,1432,그래프 수정
false,1518,뉴 매직 스퀘어
false,1532,동전 교환
false,1603,작은 정사각형
false,1620,나는야 포켓몬 마스터 이다솜
false,1654,랜선 자르기
false,1704,붕어빵타이쿤
false,1747,소수&팰린드롬
false,1762,평면그래프와 삼각형
false,1784,팰린드롬 인코딩
false,2110,공유기 설치
false,2261,가장 가까운 두 점
false,2336,굉장한 학생
false,2342,Dance Dance Revolution
false,2343,기타 레슨
false,2473,세 용액
false,2568,전깃줄 - 2
false,2758,로또
false,2911,전화 복구
false,2994,내한 공연
false,3011,이름 지어주기
false,3079,입국심사
false,3174,나누기
false,3213,피자
false,3586,방정식
false,5627,박테리아
false,5655,평점
false,5911,선물
false,6086,최대 유량
false,7577,탐사
false,8462,배열의 힘
false,9346,영화관
false,9446,아이템 제작
false,9659,돌 게임 5
false,9662,돌 게임 8
false,9938,방 청소
false,10254,고속도로
false,10425,피보나치 인버스
false,11375,열혈강호
false,11496,Kernel
false,13174,괄호
