정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1041,주사위
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1058,친구
true,1059,수2
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1072,게임
true,1076,저항
true,1091,카드 섞기
true,1092,배
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1233,주사위
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1263,시간 관리
true,1264,모음의 개수
true,1269,대칭 차집합
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1302,베스트셀러
true,1303,전쟁 - 전투
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1333,부재중 전화
true,1343,폴리오미노
true,1350,진짜 공간
true,1351,무한 수열
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1408,24
true,1411,비슷한 단어
true,1415,사탕
true,1427,소트인사이드
true,1448,삼각형 만들기
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1516,게임 개발
true,1520,내리막 길
true,1527,금민수의 개수
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1551,수열의 변화
true,1592,영식이와 친구들
true,1614,영식이의 손가락
true,1629,곱셈
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1662,압축
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1764,듣보잡
true,1766,문제집
true,1769,3의 배수
true,1773,폭죽쇼
true,1783,병든 나이트
true,1786,찾기
true,1789,수들의 합
true,1817,짐 챙기는 숌
true,1864,문어 숫자
true,1867,돌멩이 제거
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1941,소문난 칠공주
true,1946,신입 사원
true,1956,운동
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1986,체스
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2044,windows
true,2045,마방진
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2140,지뢰찾기
true,2146,다리 만들기
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2230,수 고르기
true,2231,분해합
true,2252,줄 세우기
true,2292,벌집
true,2309,일곱 난쟁이
true,2346,풍선 터뜨리기
true,2355,시그마
true,2357,최솟값과 최댓값
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2475,검증수
true,2480,주사위 세개
true,2490,윷놀이
true,2495,연속구간
true,2506,점수계산
true,2512,예산
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2529,부등호
true,2535,아시아 정보올림피아드
true,2547,사탕 선생 고창영
true,2557,Hello World
true,2558,A+B - 2
true,2560,짚신벌레
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2592,대표값
true,2606,바이러스
true,2630,색종이 만들기
true,2631,줄세우기
true,2641,다각형그리기
true,2644,촌수계산
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2776,암기왕
true,2783,삼각 김밥
true,2798,블랙잭
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2979,트럭 주차
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3048,개미
true,3052,나머지
true,3055,탈출
true,3085,사탕 게임
true,3109,빵집
true,3184,양
true,3197,백조의 호수
true,3460,이진수
true,3653,영화 수집
true,3758,KCPC
true,3943,헤일스톤 수열
true,4101,크냐?
true,4153,직각삼각형
true,4158,CD
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4641,Doubles
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5032,탄산 음료
true,5052,전화번호 목록
true,5063,TGN
true,5073,삼각형과 세 변
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5427,불
true,5525,IOIOI
true,5532,방학 숙제
true,5543,상근날드
true,5567,결혼식
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5622,다이얼
true,5623,수열의 합
true,5635,생일
true,5639,이진 검색 트리
true,5766,할아버지는 유명해!
true,6064,카잉 달력
true,6246,풍선 놀이
true,6359,만취한 상범
true,6378,디지털 루트
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7576,토마토
true,7795,먹을 것인가 먹힐 것인가
true,8393,합
true,8595,히든 넘버
true,8958,OX퀴즈
true,9009,피보나치
true,9012,괄호
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9345,디지털 비디오 디스크(DVDs)
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9625,BABBA
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10156,과자
true,10162,전자레인지
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10258,스위치 배열
true,10430,나머지
true,10448,유레카 이론
true,10551,STROJOPIS
true,10610,30
true,10707,수도요금
true,10708,크리스마스 파티
true,10718,We love kriii
true,10768,특별한 날
true,10773,제로
true,10797,10부제
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10844,쉬운 계단 수
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10995,별 찍기 - 20
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11123,양 한마리... 양 두마리...
true,11279,최대 힙
true,11328,Strfry
true,11375,열혈강호
true,11376,열혈강호 2
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11505,구간 곱 구하기
true,11559,Puyo Puyo
true,11586,지영 공주님의 마법 거울
true,11650,좌표 정렬하기
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11657,타임머신
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11720,숫자의 합
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11866,요세푸스 문제 0
true,11867,박스 나누기 게임
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12764,싸지방에 간 준하
true,13328,Message Passing
true,13458,시험 감독
true,13752,히스토그램
true,13866,팀 나누기
true,14225,부분수열의 합
true,14467,소가 길을 건너간 이유 1
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14581,팬들에게 둘러싸인 홍준
true,14582,오늘도 졌다
true,14620,꽃길
true,14659,한조서열정리하고옴ㅋㅋ
true,14681,사분면 고르기
true,14753,MultiMax
true,14754,Pizza Boxes
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14924,폰 노이만과 파리
true,15489,파스칼 삼각형
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15726,이칙연산
true,15739,매직스퀘어
true,15787,기차가 어둠을 헤치고 은하수를
true,15904,UCPC는 무엇의 약자일까?
true,15922,아우으 우아으이야!!
true,15947,아기 석환 뚜루루 뚜루
true,15953,상금 헌터
true,15954,인형들
true,15963,CASIO
true,15964,이상한 기호
true,15969,행복
true,16234,인구 이동
true,16236,아기 상어
true,16396,선 그리기
true,16431,베시와 데이지
true,16433,주디와 당근농장
true,16465,Bookend
true,16486,운동장 한 바퀴
true,16564,히오스 프로게이머
true,16917,양념 반 후라이드 반
true,16943,숫자 재배치
true,16953,A → B
true,16957,체스판 위의 공
true,16968,차량 번호판 1
true,16975,수열과 쿼리 21
true,16987,계란으로 계란치기
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17244,아맞다우산
true,17362,수학은 체육과목 입니다 2
true,17363,우유가 넘어지면?
true,17369,유령의 집
true,17390,이건 꼭 풀어야 해!
true,17478,재귀함수가 뭔가요?
true,17836,공주님을 구해라!
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18111,마인크래프트
true,18242,네모네모 시력검사
true,18247,겨울왕국 티켓 예매
true,18870,좌표 압축
true,19236,청소년 상어
true,19237,어른 상어
true,19532,수학은 비대면강의입니다
true,19535,ㄷㄷㄷㅈ
true,19538,루머
true,19542,전단지 돌리기
true,19844,단어 개수 세기
false,1008,A/B
false,1195,킥다운
false,1865,웜홀
false,2493,탑
false,2589,보물섬
false,5884,감시 카메라
false,11718,그대로 출력하기
false,14567,선수과목 (Prerequisite)
false,17412,도시 왕복하기 1
