정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1022,소용돌이 예쁘게 출력하기
true,1025,제곱수 찾기
true,1027,고층 건물
true,1032,명령 프롬프트
true,1037,약수
true,1065,한수
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1110,더하기 사이클
true,1152,단어의 개수
true,1157,단어 공부
true,1162,도로포장
true,1181,단어 정렬
true,1183,약속
true,1212,8진수 2진수
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1247,부호
true,1252,이진수 덧셈
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1267,핸드폰 요금
true,1271,엄청난 부자2
true,1284,집 주소
true,1297,TV 크기
true,1330,두 수 비교하기
true,1348,주차장
true,1395,스위치
true,1436,영화감독 숌
true,1476,날짜 계산
true,1520,내리막 길
true,1546,평균
true,1550,16진수
true,1561,놀이 공원
true,1581,락스타 락동호
true,1629,곱셈
true,1691,석판
true,1697,숨바꼭질
true,1712,손익분기점
true,1713,후보 추천하기
true,1742,레이싱결과
true,1799,비숍
true,1818,책정리
true,1839,트리 모델 만들기
true,1866,택배
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1931,회의실배정
true,1978,소수 찾기
true,1987,알파벳
true,2003,수들의 합 2
true,2010,플러그
true,2096,내려가기
true,2132,나무 위의 벌레
true,2170,선 긋기
true,2178,미로 탐색
true,2231,분해합
true,2237,수열 축소
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2304,창고 다각형
true,2305,자리 배치
true,2306,유전자
true,2309,일곱 난쟁이
true,2338,긴자리 계산
true,2339,석판 자르기
true,2407,조합
true,2420,사파리월드
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2449,전구
true,2450,모양 정돈
true,2452,그리드 게임
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2458,키 순서
true,2459,철사 자르기
true,2463,비용
true,2464,비밀번호
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2470,두 용액
true,2473,세 용액
true,2475,검증수
true,2477,참외밭
true,2478,자물쇠
true,2479,경로 찾기
true,2480,주사위 세개
true,2481,해밍 경로
true,2482,색상환
true,2491,수열
true,2492,보석
true,2493,탑
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2505,두 번 뒤집기
true,2512,예산
true,2513,통학버스
true,2514,자동분무기
true,2515,전시장
true,2525,오븐 시계
true,2526,싸이클
true,2527,직사각형
true,2528,사다리
true,2529,부등호
true,2530,인공지능 시계
true,2532,먹이사슬
true,2539,모자이크
true,2549,루빅의 사각형
true,2550,전구
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2560,짚신벌레
true,2561,세 번 뒤집기
true,2562,최댓값
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
true,2566,최댓값
true,2567,색종이 - 2
true,2574,마법색종이
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2585,경비행기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2590,색종이
true,2591,숫자카드
true,2593,엘리베이터
true,2597,줄자접기
true,2598,기둥만들기
true,2601,도서실카펫
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2612,DNA 유사도
true,2613,숫자구슬
true,2616,소형기관차
true,2618,경찰차
true,2623,음악프로그램
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2642,전개도
true,2645,회로배치
true,2647,검은점과 하얀점 연결
true,2651,자동차경주대회
true,2660,회장뽑기
true,2661,좋은수열
true,2662,기업투자
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2672,여러 직사각형의 전체 면적 구하기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2785,체인
true,2793,숫자의 힘
true,2798,블랙잭
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2887,행성 터널
true,2908,상수
true,2914,저작권
true,2920,음계
true,2941,크로아티아 알파벳
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3011,이름 지어주기
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3366,수열 줄이기
true,3372,보드 점프
true,3392,화성 지도
true,3430,용이 산다
true,3487,Copying Books
true,3584,가장 가까운 공통 조상
true,3665,최종 순위
true,3850,Jumping monkey
true,4153,직각삼각형
true,4195,친구 네트워크
true,4198,열차정렬
true,4299,AFC 윔블던
true,4344,평균은 넘겠지
true,4355,서로소
true,4673,셀프 넘버
true,4792,레드 블루 스패닝 트리
true,5101,Sequences
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5419,북서풍
true,5522,카드 게임
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5575,타임 카드
true,5596,시험 점수
true,5625,페스트리
true,5639,이진 검색 트리
true,5842,Partitioning the Farm
true,5893,17배
true,5928,Contest Timing
true,6142,Gourmet Grazers
true,6195,Fence Repair
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,6987,월드컵
true,7287,등록
true,7424,숫자 쌍
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7573,고기잡이
true,7574,개구리
true,7576,토마토
true,7577,탐사
true,8246,Stół
true,8370,Plane
true,8393,합
true,8437,Julka
true,8710,Koszykarz
true,8716,Pole
true,8718,Bałwanek
true,8723,Patyki
true,8958,OX퀴즈
true,8980,택배
true,8981,입력숫자
true,8982,수족관 1
true,8983,사냥꾼
true,8984,막대기
true,8985,수족관 2
true,9202,Boggle
true,9213,꽤 좋은 수
true,9252,LCS 2
true,9316,Hello Judge
true,9498,시험 성적
true,9524,Beautiful Yekaterinburg
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9999,구구
true,10039,평균 점수
true,10070,벽
true,10101,삼각형 외우기
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10179,쿠폰
true,10211,Maximum Subarray
true,10250,ACM 호텔
true,10430,나머지
true,10472,십자뒤집기
true,10534,락페스티벌
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10757,큰 수 A+B
true,10768,특별한 날
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10817,세 수
true,10818,"최소, 최대"
true,10826,피보나치 수 4
true,10828,스택
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10837,동전 게임
true,10838,트리
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10926,??!
true,10937,두부 모판 자르기
true,10943,랜덤 게임~
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11050,이항 계수 1
true,11266,단절점
true,11282,한글
true,11283,한글 2
true,11382,꼬마 정민
true,11403,경로 찾기
true,11404,플로이드
true,11444,피보나치 수 6
true,11466,Alex Origami Squares
true,11506,占쏙옙
true,11549,Identifying tea
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11724,연결 요소의 개수
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11948,과목선택
true,12096,
true,13136,Do Not Touch Anything
true,13277,큰 수 곱셈
true,13300,방 배정
true,13301,타일 장식물
true,13302,리조트
true,13303,장애물 경기
true,13305,주유소
true,13306,트리
true,13334,철로
true,13597,Tri-du
true,13866,팀 나누기
true,13925,수열과 쿼리 13
true,13985,Equality
true,14264,정육각형과 삼각형
true,14430,자원 캐기
true,14470,전자레인지
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14623,감정이입
true,14645,와이버스 부릉부릉
true,14652,나는 행복합니다~
true,14681,사분면 고르기
true,14696,딱지놀이
true,14697,방 배정하기
true,14863,서울에서 경산까지
true,14864,줄서기
true,14865,곡선 자르기
true,14867,물통
true,14868,문명
true,14918,더하기
true,14924,폰 노이만과 파리
true,14928,큰 수 (BIG)
true,15439,Vera and Outfits
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15624,피보나치 수 7
true,15631,BOJeopardy
true,15633,Fan Death
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15643,Yee
true,15680,연세대학교
true,15700,타일 채우기 4
true,15719,중복된 숫자
true,15726,이칙연산
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15733,나는 누구인가
true,15740,A+B - 9
true,15802,타노스
true,15829,Hashing
true,15873,공백 없는 A+B
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15894,수학은 체육과목 입니다
true,15961,회전 초밥
true,15962,새로운 시작
true,15964,이상한 기호
true,15969,행복
true,15970,화살표 그리기
true,15971,두 로봇
true,15972,물탱크
true,15973,두 박스
true,15975,화살표 그리기
true,15976,XCorr
true,16170,오늘의 날짜는?
true,16201,발코니 공사
true,16210,DSHS Bank
true,16394,홍익대학교
true,16428,A/B - 3
true,16430,제리와 톰
true,16431,베시와 데이지
true,16486,운동장 한 바퀴
true,17256,달달함이 넘쳐흘러
true,17295,엔드게임 스포일러
true,17362,수학은 체육과목 입니다 2
true,17363,우유가 넘어지면?
true,17496,스타후르츠
true,17613,점프
true,17614,369
true,17615,볼 모으기
true,17616,등수 찾기
true,17617,로봇
true,18096,Арифметическая магия
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18301,Rats
true,18414,X に最も近い値
false,2436,공약수
false,2455,지능형 기차
false,2472,체인점
false,2625,DNA유사도
false,2658,직각이등변삼각형찾기
false,2857,FBI
false,10919,선물상자
false,10944,랜덤 게임~~
false,10945,랜덤 게임~~~
false,13308,주유소
false,14065,Gorivo
false,14894,퀵 소트 cnt++
false,17106,빙고
false,17107,Thinking Language
false,18821,홀수와 짝수의 대결
