정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1059,수2
true,1065,한수
true,1075,나누기
true,1076,저항
true,1083,소트
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1105,팔
true,1110,더하기 사이클
true,1120,문자열
true,1145,적어도 대부분의 배수
true,1146,지그재그 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1153,네 개의 소수
true,1157,단어 공부
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1238,파티
true,1240,노드사이의 거리
true,1244,스위치 켜고 끄기
true,1246,온라인 판매
true,1247,부호
true,1251,단어 나누기
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1263,시간 관리
true,1268,임시 반장 정하기
true,1269,대칭 차집합
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1302,베스트셀러
true,1305,광고
true,1316,그룹 단어 체커
true,1327,소트 게임
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1405,미친 로봇
true,1408,24
true,1427,소트인사이드
true,1431,시리얼 번호
true,1463,1로 만들기
true,1516,게임 개발
true,1526,가장 큰 금민수
true,1543,문서 검색
true,1550,16진수
true,1551,수열의 변화
true,1629,곱셈
true,1644,소수의 연속합
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1672,DNA 해독
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1717,집합의 표현
true,1735,분수 합
true,1737,Pibonacci
true,1756,피자 굽기
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1769,3의 배수
true,1793,타일링
true,1806,부분합
true,1816,암호 키
true,1818,책정리
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1871,좋은 자동차 번호판
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1946,신입 사원
true,1947,선물 전달
true,1951,활자
true,1952,달팽이2
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1976,여행 가자
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2002,추월
true,2003,수들의 합 2
true,2010,플러그
true,2023,신기한 소수
true,2036,수열의 점수
true,2042,구간 합 구하기
true,2056,작업
true,2109,순회강연
true,2133,타일 채우기
true,2145,숫자 놀이
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2226,이진수
true,2230,수 고르기
true,2243,사탕상자
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2303,숫자 게임
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2338,긴자리 계산
true,2357,최솟값과 최댓값
true,2399,거리의 합
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2435,기상청 인턴 신현수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2467,용액
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2479,경로 찾기
true,2480,주사위 세개
true,2485,가로수
true,2490,윷놀이
true,2493,탑
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2504,괄호의 값
true,2506,점수계산
true,2511,카드놀이
true,2513,통학버스
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2530,인공지능 시계
true,2531,회전 초밥
true,2539,모자이크
true,2547,사탕 선생 고창영
true,2548,대표 자연수
true,2557,Hello World
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
true,2566,최댓값
true,2567,색종이 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2583,영역 구하기
true,2587,대표값2
true,2589,보물섬
true,2592,대표값
true,2596,비밀편지
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2622,삼각형만들기
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2671,잠수함식별
true,2672,여러 직사각형의 전체 면적 구하기
true,2684,동전 게임
true,2685,님비합
true,2688,줄어들지 않아
true,2693,N번째 큰 수
true,2696,중앙값 구하기
true,2702,초6 수학
true,2711,오타맨 고창영
true,2713,규현이의 사랑을 담은 문자메시지
true,2720,세탁소 사장 동혁
true,2725,보이는 점의 개수
true,2738,행렬 덧셈
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2753,윤년
true,2757,엑셀
true,2759,팬케익 뒤집기
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2780,비밀번호
true,2783,삼각 김밥
true,2789,유학 금지
true,2790,F7
true,2792,보석 상자
true,2804,크로스워드 만들기
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2852,NBA 농구
true,2857,FBI
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2877,4와 7
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2942,퍼거슨과 사과
true,2953,나는 요리사다
true,2954,창영이의 일기장
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2966,찍기
true,2979,트럭 주차
true,2986,파스칼
true,2993,세 부분
true,2998,8진수
true,3009,네 번째 점
true,3028,창영마을
true,3029,경고
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3052,나머지
true,3054,피터팬 프레임
true,3058,짝수를 찾아라
true,3059,등장하지 않는 문자의 합
true,3062,수 뒤집기
true,3135,라디오
true,3226,전화 요금
true,3273,두 수의 합
true,3392,화성 지도
true,3449,해밍 거리
true,3460,이진수
true,3758,KCPC
true,3908,서로 다른 소수의 합
true,3943,헤일스톤 수열
true,3985,롤 케이크
true,4095,최대 정사각형
true,4101,크냐?
true,4328,기초 나머지 계산
true,4673,셀프 넘버
true,4706,쌍둥이 역설
true,4766,일반 화학 실험
true,4921,나무 블록
true,4963,섬의 개수
true,4998,저금
true,4999,아!
true,5054,주차의 신
true,5086,배수와 약수
true,5176,대회 자리
true,5214,환승
true,5217,쌍의 합
true,5218,알파벳 거리
true,5347,LCM
true,5354,J박스
true,5361,전투 드로이드 가격
true,5524,입실 관리
true,5525,IOIOI
true,5532,방학 숙제
true,5543,상근날드
true,5544,리그
true,5546,파스타
true,5565,영수증
true,5567,결혼식
true,5582,공통 부분 문자열
true,5624,좋은 수
true,5631,방사능
true,5635,생일
true,5639,이진 검색 트리
true,5671,호텔 방 번호
true,5692,팩토리얼 진법
true,5698,Tautogram
true,5724,파인만
true,5789,한다 안한다
true,5800,성적 통계
true,6064,카잉 달력
true,6679,싱기한 네자리 숫자
true,6986,절사평균
true,6996,애너그램
true,7287,등록
true,7510,고급 수학
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7573,고기잡이
true,7575,바이러스
true,7576,토마토
true,7662,이중 우선순위 큐
true,7806,GCD!
true,7894,큰 수
true,8741,이진수 합
true,8891,점 숫자
true,8892,팰린드롬
true,8896,가위 바위 보
true,8933,MCS
true,8958,OX퀴즈
true,8977,DISPLEJ
true,8979,올림픽
true,9012,괄호
true,9046,복호화
true,9047,6174
true,9076,점수 집계
true,9081,단어 맞추기
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9093,단어 뒤집기
true,9094,수학적 호기심
true,9243,파일 완전 삭제
true,9251,LCS
true,9252,LCS 2
true,9324,진짜 메시지
true,9325,얼마?
true,9329,패스트 푸드 상금
true,9335,소셜 광고
true,9358,순열 접기 게임
true,9372,상근이의 여행
true,9414,프로그래밍 대회 전용 부지
true,9421,소수상근수
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9469,폰 노이만
true,9494,Text Roll
true,9498,시험 성적
true,9501,꿍의 우주여행
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9518,로마 카톨릭 미사
true,9575,행운의 수
true,9625,BABBA
true,9655,돌 게임
true,9656,돌 게임 2
true,9659,돌 게임 5
true,9733,꿀벌
true,9742,순열
true,9753,짝 곱
true,9764,서로 다른 자연수의 합
true,9933,민균이의 비밀번호
true,9934,완전 이진 트리
true,10026,적록색약
true,10039,평균 점수
true,10041,관광
true,10156,과자
true,10157,자리배정
true,10159,저울
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10709,기상캐스터
true,10817,세 수
true,10844,쉬운 계단 수
true,11048,이동하기
true,11966,2의 제곱인가?
true,13237,Binary tree
false,1003,피보나치 함수
false,1022,소용돌이 예쁘게 출력하기
false,1027,고층 건물
false,1035,조각 움직이기
false,1039,교환
false,1162,도로포장
false,1188,음식 평론가
false,1395,스위치
false,1475,방 번호
false,1520,내리막 길
false,1620,나는야 포켓몬 마스터 이다솜
false,1654,랜선 자르기
false,1695,팰린드롬 만들기
false,1722,순열의 순서
false,1744,수 묶기
false,1753,최단경로
false,1758,알바생 강호
false,1799,비숍
false,1948,임계경로
false,1975,Number Game
false,2096,내려가기
false,2258,정육점
false,2295,세 수의 합
false,2456,나는 학급회장이다
false,2464,비밀번호
false,2527,직사각형
false,2533,사회망 서비스(SNS)
false,2568,전깃줄 - 2
false,2576,홀수
false,2580,스도쿠
false,2581,소수
false,2637,장난감조립
false,2692,쌍둥이 규현이와 승환이의 생일 케익
false,2805,나무 자르기
false,2890,카약
false,3321,가장 큰 직사각형
false,3653,영화 수집
false,4256,트리
false,4299,AFC 윔블던
false,4913,페르마의 크리스마스 정리
false,5431,책 쌓기
false,5545,최고의 피자
false,5719,거의 최단 경로
false,5904,Moo 게임
false,6591,이항 쇼다운
false,7570,줄 세우기
false,8980,택배
false,9249,최장 공통 부분 문자열
false,9505,엔터프라이즈호 탈출
false,9613,GCD 합
false,10246,부동산 경매
