정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1017,소수 쌍
true,1019,책 페이지
true,1024,수열의 합
true,1026,보물
true,1028,다이아몬드 광산
true,1032,명령 프롬프트
true,1033,칵테일
true,1037,약수
true,1044,팀 선발
true,1053,팰린드롬 공장
true,1072,게임
true,1074,Z
true,1082,방 번호
true,1092,배
true,1095,마법의 구슬
true,1097,마법의 단어
true,1100,하얀 칸
true,1102,발전소
true,1110,더하기 사이클
true,1122,뒤집기
true,1124,언더프라임
true,1126,같은 탑
true,1128,피보나치 냅색
true,1149,RGB거리
true,1153,네 개의 소수
true,1157,단어 공부
true,1162,도로포장
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1202,보석 도둑
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1236,성 지키기
true,1238,파티
true,1243,팰린드롬
true,1246,온라인 판매
true,1248,맞춰봐
true,1251,단어 나누기
true,1253,좋다
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1263,시간 관리
true,1285,동전 뒤집기
true,1289,트리의 가중치
true,1292,쉽게 푸는 문제
true,1305,광고
true,1309,동물원
true,1312,소수
true,1328,고층 빌딩
true,1333,부재중 전화
true,1351,무한 수열
true,1405,미친 로봇
true,1407,2로 몇 번 나누어질까
true,1431,시리얼 번호
true,1456,거의 소수
true,1463,1로 만들기
true,1464,뒤집기 3
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1514,자물쇠
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1534,다각형 자르기
true,1541,잃어버린 괄호
true,1545,안티 팰린드롬
true,1548,부분 삼각 수열
true,1555,소수 만들기
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1603,작은 정사각형
true,1604,정사각형 자르기
true,1630,오민식
true,1639,행운의 티켓
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1684,같은 나머지
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1708,볼록 껍질
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1727,커플 만들기
true,1742,레이싱결과
true,1747,소수&팰린드롬
true,1750,서로소의 개수
true,1753,최단경로
true,1758,알바생 강호
true,1759,암호 만들기
true,1760,N-Rook
true,1761,정점들의 거리
true,1762,평면그래프와 삼각형
true,1766,문제집
true,1786,찾기
true,1799,비숍
true,1800,인터넷 설치
true,1806,부분합
true,1818,책정리
true,1821,수들의 합
true,1849,순열
true,1850,최대공약수
true,1854,K번째 최단경로 찾기
true,1890,점프
true,1904,01타일
true,1911,흙길 보수하기
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1948,임계경로
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1967,트리의 지름
true,1969,DNA
true,1975,Number Game
true,1978,소수 찾기
true,1980,햄버거 사랑
true,1981,배열에서 이동
true,1983,숫자 박스
true,1987,알파벳
true,1990,소수인팰린드롬
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2007,수들의 합 3
true,2014,소수의 곱
true,2015,수들의 합 4
true,2018,수들의 합 5
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2076,2차원 벡터
true,2079,팰린드롬
true,2080,겹치는 선분
true,2108,통계학
true,2109,순회강연
true,2110,공유기 설치
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2140,지뢰찾기
true,2153,소수 단어
true,2156,포도주 시식
true,2160,그림 비교
true,2161,카드1
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2172,팰린드롬 경로
true,2185,직사각형의 합집합
true,2186,문자판
true,2190,점 고르기2
true,2193,이친수
true,2197,분해 반응
true,2206,벽 부수고 이동하기
true,2216,문자열과 점수
true,2225,합분해
true,2230,수 고르기
true,2237,수열 축소
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2253,점프
true,2261,가장 가까운 두 점
true,2262,토너먼트 만들기
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2295,세 수의 합
true,2300,기지국
true,2301,마법 구슬
true,2312,수 복원하기
true,2316,도시 왕복하기 2
true,2320,끝말잇기
true,2337,트리 자르기
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2407,조합
true,2410,2의 멱수의 합
true,2419,사수아탕
true,2470,두 용액
true,2481,해밍 경로
true,2498,중앙문자열
true,2502,떡 먹는 호랑이
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2526,싸이클
true,2533,사회망 서비스(SNS)
true,2541,점
true,2548,대표 자연수
true,2557,Hello World
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2570,비숍2
true,2579,계단 오르기
true,2583,영역 구하기
true,2606,바이러스
true,2616,소형기관차
true,2618,경찰차
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2647,검은점과 하얀점 연결
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2672,여러 직사각형의 전체 면적 구하기
true,2696,중앙값 구하기
true,2698,인접한 비트의 개수
true,2699,격자점 컨벡스헐
true,2720,세탁소 사장 동혁
true,2725,보이는 점의 개수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2776,암기왕
true,2777,숫자 놀이
true,2778,측량사 지윤
true,2780,비밀번호
true,2802,크레용
true,2805,나무 자르기
true,2810,컵홀더
true,2812,크게 만들기
true,2824,최대공약수
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2853,배
true,2866,문자열 잘라내기
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2876,그래픽스 퀴즈
true,2878,캔디캔디
true,2879,코딩은 예쁘게
true,2886,자리 전쟁
true,2887,행성 터널
true,2892,심심한 준규
true,2905,홍준이와 울타리
true,2909,캔디 구매
true,2910,빈도 정렬
true,2911,전화 복구
true,2915,로마 숫자 재배치
true,2952,주기율표
true,2957,이진 탐색 트리
true,2974,자기곱
true,3007,숫자 원
true,3015,오아시스 재결합
true,3020,개똥벌레
true,3033,가장 긴 문자열
true,3037,혼란
true,3056,007
true,3058,짝수를 찾아라
true,3059,등장하지 않는 문자의 합
true,3060,욕심쟁이 돼지
true,3061,사다리
true,3062,수 뒤집기
true,3067,Coins
true,3080,아름다운 이름
true,3085,사탕 게임
true,3136,평면도
true,3158,Sierpinski 삼각형
true,3159,전구
true,3163,떨어지는 개미
true,3164,패턴
true,3165,5
true,3167,기차표 검사
true,3174,나누기
true,3176,도로 네트워크
true,3190,뱀
true,3192,매직 스퀘어
true,3213,피자
true,3295,단방향 링크 네트워크
true,3345,괄호
true,3392,화성 지도
true,3407,맹세
true,3568,iSharp
true,3593,DFA
true,3640,제독
true,3649,로봇 프로젝트
true,3653,영화 수집
true,3654,L퍼즐
true,3691,컴퓨터 조립
true,3758,KCPC
true,3908,서로 다른 소수의 합
true,3946,랜덤 걷기
true,4134,다음 소수
true,4243,보안 업체
true,4320,완전 P제곱수
true,4388,받아올림
true,4716,풍선
true,4781,사탕 가게
true,4811,알약
true,4848,집합 숫자 표기법
true,4883,삼각 그래프
true,5008,Juice
true,5022,연결
true,5052,전화번호 목록
true,5086,배수와 약수
true,5107,마니또
true,5211,가단조와 다장조
true,5373,큐빙
true,5419,북서풍
true,5480,전함
true,5572,사다리 게임
true,5624,좋은 수
true,5671,호텔 방 번호
true,5675,시침과 분침
true,5676,음주 코딩
true,5698,Tautogram
true,6064,카잉 달력
true,6101,식당
true,6216,Protecting the Flowers
true,6286,리벤지 오브 피보나치
true,6502,동혁 피자
true,6549,히스토그램에서 가장 큰 직사각형
true,6605,Humble Numbers
true,6996,애너그램
true,7558,제곱잉여
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7572,간지(干支)
true,7573,고기잡이
true,7575,바이러스
true,7576,토마토
true,7577,탐사
true,7579,앱
true,7662,이중 우선순위 큐
true,7772,구조 이성질체
true,7806,GCD!
true,8895,막대 배치
true,8898,스포츠 전문 채널 GSK
true,8980,택배
true,8983,사냥꾼
true,8984,막대기
true,8986,전봇대
true,8992,집기 게임
true,9095,"1, 2, 3 더하기"
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9278,절망적인 줄
true,9453,학생의 수
true,9455,박스
true,9457,기하학문양
true,9460,메탈
true,9461,파도반 수열
true,9463,순열 그래프
true,9464,직사각형 집합
true,9465,스티커
true,9469,폰 노이만
true,9470,Strahler 순서
true,9472,알고리즘 기말고사
true,9488,The n Days of Christmas
true,9489,사촌
true,9501,꿍의 우주여행
true,9505,엔터프라이즈호 탈출
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9512,Languages
true,9576,책 나눠주기
true,9577,토렌트
true,9623,부분 수열의 길이
true,9640,Modified LCS
true,9935,문자열 폭발
true,10000,원 영역
true,10039,평균 점수
true,10164,격자상의 경로
true,10165,버스 노선
true,10211,Maximum Subarray
true,10216,Count Circle Groups
true,10217,KCM Travel
true,10251,운전 면허 시험
true,10255,교차점
true,10257,얼룩
true,10258,스위치 배열
true,10262,주사위 게임
true,10263,Opening Ceremony
true,10272,현상금 사냥꾼 김정은
true,10422,괄호
true,10424,알고리즘 기말고사
true,10425,피보나치 인버스
true,10426,기념일 2
true,10429,QUENTO
true,10430,나머지
true,10829,이진수 변환
true,10844,쉬운 계단 수
true,10857,Milling machines
true,10868,최솟값
true,10942,팰린드롬?
true,10978,기숙사 재배정
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11060,점프 점프
true,11062,카드 게임
true,11066,파일 합치기
true,11209,Intercept
true,11266,단절점
true,11286,절댓값 힙
true,11399,ATM
true,11400,단절선
true,11403,경로 찾기
true,11495,격자 0 만들기
true,11497,통나무 건너뛰기
true,11501,주식
true,11509,풍선 맞추기
true,11570,환상의 듀엣
true,11653,소인수분해
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11781,퇴근 시간
true,11873,최대 직사각형
true,11931,수 정렬하기 4
true,11943,파일 옮기기
true,11967,불켜기
true,11968,High Card Wins
true,11970,Fence Painting
true,11971,속도 위반
true,11972,Contaminated Milk
true,12014,주식
true,12100,2048 (Easy)
true,12742,혼합물 (Small)
true,12743,혼합물 (Large)
true,12767,Ceiling Function
true,12793,블록 게임
true,12797,연금술
true,13204,표본의 수 구하기
true,13458,시험 감독
true,13460,구슬 탈출 2
true,14427,수열과 쿼리 15
true,14491,9진수
true,14492,부울행렬의 부울곱
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14718,용감한 용사 진수
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15351,인생 점수
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,16235,나무 재테크
false,1298,노트북의 주인을 찾아서
false,1387,배열 교환
false,1695,팰린드롬 만들기
false,1783,병든 나이트
false,1865,웜홀
false,1939,중량제한
false,2096,내려가기
false,2178,미로 탐색
false,2493,탑
false,2613,숫자구슬
false,2782,로맨틱 왕
false,3123,배추
false,5685,파일 검색
false,7785,회사에 있는 사람
false,9446,아이템 제작
false,10254,고속도로
