정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1039,교환
true,1057,토너먼트
true,1063,킹
true,1065,한수
true,1068,트리
true,1074,Z
true,1085,직사각형에서 탈출
true,1094,막대기
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1173,운동
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1238,파티
true,1248,맞춰봐
true,1260,DFS와 BFS
true,1261,알고스팟
true,1280,나무 심기
true,1298,노트북의 주인을 찾아서
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1339,단어 수학
true,1342,행운의 문자열
true,1347,미로 만들기
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1463,1로 만들기
true,1475,방 번호
true,1493,박스 채우기
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1535,안녕
true,1541,잃어버린 괄호
true,1547,공
true,1551,수열의 변화
true,1572,중앙값
true,1600,말이 되고픈 원숭이
true,1605,반복 부분문자열
true,1613,역사
true,1647,도시 분할 계획
true,1671,상어의 저녁식사
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1708,볼록 껍질
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1726,로봇
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1761,정점들의 거리
true,1765,닭싸움 팀 정하기
true,1783,병든 나이트
true,1786,찾기
true,1789,수들의 합
true,1793,타일링
true,1799,비숍
true,1849,순열
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1941,소문난 칠공주
true,1946,신입 사원
true,1948,임계경로
true,1949,우수 마을
true,1953,팀배분
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1986,체스
true,1987,알파벳
true,2023,신기한 소수
true,2026,소풍
true,2042,구간 합 구하기
true,2056,작업
true,2098,외판원 순회
true,2110,공유기 설치
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2188,축사 배정
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2251,물통
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2293,동전 1
true,2307,도로검문
true,2309,일곱 난쟁이
true,2357,최솟값과 최댓값
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2469,사다리 타기
true,2470,두 용액
true,2476,주사위 게임
true,2477,참외밭
true,2493,탑
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2525,오븐 시계
true,2531,회전 초밥
true,2557,Hello World
true,2563,색종이
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2629,양팔저울
true,2638,치즈
true,2644,촌수계산
true,2646,같은 길이 막대기 만들기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2731,1379와 세제곱
true,2739,구구단
true,2741,N 찍기
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2798,블랙잭
true,2805,나무 자르기
true,2810,컵홀더
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2842,집배원 한상덕
true,2846,오르막길
true,2869,달팽이는 올라가고 싶다
true,2887,행성 터널
true,2920,음계
true,2931,가스관
true,2935,소음
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2966,찍기
true,2979,트럭 주차
true,2980,도로와 신호등
true,3006,터보소트
true,3019,테트리스
true,3020,개똥벌레
true,3033,가장 긴 문자열
true,3044,자전거 경주 준비하기
true,3046,R2
true,3048,개미
true,3049,다각형의 대각선
true,3054,피터팬 프레임
true,3055,탈출
true,3108,로고
true,3109,빵집
true,3176,도로 네트워크
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3495,아스키 도형
true,3653,영화 수집
true,3671,산업 스파이의 편지
true,3678,카탄의 개척자
true,3967,매직 스타
true,3977,축구 전술
true,3980,선발 명단
true,3987,보이저 1호
true,4179,불!
true,4196,도미노
true,4354,문자열 제곱
true,4485,녹색 옷 입은 애가 젤다지?
true,4577,소코반
true,4716,풍선
true,4883,삼각 그래프
true,4963,섬의 개수
true,5014,스타트링크
true,5032,탄산 음료
true,5052,전화번호 목록
true,5214,환승
true,5218,알파벳 거리
true,5397,키로거
true,5427,불
true,5532,방학 숙제
true,5543,상근날드
true,5566,주사위 게임
true,5567,결혼식
true,5585,거스름돈
true,5586,JOI와 IOI
true,5622,다이얼
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6086,최대 유량
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7569,토마토
true,7571,점 모으기
true,7576,토마토
true,7682,틱택토
true,8111,0과 1
true,8112,0과 1 - 2
true,8320,직사각형을 만드는 방법
true,8895,막대 배치
true,8896,가위 바위 보
true,8911,거북이
true,8979,올림픽
true,8982,수족관 1
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9177,단어 섞기
true,9207,페그 솔리테어
true,9248,Suffix Array
true,9372,상근이의 여행
true,9426,중앙값 측정
true,9461,파도반 수열
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9527,1의 개수 세기
true,9547,대통령 선거
true,9663,N-Queen
true,9763,마을의 친밀도
true,9935,문자열 폭발
true,9938,방 청소
true,10026,적록색약
true,10090,Counting Inversions
true,10159,저울
true,10164,격자상의 경로
true,10263,Opening Ceremony
true,10448,유레카 이론
true,10451,순열 사이클
true,10597,순열장난
true,10610,30
true,10653,마라톤 2
true,10709,기상캐스터
true,10711,모래성
true,10775,공항
true,10799,쇠막대기
true,10815,숫자 카드
true,10817,세 수
true,10866,덱
true,10868,최솟값
true,10872,팩토리얼
true,10974,모든 순열
true,11047,동전 0
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11066,파일 합치기
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11506,占쏙옙
true,11559,Puyo Puyo
true,11564,점프왕 최준민
true,11658,구간 합 구하기 3
true,11718,그대로 출력하기
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11931,수 정렬하기 4
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12761,돌다리
true,12851,숨바꼭질 2
true,12886,돌 그룹
true,13133,Aurora Princess
true,13223,소금 폭탄
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13567,로봇
true,13901,로봇
true,13974,파일 합치기 2
true,14391,종이 조각
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14579,덧셈과 곱셈
true,14719,빗물
true,14720,우유 축제
true,14722,우유 도시
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14923,미로 탈출
true,14939,불 끄기
true,15558,점프 게임
true,15559,내 선물을 받아줘
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15658,연산자 끼워넣기 (2)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15894,수학은 체육과목 입니다
true,15903,카드 합체 놀이
true,15913,가위 바위 보 999
true,15969,행복
true,15970,화살표 그리기
true,15971,두 로봇
true,16197,두 동전
true,16234,인구 이동
true,16236,아기 상어
true,16430,제리와 톰
true,16431,베시와 데이지
true,16432,떡장수와 호랑이
true,16433,주디와 당근농장
true,16434,드래곤 앤 던전
true,16435,스네이크버드
true,16437,양 구출 작전
true,16439,치킨치킨치킨
true,16441,아기돼지와 늑대
true,16500,문자열 판별
true,16637,괄호 추가하기
true,16676,근우의 다이어리 꾸미기
true,16720,BAZE RUNNER
true,16918,봄버맨
true,16920,확장 게임
true,16929,Two Dots
true,16937,두 스티커
true,16939,2×2×2 큐브
true,16953,A → B
true,16956,늑대와 양
true,16959,체스판 여행 1
true,16973,직사각형 탈출
true,16985,Maaaaaaaaaze
true,16986,인싸들의 가위바위보
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17086,아기 상어 2
true,17090,미로 탈출하기
true,17127,벚꽃이 정보섬에 피어난 이유
true,17129,윌리암슨수액빨이딱따구리가 정보섬에 올라온 이유
true,17130,토끼가 정보섬에 올라온 이유
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17281,⚾
true,17478,재귀함수가 뭔가요?
true,17497,계산기
true,17608,막대기
true,17609,회문
true,17614,369
true,17615,볼 모으기
true,17616,등수 찾기
true,18265,MooBuzz
true,19535,ㄷㄷㄷㅈ
false,2396,같은 길이 막대기 만들기
false,17085,십자가 2개 놓기
false,17142,연구소 3
