정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1026,보물
true,1038,감소하는 수
true,1039,교환
true,1043,거짓말
true,1051,숫자 정사각형
true,1052,물병
true,1057,토너먼트
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1079,마피아
true,1094,막대기
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1113,수영장 만들기
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1159,농구 경기
true,1173,운동
true,1174,줄어드는 숫자
true,1175,배달
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1213,팰린드롬 만들기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1244,스위치 켜고 끄기
true,1248,맞춰봐
true,1251,단어 나누기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1280,나무 심기
true,1301,비즈 공예
true,1309,동물원
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1333,부재중 전화
true,1339,단어 수학
true,1342,행운의 문자열
true,1347,미로 만들기
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1405,미친 로봇
true,1451,직사각형으로 나누기
true,1463,1로 만들기
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1527,금민수의 개수
true,1547,공
true,1551,수열의 변화
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1614,영식이의 손가락
true,1629,곱셈
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1726,로봇
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1765,닭싸움 팀 정하기
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1789,수들의 합
true,1799,비숍
true,1826,연료 채우기
true,1865,웜홀
true,1890,점프
true,1904,01타일
true,1907,탄소 화합물
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1944,복제 로봇
true,1948,임계경로
true,1952,달팽이2
true,1953,팀배분
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1981,배열에서 이동
true,1986,체스
true,1987,알파벳
true,1992,쿼드트리
true,2001,보석 줍기
true,2003,수들의 합 2
true,2011,암호코드
true,2023,신기한 소수
true,2026,소풍
true,2042,구간 합 구하기
true,2091,동전
true,2096,내려가기
true,2098,외판원 순회
true,2133,타일 채우기
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2160,그림 비교
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2220,힙 정렬
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2240,자두나무
true,2243,사탕상자
true,2251,물통
true,2252,줄 세우기
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2424,부산의 해적
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2468,안전 영역
true,2490,윷놀이
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2512,예산
true,2529,부등호
true,2531,회전 초밥
true,2549,루빅의 사각형
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2617,구슬 찾기
true,2623,음악프로그램
true,2629,양팔저울
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2733,Brainf*ck
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2753,윤년
true,2798,블랙잭
true,2800,괄호 제거
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2887,행성 터널
true,2920,음계
true,2931,가스관
true,2933,미네랄
true,2935,소음
true,2957,이진 탐색 트리
true,2960,에라토스테네스의 체
true,2966,찍기
true,2979,트럭 주차
true,2980,도로와 신호등
true,3019,테트리스
true,3034,앵그리 창영
true,3048,개미
true,3053,택시 기하학
true,3055,탈출
true,3085,사탕 게임
true,3108,로고
true,3109,빵집
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3407,맹세
true,3425,고스택
true,3653,영화 수집
true,3671,산업 스파이의 편지
true,3954,Brainf**k 인터프리터
true,3967,매직 스타
true,3980,선발 명단
true,3985,롤 케이크
true,3987,보이저 1호
true,4153,직각삼각형
true,4179,불!
true,4195,친구 네트워크
true,4358,생태학
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4574,스도미노쿠
true,4641,Doubles
true,4673,셀프 넘버
true,4902,삼각형의 값
true,4920,테트리스 게임
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5022,연결
true,5032,탄산 음료
true,5052,전화번호 목록
true,5063,TGN
true,5213,과외맨
true,5214,환승
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5430,AC
true,5463,건포도
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5566,주사위 게임
true,5567,결혼식
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5618,공약수
true,5670,휴대폰 자판
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6087,레이저 통신
true,6118,숨바꼭질
true,6236,용돈 관리
true,6359,만취한 상범
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7453,합이 0인 네 정수
true,7469,K번째 수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8111,0과 1
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,8982,수족관 1
true,9019,DSLR
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9177,단어 섞기
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9625,BABBA
true,9655,돌 게임
true,9656,돌 게임 2
true,9663,N-Queen
true,9944,NxM 보드 완주하기
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10430,나머지
true,10448,유레카 이론
true,10707,수도요금
true,10718,We love kriii
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10815,숫자 카드
true,10817,세 수
true,10819,차이를 최대로
true,10826,피보나치 수 4
true,10828,스택
true,10835,카드게임
true,10844,쉬운 계단 수
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10875,뱀
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10998,A×B
true,10999,구간 합 구하기 2
true,11021,A+B - 7
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11266,단절점
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11505,구간 곱 구하기
true,11559,Puyo Puyo
true,11586,지영 공주님의 마법 거울
true,11654,아스키 코드
true,11657,타임머신
true,11658,구간 합 구하기 3
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11967,불켜기
true,12094,2048 (Hard)
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12761,돌다리
true,12790,Mini Fantasy War
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,12886,돌 그룹
true,12906,새로운 하노이 탑
true,13023,ABCDE
true,13301,타일 장식물
true,13302,리조트
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13901,로봇
true,13905,세부
true,13911,집 구하기
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14226,이모티콘
true,14391,종이 조각
true,14395,4연산
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14620,꽃길
true,14697,방 배정하기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14923,미로 탈출
true,14925,목장 건설하기
true,15486,퇴사 2
true,15552,빠른 A+B
true,15558,점프 게임
true,15559,내 선물을 받아줘
true,15644,구슬 탈출 3
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15653,구슬 탈출 4
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15659,연산자 끼워넣기 (3)
true,15661,링크와 스타트
true,15662,톱니바퀴 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15988,"1, 2, 3 더하기 3"
true,15990,"1, 2, 3 더하기 5"
true,16137,견우와 직녀
true,16194,카드 구매하기 2
true,16197,두 동전
true,16198,에너지 모으기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16397,탈출
true,16431,베시와 데이지
true,16569,화산쇄설류
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16917,양념 반 후라이드 반
true,16918,봄버맨
true,16920,확장 게임
true,16922,로마 숫자 만들기
