정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1010,다리 놓기
true,1016,제곱 ㄴㄴ 수
true,1026,보물
true,1038,감소하는 수
true,1049,기타줄
true,1065,한수
true,1076,저항
true,1080,행렬
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1124,언더프라임
true,1138,한 줄로 서기
true,1149,RGB거리
true,1150,백업
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1237,정ㅋ벅ㅋ
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1351,무한 수열
true,1396,크루스칼의 공
true,1427,소트인사이드
true,1439,뒤집기
true,1456,거의 소수
true,1463,1로 만들기
true,1495,기타리스트
true,1509,팰린드롬 분할
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1550,16진수
true,1562,계단 수
true,1644,소수의 연속합
true,1657,두부장수 장홍준
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1708,볼록 껍질
true,1717,집합의 표현
true,1753,최단경로
true,1756,피자 굽기
true,1764,듣보잡
true,1786,찾기
true,1787,문자열의 주기 예측
true,1789,수들의 합
true,1793,타일링
true,1799,비숍
true,1816,암호 키
true,1854,K번째 최단경로 찾기
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1947,선물 전달
true,1958,LCS 3
true,1965,상자넣기
true,1969,DNA
true,1978,소수 찾기
true,1992,쿼드트리
true,2010,플러그
true,2011,암호코드
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2133,타일 채우기
true,2138,전구와 스위치
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2185,직사각형의 합집합
true,2193,이친수
true,2217,로프
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2240,자두나무
true,2281,데스노트
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2338,긴자리 계산
true,2352,반도체 설계
true,2414,게시판 구멍 막기
true,2415,직사각형
true,2419,사수아탕
true,2420,사파리월드
true,2435,기상청 인턴 신현수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2448,별 찍기 - 11
true,2449,전구
true,2457,공주님의 정원
true,2458,키 순서
true,2464,비밀번호
true,2465,줄 세우기
true,2470,두 용액
true,2475,검증수
true,2477,참외밭
true,2480,주사위 세개
true,2481,해밍 경로
true,2482,색상환
true,2490,윷놀이
true,2495,연속구간
true,2501,약수 구하기
true,2505,두 번 뒤집기
true,2511,카드놀이
true,2512,예산
true,2527,직사각형
true,2529,부등호
true,2531,회전 초밥
true,2533,사회망 서비스(SNS)
true,2535,아시아 정보올림피아드
true,2536,버스 갈아타기
true,2549,루빅의 사각형
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2560,짚신벌레
true,2563,색종이
true,2565,전깃줄
true,2569,짐정리
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2602,돌다리 건너기
true,2606,바이러스
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2618,경찰차
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2631,줄세우기
true,2638,치즈
true,2661,좋은수열
true,2662,기업투자
true,2666,벽장문의 이동
true,2671,잠수함식별
true,2673,교차하지 않는 원의 현들의 최대집합
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2718,타일 채우기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2843,마블
true,2875,대회 or 인턴
true,2884,알람 시계
true,2891,카약과 강풍
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2960,에라토스테네스의 체
true,3053,택시 기하학
true,3121,"빨간점, 파란점"
true,3392,화성 지도
true,3736,System Engineer
true,3896,소수 사이 수열
true,3908,서로 다른 소수의 합
true,3943,헤일스톤 수열
true,4008,특공대
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,4883,삼각 그래프
true,4948,베르트랑 공준
true,5052,전화번호 목록
true,5063,TGN
true,5337,웰컴
true,5522,카드 게임
true,5531,버블 정렬
true,5543,상근날드
true,5546,파스타
true,5557,1학년
true,5565,영수증
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5622,다이얼
true,5636,소수 부분 문자열
true,5670,휴대폰 자판
true,6064,카잉 달력
true,6086,최대 유량
true,6171,땅따먹기
true,6198,옥상 정원 꾸미기
true,6359,만취한 상범
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7469,K번째 수
true,7569,토마토
true,7578,공장
true,7579,앱
true,8155,Postering
true,8393,합
true,8452,그래프와 쿼리
true,8876,바자와 샤자
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9213,꽤 좋은 수
true,9240,로버트 후드
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9421,소수상근수
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9625,BABBA
true,9657,돌 게임 3
true,9663,N-Queen
true,9987,포켓몬 마스터
true,10039,평균 점수
true,10067,수열 나누기
true,10090,Counting Inversions
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10167,금광
true,10172,개
true,10422,괄호
true,10430,나머지
true,10464,XOR
true,10610,30
true,10699,오늘 날짜
true,10711,모래성
true,10713,기차 여행
true,10718,We love kriii
true,10757,큰 수 A+B
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10817,세 수
true,10828,스택
true,10835,카드게임
true,10837,동전 게임
true,10843,가위 바위 보
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10937,두부 모판 자르기
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11001,김치
true,11003,최솟값 찾기
true,11021,A+B - 7
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11070,피타고라스 기댓값
true,11266,단절점
true,11375,열혈강호
true,11399,ATM
true,11400,단절선
true,11408,열혈강호 5
true,11437,LCA
true,11438,LCA 2
true,11444,피보나치 수 6
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11654,아스키 코드
true,11657,타임머신
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11690,"LCM(1, 2, ..., n)"
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11866,요세푸스 문제 0
true,11921,0.1
true,11985,오렌지 출하
true,12736,Fireworks
true,12795,반평면 땅따먹기
true,12844,XOR
true,13159,배열
true,13161,분단의 슬픔
true,13169,Xor of Sums
true,13277,큰 수 곱셈
true,13301,타일 장식물
true,13302,리조트
true,13309,트리
true,13510,트리와 쿼리 1
true,13511,트리와 쿼리 2
true,13512,트리와 쿼리 3
true,13514,트리와 쿼리 5
true,13537,수열과 쿼리 1
true,14216,할 일 정하기
true,14501,퇴사
true,14502,연구소
true,14565,역원(Inverse) 구하기
true,14589,Line Friends (Large)
true,14606,피자 (Small)
true,14867,물통
true,14918,더하기
true,14920,3n+1 수열
true,15483,최소 편집
true,15552,빠른 A+B
true,15576,큰 수 곱셈 (2)
true,15678,연세워터파크
true,15733,나는 누구인가
true,15802,타노스
true,15824,너 봄에는 캡사이신이 맛있단다
true,15894,수학은 체육과목 입니다
true,15913,가위 바위 보 999
true,15962,새로운 시작
true,15966,군계일학
true,15971,두 로봇
true,15972,물탱크
true,15973,두 박스
true,16394,홍익대학교
true,16456,하와와 대학생쨩 하와이로 가는 거시와요~
true,16500,문자열 판별
true,16783,Bulldozer
true,16901,XOR MST
true,16981,Exhibition
true,17113,3분 그래프
true,17466,N! mod P (1)
true,17467,N! mod P (2)
true,17474,수열과 쿼리 26
true,17619,개구리 점프
true,17636,가로등
true,18108,1998년생인 내가 태국에서는 2541년생?!
false,1005,ACM Craft
false,1032,명령 프롬프트
false,1126,같은 탑
false,1226,국회
false,1352,문자열
false,2051,최소 버텍스 커버
false,2159,케익 배달
false,2200,계산기
false,2473,세 용액
false,2494,숫자 맞추기
false,2499,의좋은 형제
false,2636,치즈
false,2651,자동차경주대회
false,3933,라그랑주의 네 제곱수 정리
false,4179,불!
false,5620,가장 가까운 두 점의 거리
false,7576,토마토
false,8980,택배
false,10212,Mystery
false,10826,피보나치 수 4
false,10943,랜덤 게임~
false,10944,랜덤 게임~~
false,11401,이항 계수 3
false,12096,
false,13275,가장 긴 팰린드롬 부분 문자열
false,13727,5차원 구사과 초콜릿
false,14003,가장 긴 증가하는 부분 수열 5
false,17468,N! mod P (3)
