정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1041,주사위
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1162,도로포장
true,1174,줄어드는 숫자
true,1175,배달
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1213,팰린드롬 만들기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1248,맞춰봐
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1303,전쟁 - 전투
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1342,행운의 문자열
true,1365,꼬인 전깃줄
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1535,안녕
true,1546,평균
true,1547,공
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1697,숨바꼭질
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1726,로봇
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1765,닭싸움 팀 정하기
true,1780,종이의 개수
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1795,정상 회담
true,1799,비숍
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1944,복제 로봇
true,1948,임계경로
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2146,다리 만들기
true,2151,거울 설치
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2217,로프
true,2231,분해합
true,2239,스도쿠
true,2251,물통
true,2252,줄 세우기
true,2268,수들의 합
true,2292,벌집
true,2293,동전 1
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2357,최솟값과 최댓값
true,2406,안정적인 네트워크
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2477,참외밭
true,2493,탑
true,2503,숫자 야구
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2637,장난감조립
true,2644,촌수계산
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2840,행운의 바퀴
true,2841,외계인의 기타 연주
true,2848,알고스팟어
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2920,음계
true,2933,미네랄
true,2941,크로아티아 알파벳
true,3006,터보소트
true,3048,개미
true,3052,나머지
true,3055,탈출
true,3109,빵집
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3745,오름세
true,3980,선발 명단
true,4153,직각삼각형
true,4179,불!
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4577,소코반
true,4593,"Rock, Paper, Scissors"
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,5014,스타트링크
true,5213,과외맨
true,5214,환승
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5622,다이얼
true,6087,레이저 통신
true,6497,전력난
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7662,이중 우선순위 큐
true,7682,틱택토
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,9012,괄호
true,9019,DSLR
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9328,열쇠
true,9370,미확인 도착지
true,9376,탈옥
true,9466,텀 프로젝트
true,9470,Strahler 순서
true,9498,시험 성적
true,9547,대통령 선거
true,9663,N-Queen
true,9983,더 푸르게
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10263,Opening Ceremony
true,10265,MT
true,10282,해킹
true,10430,나머지
true,10448,유레카 이론
true,10552,DOM
true,10711,모래성
true,10718,We love kriii
true,10757,큰 수 A+B
true,10809,알파벳 찾기
true,10811,바구니 뒤집기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10817,세 수
true,10818,"최소, 최대"
true,10824,네 수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10997,별 찍기 - 22
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11050,이항 계수 1
true,11085,군사 이동
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11451,팩맨
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11558,The Game of Death
true,11559,Puyo Puyo
true,11562,백양로 브레이크
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,12015,가장 긴 증가하는 부분 수열 2
true,12094,2048 (Hard)
true,12100,2048 (Easy)
true,12837,가계부 (Hard)
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,12886,돌 그룹
true,13015,별 찍기 - 23
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13904,과제
true,13905,세부
true,13913,숨바꼭질 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15353,큰 수 A+B (2)
true,15552,빠른 A+B
true,15558,점프 게임
true,15559,내 선물을 받아줘
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15740,A+B - 9
true,15802,타노스
true,15906,변신 이동 게임
true,16174,점프왕 쩰리 (Large)
true,16197,두 동전
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16397,탈출
true,16437,양 구출 작전
true,16562,친구비
true,16571,알파 틱택토
true,16637,괄호 추가하기
true,16920,확장 게임
true,16926,배열 돌리기 1
true,16927,배열 돌리기 2
true,16933,벽 부수고 이동하기 3
true,16939,2×2×2 큐브
true,16946,벽 부수고 이동하기 4
true,16954,움직이는 미로 탈출
true,16985,Maaaaaaaaaze
true,16986,인싸들의 가위바위보
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,17070,파이프 옮기기 1
true,17071,숨바꼭질 5
true,17072,아스키 아트
true,17086,아기 상어 2
true,17090,미로 탈출하기
true,17127,벚꽃이 정보섬에 피어난 이유
true,17130,토끼가 정보섬에 올라온 이유
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17182,우주 탐사선
true,17201,자석 체인
true,17206,준석이의 수학 숙제
true,17226,묘수풀이: 모독
true,17251,힘 겨루기
true,17267,상남자
true,17281,⚾
true,17398,통신망 분할
true,17404,RGB거리 2
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17492,바둑알 점프
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17837,새로운 게임 2
true,18116,로봇 조립
true,18809,Gaaaaaaaaaarden
false,1280,나무 심기
false,1525,퍼즐
false,4195,친구 네트워크
false,19238,스타트 택시
