정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1032,명령 프롬프트
true,1039,교환
true,1041,주사위
true,1049,기타줄
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1074,Z
true,1080,행렬
true,1094,막대기
true,1107,리모컨
true,1120,문자열
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1219,오민식의 고민
true,1238,파티
true,1251,단어 나누기
true,1253,좋다
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1305,광고
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1339,단어 수학
true,1341,사이좋은 형제
true,1342,행운의 문자열
true,1343,폴리오미노
true,1347,미로 만들기
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1439,뒤집기
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1480,보석 모으기
true,1484,다이어트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1547,공
true,1550,16진수
true,1561,놀이 공원
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1654,랜선 자르기
true,1662,압축
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1718,암호
true,1726,로봇
true,1735,분수 합
true,1744,수 묶기
true,1753,최단경로
true,1756,피자 굽기
true,1764,듣보잡
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1781,컵라면
true,1783,병든 나이트
true,1786,찾기
true,1789,수들의 합
true,1799,비숍
true,1806,부분합
true,1865,웜홀
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1949,우수 마을
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1986,체스
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2011,암호코드
true,2018,수들의 합 5
true,2023,신기한 소수
true,2026,소풍
true,2096,내려가기
true,2098,외판원 순회
true,2109,순회강연
true,2110,공유기 설치
true,2132,나무 위의 벌레
true,2133,타일 채우기
true,2146,다리 만들기
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2208,보석 줍기
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2217,로프
true,2225,합분해
true,2226,이진수
true,2234,성곽
true,2239,스도쿠
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2257,화학식량
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2352,반도체 설계
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2437,저울
true,2438,별 찍기 - 1
true,2455,지능형 기차
true,2461,대표 선수
true,2468,안전 영역
true,2470,두 용액
true,2493,탑
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2515,전시장
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2592,대표값
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2629,양팔저울
true,2632,피자판매
true,2638,치즈
true,2644,촌수계산
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2789,유학 금지
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2828,사과 담기 게임
true,2857,FBI
true,2858,기숙사 바닥
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2877,4와 7
true,2885,초콜릿 식사
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2961,도영이가 만든 맛있는 음식
true,2980,도로와 신호등
true,2998,8진수
true,3055,탈출
true,3109,빵집
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3671,산업 스파이의 편지
true,3967,매직 스타
true,3980,선발 명단
true,3986,좋은 단어
true,4179,불!
true,4195,친구 네트워크
true,4354,문자열 제곱
true,4358,생태학
true,4386,별자리 만들기
true,4792,레드 블루 스패닝 트리
true,4811,알약
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5052,전화번호 목록
true,5213,과외맨
true,5214,환승
true,5427,불
true,5532,방학 숙제
true,5557,1학년
true,5566,주사위 게임
true,5567,결혼식
true,5585,거스름돈
true,5586,JOI와 IOI
true,5622,다이얼
true,5719,거의 최단 경로
true,5839,Cow Race
true,5840,Breed Proximity
true,5849,Cow Crossings
true,6087,레이저 통신
true,6118,숨바꼭질
true,6236,용돈 관리
true,6359,만취한 상범
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,8394,악수
true,8980,택배
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9177,단어 섞기
true,9207,페그 솔리테어
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9507,Generations of Tribbles
true,9536,여우는 어떻게 울지?
true,9576,책 나눠주기
true,9613,GCD 합
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9935,문자열 폭발
true,9938,방 청소
true,9996,한국이 그리울 땐 서버에 접속하지
true,10026,적록색약
true,10211,Maximum Subarray
true,10250,ACM 호텔
true,10266,시계 사진들
true,10430,나머지
true,10451,순열 사이클
true,10473,인간 대포
true,10610,30
true,10675,Cow Routing
true,10718,We love kriii
true,10757,큰 수 A+B
true,10769,행복한지 슬픈지
true,10775,공항
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10819,차이를 최대로
true,10820,문자열 분석
true,10828,스택
true,10829,이진수 변환
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10989,수 정렬하기 3
true,11000,강의실 배정
true,11003,최솟값 찾기
true,11005,진법 변환 2
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11559,Puyo Puyo
true,11561,징검다리
true,11576,Base Conversion
true,11585,속타는 저녁 메뉴
true,11586,지영 공주님의 마법 거울
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11866,요세푸스 문제 0
true,11971,속도 위반
true,11972,Contaminated Milk
true,12100,2048 (Easy)
true,12115,Baza
true,12116,Uzastopni
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,12886,돌 그룹
true,13023,ABCDE
true,13418,학교 탐방하기
true,13458,시험 감독
true,13549,숨바꼭질 3
true,14226,이모티콘
true,14391,종이 조각
true,14395,4연산
true,14425,문자열 집합
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14725,개미굴
true,14867,물통
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15360,Rasvjeta
true,15558,점프 게임
true,15565,귀여운 라이언
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15661,링크와 스타트
true,15663,N과 M (9)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15751,Teleportation
true,15927,회문은 회문아니야!!
true,15953,상금 헌터
true,15971,두 로봇
true,16197,두 동전
true,16198,에너지 모으기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16551,Potato Sacks
true,16681,등산
true,16769,Mixing Milk
true,16770,The Bucket List
true,16932,모양 만들기
true,16946,벽 부수고 이동하기 4
true,16947,서울 지하철 2호선
true,17027,Shell Game
true,17039,Sleepy Cow Herding (Bronze)
true,17090,미로 탈출하기
true,17141,연구소 2
true,17478,재귀함수가 뭔가요?
true,17481,최애 정하기
true,17484,진우의 달 여행 (Small)
true,17485,진우의 달 여행 (Large)
true,17825,주사위 윷놀이
true,18809,Gaaaaaaaaaarden
true,19236,청소년 상어
true,19237,어른 상어
true,19238,스타트 택시
false,1168,요세푸스 문제 2
false,1670,정상 회담 2
false,2104,부분배열 고르기
false,2749,피보나치 수 3
false,3163,떨어지는 개미
false,3407,맹세
false,5525,IOIOI
false,5851,Cow Lineup
false,7469,K번째 수
false,12005,Diamond Collector (Bronze)
false,12015,가장 긴 증가하는 부분 수열 2
false,15361,Izbori
false,18500,미네랄 2
