정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1027,고층 건물
true,1029,그림 교환
true,1030,프렉탈 평면
true,1032,명령 프롬프트
true,1036,36진수
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1058,친구
true,1062,가르침
true,1063,킹
true,1064,평행사변형
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1081,합
true,1083,소트
true,1085,직사각형에서 탈출
true,1086,박성원
true,1092,배
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1103,게임
true,1105,팔
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1124,언더프라임
true,1129,키
true,1135,뉴스 전하기
true,1138,한 줄로 서기
true,1139,울타리
true,1145,적어도 대부분의 배수
true,1147,텐트
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1166,선물
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1173,운동
true,1174,줄어드는 숫자
true,1176,섞기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1201,NMK
true,1205,등수 구하기
true,1208,부분수열의 합 2
true,1209,단조수열 만들기
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1235,학생 번호
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1239,차트
true,1240,노드사이의 거리
true,1246,온라인 판매
true,1247,부호
true,1248,맞춰봐
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1265,순열
true,1267,핸드폰 요금
true,1268,임시 반장 정하기
true,1269,대칭 차집합
true,1278,연극
true,1283,단축키 지정
true,1285,동전 뒤집기
true,1292,쉽게 푸는 문제
true,1294,문자열 장식
true,1296,데이트
true,1302,베스트셀러
true,1305,광고
true,1309,동물원
true,1312,소수
true,1316,그룹 단어 체커
true,1322,X와 K
true,1327,소트 게임
true,1333,부재중 전화
true,1337,올바른 배열
true,1339,단어 수학
true,1342,행운의 문자열
true,1343,폴리오미노
true,1344,축구
true,1350,진짜 공간
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1358,하키
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1388,바닥 장식
true,1389,케빈 베이컨의 6단계 법칙
true,1392,노래 악보
true,1398,동전 문제
true,1402,아무래도이문제는A번난이도인것같다
true,1405,미친 로봇
true,1407,2로 몇 번 나누어질까
true,1408,24
true,1411,비슷한 단어
true,1413,박스 안의 열쇠
true,1418,K-세준수
true,1419,등차수열의 합
true,1421,나무꾼 이다솜
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1446,지름길
true,1448,삼각형 만들기
true,1449,수리공 항승
true,1450,냅색문제
true,1453,피시방 알바
true,1456,거의 소수
true,1459,걷기
true,1463,1로 만들기
true,1469,숌 사이 수열
true,1475,방 번호
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1489,대결
true,1495,기타리스트
true,1500,최대 곱
true,1506,경찰서
true,1507,궁금한 민호
true,1508,레이스
true,1516,게임 개발
true,1520,내리막 길
true,1522,문자열 교환
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1527,금민수의 개수
true,1531,투명
true,1532,동전 교환
true,1540,정사각형의 개수
true,1541,잃어버린 괄호
true,1544,사이클 단어
true,1546,평균
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1566,P배열
true,1568,새
true,1573,트리 인코딩
true,1577,도로의 개수
true,1581,락스타 락동호
true,1588,수열
true,1592,영식이와 친구들
true,1598,꼬리를 무는 숫자 나열
true,1599,민식어
true,1606,침투 계획 세우기
true,1614,영식이의 손가락
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1646,피이보나치 트리
true,1648,격자판 채우기
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1661,다솜이의 신발가게
true,1662,압축
true,1668,트로피 진열
true,1676,팩토리얼 0의 개수
true,1679,숫자놀이
true,1687,행렬 찾기
true,1699,제곱수의 합
true,1701,Cubeditor
true,1706,크로스워드
true,1707,이분 그래프
true,1711,직각삼각형
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1718,암호
true,1722,순열의 순서
true,1725,히스토그램
true,1730,판화
true,1731,추론
true,1735,분수 합
true,1737,Pibonacci
true,1740,거듭제곱
true,1743,음식물 피하기
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1749,점수따먹기
true,1753,최단경로
true,1755,숫자놀이
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1769,3의 배수
true,1773,폭죽쇼
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1802,종이 접기
true,1806,부분합
true,1812,사탕
true,1813,마지막 한마디
true,1816,암호 키
true,1817,짐 챙기는 숌
true,1818,책정리
true,1834,나머지와 몫이 같은 수
true,1835,카드
true,1836,트리의 가짓수 세기
true,1849,순열
true,1850,최대공약수
true,1855,암호
true,1874,스택 수열
true,1887,Cow Pizza
true,1890,점프
true,1891,사분면
true,1895,필터
true,1898,이전 수열은 어떤 수열일까
true,1904,01타일
true,1911,흙길 보수하기
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1925,삼각형
true,1926,그림
true,1927,최소 힙
true,1930,정사면체
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1940,주몽
true,1941,소문난 칠공주
true,1942,디지털시계
true,1945,직사각형
true,1951,활자
true,1952,달팽이2
true,1958,LCS 3
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1975,Number Game
true,1977,완전제곱수
true,1978,소수 찾기
true,1980,햄버거 사랑
true,1983,숫자 박스
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,1999,최대최소
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2012,등수 매기기
true,2015,수들의 합 4
true,2018,수들의 합 5
true,2023,신기한 소수
true,2024,선분 덮기
true,2033,반올림
true,2034,반음
true,2036,수열의 점수
true,2037,문자메시지
true,2038,골롱 수열
true,2042,구간 합 구하기
true,2052,지수연산
true,2056,작업
true,2057,팩토리얼 분해
true,2066,카드놀이
true,2072,오목
true,2075,N번째 큰 수
true,2078,무한이진트리
true,2079,팰린드롬
true,2082,시계
true,2084,차수열
true,2086,피보나치 수의 합
true,2087,암호문
true,2090,조화평균
true,2092,집합의 개수
true,2096,내려가기
true,2097,조약돌
true,2098,외판원 순회
true,2099,The game of death
true,2100,감시 로봇
true,2103,직교다각형 복원
true,2104,부분배열 고르기
true,2108,통계학
true,2109,순회강연
true,2110,공유기 설치
true,2133,타일 채우기
true,2137,가장 가까운 분수
true,2140,지뢰찾기
true,2142,정돈된 배열
true,2143,두 배열의 합
true,2153,소수 단어
true,2155,삼각형의 최단 경로
true,2159,케익 배달
true,2161,카드1
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2169,로봇 조종하기
true,2170,선 긋기
true,2171,직사각형의 개수
true,2178,미로 탐색
true,2186,문자판
true,2188,축사 배정
true,2190,점 고르기2
true,2193,이친수
true,2195,문자열 복사
true,2210,숫자판 점프
true,2220,힙 정렬
true,2224,명제 증명
true,2225,합분해
true,2230,수 고르기
true,2231,분해합
true,2232,지뢰
true,2238,경매
true,2243,사탕상자
true,2246,콘도 선정
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2253,점프
true,2257,화학식량
true,2262,토너먼트 만들기
true,2266,금고 테스트
true,2275,트리의 높이 줄이기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2295,세 수의 합
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2338,긴자리 계산
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2358,평행선
true,2381,최대 거리
true,2399,거리의 합
true,2403,게시판 구멍 가리기
true,2405,"세 수, 두 M"
true,2407,조합
true,2410,2의 멱수의 합
true,2411,아이템 먹기
true,2412,암벽 등반
true,2413,비슷한 순열
true,2417,정수 제곱근
true,2418,단어 격자
true,2420,사파리월드
true,2421,저금통
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2423,전구를 켜라
true,2424,부산의 해적
true,2428,표절
true,2433,The Sound of Silence
true,2992,크면서 작은 수
false,1017,소수 쌍
false,1033,칵테일
false,1035,조각 움직이기
false,1050,물약
false,1069,집으로
false,1091,카드 섞기
false,1175,배달
false,1178,간선 추가
false,1206,사람의 수
false,1212,8진수 2진수
false,1230,문자열 거리
false,1251,단어 나누기
false,1253,좋다
false,1282,P-수열
false,1297,TV 크기
false,1300,K번째 수
false,1359,복권
false,1435,네 점
false,1504,특정한 최단 경로
false,1557,제곱 ㄴㄴ
false,1558,그림의 개수
false,1571,단어 굴리기
false,1583,이동호의 트럭
false,1630,오민식
false,1645,성지의 생일파티
false,1653,양팔 저울
false,1720,타일 코드
false,1724,그림판
false,1741,반 나누기
false,1759,암호 만들기
false,1796,신기한 키보드
false,1826,연료 채우기
false,1837,암호제작
false,1838,버블 정렬
false,1844,농지 정리
false,1912,연속합
false,1943,동전 분배
false,1976,여행 가자
false,2020,부분 염기서열
false,2027,가장 큰L
false,2045,마방진
false,2091,동전
false,2107,포함하는 구간
false,2156,포도주 시식
false,2180,소방서의 고민
false,2196,이진수 XOR
false,2206,벽 부수고 이동하기
false,2240,자두나무
false,2261,가장 가까운 두 점
false,2268,수들의 합
false,2291,Sequence
false,2307,도로검문
false,2311,왕복 여행
false,2343,기타 레슨
false,2389,세상의 중심에서...
false,2415,직사각형
false,2419,사수아탕
false,2426,세계적인 석유 재벌
false,2427,2012 지구 멸망
false,2430,거울대칭트리 그래프
false,2942,퍼거슨과 사과
false,3462,이진 스털링 수
