정답여부,문제번호,문제이름
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1027,고층 건물
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1041,주사위
true,1043,거짓말
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1059,수2
true,1062,가르침
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1080,행렬
true,1092,배
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1213,팰린드롬 만들기
true,1219,오민식의 고민
true,1251,단어 나누기
true,1256,사전
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1275,커피숍2
true,1280,나무 심기
true,1285,동전 뒤집기
true,1300,K번째 수
true,1302,베스트셀러
true,1305,광고
true,1321,군인
true,1327,소트 게임
true,1339,단어 수학
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1446,지름길
true,1449,수리공 항승
true,1450,냅색문제
true,1463,1로 만들기
true,1484,다이어트
true,1493,박스 채우기
true,1500,최대 곱
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1525,퍼즐
true,1527,금민수의 개수
true,1562,계단 수
true,1615,교차개수세기
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1725,히스토그램
true,1735,분수 합
true,1738,골목길
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1786,찾기
true,1806,부분합
true,1814,지붕 색칠하기
true,1837,암호제작
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1949,우수 마을
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2001,보석 줍기
true,2003,수들의 합 2
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2094,강수량
true,2096,내려가기
true,2098,외판원 순회
true,2099,The game of death
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2143,두 배열의 합
true,2150,Strongly Connected Component
true,2163,초콜릿 자르기
true,2164,카드2
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2208,보석 줍기
true,2212,센서
true,2213,트리의 독립집합
true,2217,로프
true,2230,수 고르기
true,2231,분해합
true,2243,사탕상자
true,2248,이진수 찾기
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2268,수들의 합
true,2294,동전 2
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2401,최대 문자열 붙여넣기
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2449,전구
true,2458,키 순서
true,2468,안전 영역
true,2494,숫자 맞추기
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2531,회전 초밥
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2568,전깃줄 - 2
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2618,경찰차
true,2623,음악프로그램
true,2644,촌수계산
true,2659,십자카드 문제
true,2660,회장뽑기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2673,교차하지 않는 원의 현들의 최대집합
true,2696,중앙값 구하기
true,2725,보이는 점의 개수
true,2740,행렬 곱셈
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2805,나무 자르기
true,2812,크게 만들기
true,2824,최대공약수
true,2840,행운의 바퀴
true,2841,외계인의 기타 연주
true,2842,집배원 한상덕
true,2858,기숙사 바닥
true,2875,대회 or 인턴
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2966,찍기
true,3006,터보소트
true,3033,가장 긴 문자열
true,3047,ABC
true,3055,탈출
true,3078,좋은 친구
true,3085,사탕 게임
true,3117,YouTube
true,3176,도로 네트워크
true,3190,뱀
true,3425,고스택
true,3606,Cellular Automaton
true,3653,영화 수집
true,3745,오름세
true,3780,네트워크 연결
true,3830,교수님은 기다리지 않는다
true,3860,할로윈 묘지
true,3896,소수 사이 수열
true,3955,캔디 분배
true,3977,축구 전술
true,3986,좋은 단어
true,4013,ATM
true,4195,친구 네트워크
true,4196,도미노
true,4256,트리
true,4354,문자열 제곱
true,4358,생태학
true,4373,수집합
true,4375,1
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4781,사탕 가게
true,4796,캠핑
true,4803,트리
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,5014,스타트링크
true,5052,전화번호 목록
true,5076,Web Pages
true,5397,키로거
true,5427,불
true,5430,AC
true,5446,용량 부족
true,5557,1학년
true,5568,카드 놓기
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5639,이진 검색 트리
true,5676,음주 코딩
true,5719,거의 최단 경로
true,5977,Mowing the Lawn
true,6086,최대 유량
true,6236,용돈 관리
true,6416,트리인가?
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6679,싱기한 네자리 숫자
true,6988,타일 밟기
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
