정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1039,교환
true,1049,기타줄
true,1051,숫자 정사각형
true,1063,킹
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1126,같은 탑
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1296,데이트
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1337,올바른 배열
true,1342,행운의 문자열
true,1344,축구
true,1350,진짜 공간
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1448,삼각형 만들기
true,1450,냅색문제
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1550,16진수
true,1561,놀이 공원
true,1568,새
true,1600,말이 되고픈 원숭이
true,1614,영식이의 손가락
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1668,트로피 진열
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1718,암호
true,1720,타일 코드
true,1725,히스토그램
true,1735,분수 합
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1766,문제집
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1793,타일링
true,1806,부분합
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1948,임계경로
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2016,미팅 주선하기
true,2042,구간 합 구하기
true,2056,작업
true,2075,N번째 큰 수
true,2086,피보나치 수의 합
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2212,센서
true,2225,합분해
true,2228,구간 나누기
true,2231,분해합
true,2234,성곽
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2263,트리의 순회
true,2266,금고 테스트
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2407,조합
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2460,지능형 기차 2
true,2468,안전 영역
true,2470,두 용액
true,2475,검증수
true,2482,색상환
true,2493,탑
true,2503,숫자 야구
true,2512,예산
true,2517,달리기
true,2525,오븐 시계
true,2526,싸이클
true,2530,인공지능 시계
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2661,좋은수열
true,2667,단지번호붙이기
true,2738,행렬 덧셈
true,2741,N 찍기
true,2742,기찍 N
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2776,암기왕
true,2805,나무 자르기
true,2841,외계인의 기타 연주
true,2846,오르막길
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2941,크로아티아 알파벳
true,2942,퍼거슨과 사과
true,2965,캥거루 세마리
true,2998,8진수
true,3012,올바른 괄호 문자열
true,3020,개똥벌레
true,3046,R2
true,3055,탈출
true,3062,수 뒤집기
true,3063,게시판
true,3079,입국심사
true,3085,사탕 게임
true,3176,도로 네트워크
true,3190,뱀
true,3649,로봇 프로젝트
true,3758,KCPC
true,3986,좋은 단어
true,4095,최대 정사각형
true,4307,개미
true,4485,녹색 옷 입은 애가 젤다지?
true,4963,섬의 개수
true,5557,1학년
true,5586,JOI와 IOI
true,5598,카이사르 암호
true,5622,다이얼
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7469,K번째 수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,8393,합
true,9007,카누 선수
true,9009,피보나치
true,9011,순서
true,9012,괄호
true,9015,정사각형
true,9046,복호화
true,9047,6174
true,9076,점수 집계
true,9077,지뢰제거
true,9078,정렬
true,9079,동전 게임
true,9080,PC방 요금
true,9081,단어 맞추기
true,9082,지뢰찾기
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9327,용량 확보
true,9328,열쇠
true,9370,미확인 도착지
true,9461,파도반 수열
true,9465,스티커
true,9471,피사노 주기
true,9494,Text Roll
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9935,문자열 폭발
true,9996,한국이 그리울 땐 서버에 접속하지
true,10039,평균 점수
true,10157,자리배정
true,10159,저울
true,10164,격자상의 경로
true,10211,Maximum Subarray
true,10216,Count Circle Groups
true,10250,ACM 호텔
true,10252,그리드 그래프
true,10256,돌연변이
true,10430,나머지
true,10448,유레카 이론
true,10472,십자뒤집기
true,10610,30
true,10707,수도요금
true,10718,We love kriii
true,10750,Censoring
true,10784,Amalgamated Artichokes
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10826,피보나치 수 4
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10986,나머지 합
true,10987,모음의 개수
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11062,카드 게임
true,11066,파일 합치기
true,11067,모노톤길
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11266,단절점
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11399,ATM
true,11400,단절선
true,11401,이항 계수 3
true,11402,이항 계수 4
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11439,이항 계수 5
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,12015,가장 긴 증가하는 부분 수열 2
true,12094,2048 (Hard)
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12837,가계부 (Hard)
true,13171,A
true,13244,Tree
true,13325,이진 트리
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13900,순서쌍의 곱의 합
true,13977,이항 계수와 쿼리
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14728,벼락치기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14891,톱니바퀴
true,15486,퇴사 2
true,15683,감시
true,15686,치킨 배달
true,15792,A/B - 2
true,15953,상금 헌터
false,1081,합
false,1245,농장 관리
false,1373,2진수 8진수
false,1789,수들의 합
false,1799,비숍
false,1838,버블 정렬
false,1944,복제 로봇
false,2159,케익 배달
false,2213,트리의 독립집합
false,2261,가장 가까운 두 점
false,2316,도시 왕복하기 2
false,2504,괄호의 값
false,2632,피자판매
false,2643,색종이 올려 놓기
false,2957,이진 탐색 트리
false,3015,오아시스 재결합
false,5582,공통 부분 문자열
false,6064,카잉 달력
false,7576,토마토
false,7662,이중 우선순위 큐
false,9006,다리
false,9083,셔틀버스
false,9373,복도 뚫기
false,9613,GCD 합
false,10253,헨리
false,10422,괄호
false,11003,최솟값 찾기
false,11657,타임머신
false,11931,수 정렬하기 4
false,13199,치킨 먹고 싶다
