정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1092,배
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1251,단어 나누기
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1297,TV 크기
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1350,진짜 공간
true,1351,무한 수열
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1417,국회의원 선거
true,1427,소트인사이드
true,1431,시리얼 번호
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1527,금민수의 개수
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1547,공
true,1561,놀이 공원
true,1562,계단 수
true,1592,영식이와 친구들
true,1605,반복 부분문자열
true,1612,가지고 노는 1
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1718,암호
true,1722,순열의 순서
true,1735,분수 합
true,1744,수 묶기
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1799,비숍
true,1806,부분합
true,1837,암호제작
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2002,추월
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2229,조 짜기
true,2231,분해합
true,2240,자두나무
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2315,가로등 끄기
true,2343,기타 레슨
true,2352,반도체 설계
true,2355,시그마
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2458,키 순서
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2482,색상환
true,2490,윷놀이
true,2491,수열
true,2492,보석
true,2493,탑
true,2494,숫자 맞추기
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2511,카드놀이
true,2512,예산
true,2515,전시장
true,2517,달리기
true,2525,오븐 시계
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2615,오목
true,2616,소형기관차
true,2617,구슬 찾기
true,2618,경찰차
true,2622,삼각형만들기
true,2623,음악프로그램
true,2631,줄세우기
true,2637,장난감조립
true,2638,치즈
true,2644,촌수계산
true,2662,기업투자
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2725,보이는 점의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2812,크게 만들기
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2920,음계
true,2933,미네랄
true,2935,소음
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2961,도영이가 만든 맛있는 음식
true,2966,찍기
true,2975,Transactions
true,2985,세 수
true,2986,파스칼
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3020,개똥벌레
true,3023,마술사 이민혁
true,3033,가장 긴 문자열
true,3034,앵그리 창영
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3053,택시 기하학
true,3055,탈출
true,3079,입국심사
true,3085,사탕 게임
true,3190,뱀
true,3460,이진수
true,3671,산업 스파이의 편지
true,3908,서로 다른 소수의 합
true,3933,라그랑주의 네 제곱수 정리
true,3943,헤일스톤 수열
true,4101,크냐?
true,4195,친구 네트워크
true,4307,개미
true,4344,평균은 넘겠지
true,4375,1
true,4458,첫 글자를 대문자로
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5032,탄산 음료
true,5052,전화번호 목록
true,5063,TGN
true,5373,큐빙
true,5397,키로거
true,5430,AC
true,5543,상근날드
true,5549,행성 탐사
true,5557,1학년
true,5565,영수증
true,5566,주사위 게임
true,5567,결혼식
true,5568,카드 놓기
true,5569,출근 경로
true,5573,산책
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5622,다이얼
true,5626,제단
true,5704,팬그램
true,5719,거의 최단 경로
true,6321,IBM 빼기 1
true,6359,만취한 상범
true,6378,디지털 루트
true,6416,트리인가?
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7453,합이 0인 네 정수
true,7469,K번째 수
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7573,고기잡이
true,7576,토마토
true,7579,앱
true,7785,회사에 있는 사람
true,8149,Weights
true,8320,직사각형을 만드는 방법
true,8393,합
true,8892,팰린드롬
true,8958,OX퀴즈
true,8979,올림픽
true,8983,사냥꾼
true,9012,괄호
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9237,이장님 초대
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9251,LCS
true,9252,LCS 2
true,9324,진짜 메시지
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9536,여우는 어떻게 울지?
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,10039,평균 점수
true,10040,투표
true,10090,Counting Inversions
true,10102,개표
true,10157,자리배정
true,10164,격자상의 경로
true,10172,개
true,10250,ACM 호텔
true,10409,서버
true,10430,나머지
true,10448,유레카 이론
true,10539,수빈이와 수열
true,10605,드래곤 죽이기
true,10610,30
true,10711,모래성
true,10718,We love kriii
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10834,벨트
true,10835,카드게임
true,10844,쉬운 계단 수
true,10865,친구 친구
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10943,랜덤 게임~
true,10951,A+B - 4
true,10952,A+B - 5
true,10971,외판원 순회 2
true,10972,다음 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11003,최솟값 찾기
true,11004,K번째 수
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11068,회문인 수
true,11266,단절점
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11438,LCA 2
true,11497,통나무 건너뛰기
true,11501,주식
true,11502,세 개의 소수 문제
true,11504,돌려 돌려 돌림판!
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11650,좌표 정렬하기
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11816,"8진수, 10진수, 16진수"
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,11945,뜨거운 붕어빵
true,11966,2의 제곱인가?
true,12015,가장 긴 증가하는 부분 수열 2
true,12738,가장 긴 증가하는 부분 수열 3
true,12761,돌다리
true,12778,CTP공국으로 이민 가자
true,12790,Mini Fantasy War
true,12813,이진수 연산
true,12865,평범한 배낭
true,13241,최소공배수
true,13251,조약돌 꺼내기
true,13277,큰 수 곱셈
true,13308,주유소
true,13334,철로
true,13335,트럭
true,13458,시험 감독
true,13537,수열과 쿼리 1
true,13544,수열과 쿼리 3
true,13560,축구 게임
true,13565,침투
true,13567,로봇
true,13701,중복 제거
true,14405,피카츄
true,14425,문자열 집합
true,14487,욱제는 효도쟁이야!!
true,14489,치킨 두 마리 (...)
true,14490,백대열
true,14494,다이나믹이 뭐예요?
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14584,암호 해독
true,14592,2017 아주대학교 프로그래밍 경시대회 (Small)
true,14593,2017 아주대학교 프로그래밍 경시대회 (Large)
true,14594,동방 프로젝트 (Small)
true,14595,동방 프로젝트 (Large)
true,14646,욱제는 결정장애야!!
true,14659,한조서열정리하고옴ㅋㅋ
true,14680,효빈이의 과외
true,14682,Shifty Sum
