정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1021,회전하는 큐
true,1026,보물
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1110,더하기 사이클
true,1111,IQ Test
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1185,유럽여행
true,1188,음식 평론가
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1267,핸드폰 요금
true,1275,커피숍2
true,1297,TV 크기
true,1309,동물원
true,1330,두 수 비교하기
true,1350,진짜 공간
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1406,에디터
true,1448,삼각형 만들기
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1500,최대 곱
true,1520,내리막 길
true,1540,정사각형의 개수
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1568,새
true,1629,곱셈
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1672,DNA 해독
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1717,집합의 표현
true,1725,히스토그램
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1765,닭싸움 팀 정하기
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1789,수들의 합
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1939,중량제한
true,1940,주몽
true,1946,신입 사원
true,1948,임계경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2098,외판원 순회
true,2110,공유기 설치
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2211,네트워크 복구
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2268,수들의 합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2355,시그마
true,2357,최솟값과 최댓값
true,2407,조합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2455,지능형 기차
true,2485,가로수
true,2490,윷놀이
true,2493,탑
true,2503,숫자 야구
true,2512,예산
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2583,영역 구하기
true,2588,곱셈
true,2592,대표값
true,2606,바이러스
true,2623,음악프로그램
true,2631,줄세우기
true,2644,촌수계산
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2875,대회 or 인턴
true,2884,알람 시계
true,2887,행성 터널
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2997,네 번째 수
true,3020,개똥벌레
true,3046,R2
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3085,사탕 게임
true,3176,도로 네트워크
true,3197,백조의 호수
true,3273,두 수의 합
true,3745,오름세
true,3780,네트워크 연결
true,3943,헤일스톤 수열
true,3980,선발 명단
true,3986,좋은 단어
true,4195,친구 네트워크
true,4358,생태학
true,4386,별자리 만들기
true,4504,배수 찾기
true,4796,캠핑
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5032,탄산 음료
true,5052,전화번호 목록
true,5063,TGN
true,5373,큐빙
true,5397,키로거
true,5446,용량 부족
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5565,영수증
true,5567,결혼식
true,5573,산책
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5639,이진 검색 트리
true,5670,휴대폰 자판
true,6359,만취한 상범
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7576,토마토
true,7785,회사에 있는 사람
true,7795,먹을 것인가 먹힐 것인가
true,8012,한동이는 영업사원!
true,8320,직사각형을 만드는 방법
true,8393,합
true,8979,올림픽
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9237,이장님 초대
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9426,중앙값 측정
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9546,3000번 버스
true,9550,아이들은 사탕을 좋아해
true,9663,N-Queen
true,9934,완전 이진 트리
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10040,투표
true,10163,색종이
true,10172,개
true,10250,ACM 호텔
true,10282,해킹
true,10423,전기가 부족해
true,10430,나머지
true,10448,유레카 이론
true,10569,다면체
true,10610,30
true,10699,오늘 날짜
true,10707,수도요금
true,10709,기상캐스터
true,10718,We love kriii
true,10774,저지
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10952,A+B - 5
true,10978,기숙사 재배정
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11279,최대 힙
true,11286,절댓값 힙
true,11382,꼬마 정민
true,11399,ATM
true,11401,이항 계수 3
true,11402,이항 계수 4
true,11403,경로 찾기
true,11404,플로이드
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11563,연돌이와 고잠녀
true,11568,민균이의 계략
true,11578,팀원 모집
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11758,CCW
true,11866,요세푸스 문제 0
true,12011,Splitting the Field
true,12015,가장 긴 증가하는 부분 수열 2
true,12018,Yonsei TOTO
true,12738,가장 긴 증가하는 부분 수열 3
true,12778,CTP공국으로 이민 가자
true,12783,곱셈 게임
true,12785,토쟁이의 등굣길
true,12787,지금 밥이 문제냐
true,12788,제 2회 IUPC는 잘 개최될 수 있을까?
true,12789,도키도키 간식드리미
true,12790,Mini Fantasy War
true,12837,가계부 (Hard)
true,12844,XOR
true,12893,적의 적
true,12899,데이터 구조
true,12993,이동3
true,13306,트리
true,13418,학교 탐방하기
true,13458,시험 감독
true,13505,두 수 XOR
true,13511,트리와 쿼리 2
true,14219,막대과자 포장
true,14264,정육각형과 삼각형
true,14405,피카츄
true,14425,문자열 집합
true,14499,주사위 굴리기
true,14501,퇴사
true,14568,2017 연세대학교 프로그래밍 경시대회
true,14612,김식당
true,14613,너의 티어는?
true,14614,Calculate!
true,14616,Explore space
true,14618,총깡 총깡
true,14621,나만 안되는 연애
true,14622,소수 게임
true,14623,감정이입
true,14645,와이버스 부릉부릉
true,14868,문명
true,14954,Happy Number
true,15480,LCA와 쿼리
true,15486,퇴사 2
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15784,질투진서
true,15786,Send me the money
true,15787,기차가 어둠을 헤치고 은하수를
true,15788,밸런스 스톤
true,15789,CTP 왕국은 한솔 왕국을 이길 수 있을까?
true,15791,세진이의 미팅
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15894,수학은 체육과목 입니다
true,15900,나무 탈출
true,15903,카드 합체 놀이
true,15997,승부 예측
true,16236,아기 상어
true,16400,소수 화폐
true,16430,제리와 톰
true,16562,친구비
true,16918,봄버맨
true,17072,아스키 아트
true,17073,나무 위의 빗물
true,17136,색종이 붙이기
true,17144,미세먼지 안녕!
true,17262,팬덤이 넘쳐흘러
true,17263,Sort 마스터 배지훈
true,17264,I AM IRONMAN
true,17265,나의 인생에는 수학과 함께
true,17266,어두운 굴다리
true,17298,오큰수
true,17363,우유가 넘어지면?
true,18250,철도 여행
false,1016,제곱 ㄴㄴ 수
false,1062,가르침
false,1131,숫자
false,1152,단어의 개수
false,1206,사람의 수
false,1212,8진수 2진수
false,1242,소풍
false,1407,2로 몇 번 나누어질까
false,1422,숫자의 신
false,1504,특정한 최단 경로
false,1652,누울 자리를 찾아라
false,1766,문제집
false,1915,가장 큰 정사각형
false,2240,자두나무
false,2358,평행선
false,2381,최대 거리
false,2609,최대공약수와 최소공배수
false,2618,경찰차
false,2819,상근이의 로봇
false,2823,유턴 싫어
false,2869,달팽이는 올라가고 싶다
false,2896,무알콜 칵테일
false,3101,토끼의 이동
false,4150,피보나치 수
false,10944,랜덤 게임~~
false,11004,K번째 수
false,11437,LCA
false,11920,버블 정렬
false,12021,보물 찾기
false,14615,Defend the CTP!!!
false,14889,스타트와 링크
false,15782,Calculate! 2
false,15783,세진 바이러스
false,15802,타노스
false,15904,UCPC는 무엇의 약자일까?
false,16115,팬이에요
false,16500,문자열 판별
false,16930,달리기
false,17135,캐슬 디펜스
false,17143,낚시왕
