정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1024,수열의 합
true,1026,보물
true,1037,약수
true,1038,감소하는 수
true,1057,토너먼트
true,1064,평행사변형
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1086,박성원
true,1094,막대기
true,1102,발전소
true,1110,더하기 사이클
true,1126,같은 탑
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1269,대칭 차집합
true,1275,커피숍2
true,1297,TV 크기
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1350,진짜 공간
true,1351,무한 수열
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1453,피시방 알바
true,1456,거의 소수
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1546,평균
true,1562,계단 수
true,1563,개근상
true,1592,영식이와 친구들
true,1613,역사
true,1629,곱셈
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1720,타일 코드
true,1725,히스토그램
true,1735,분수 합
true,1743,음식물 피하기
true,1753,최단경로
true,1759,암호 만들기
true,1766,문제집
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1834,나머지와 몫이 같은 수
true,1837,암호제작
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1940,주몽
true,1956,운동
true,1958,LCS 3
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2156,포도주 시식
true,2157,여행
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2240,자두나무
true,2248,이진수 찾기
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2263,트리의 순회
true,2268,수들의 합
true,2291,Sequence
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2342,Dance Dance Revolution
true,2343,기타 레슨
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2407,조합
true,2410,2의 멱수의 합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2449,전구
true,2455,지능형 기차
true,2468,안전 영역
true,2470,두 용액
true,2475,검증수
true,2482,색상환
true,2490,윷놀이
true,2503,숫자 야구
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2533,사회망 서비스(SNS)
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2616,소형기관차
true,2618,경찰차
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2644,촌수계산
true,2661,좋은수열
true,2662,기업투자
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2812,크게 만들기
true,2839,설탕 배달
true,2858,기숙사 바닥
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2904,수학은 너무 쉬워
true,2908,상수
true,2914,저작권
true,2921,도미노
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2961,도영이가 만든 맛있는 음식
true,2965,캥거루 세마리
true,2997,네 번째 수
true,3009,네 번째 점
true,3020,개똥벌레
true,3036,링
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3085,사탕 게임
true,3190,뱀
true,3687,성냥개비
true,3896,소수 사이 수열
true,3908,서로 다른 소수의 합
true,3943,헤일스톤 수열
true,4153,직각삼각형
true,4195,친구 네트워크
true,4256,트리
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4673,셀프 넘버
true,4796,캠핑
true,4803,트리
true,4811,알약
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,5014,스타트링크
true,5086,배수와 약수
true,5427,불
true,5557,1학년
true,5569,출근 경로
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5622,다이얼
true,5639,이진 검색 트리
true,6236,용돈 관리
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9370,미확인 도착지
true,9421,소수상근수
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9546,3000번 버스
true,9550,아이들은 사탕을 좋아해
true,9663,N-Queen
true,9711,피보나치
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10250,ACM 호텔
true,10422,괄호
true,10430,나머지
true,10448,유레카 이론
true,10569,다면체
true,10597,순열장난
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10993,별 찍기 - 18
true,10994,별 찍기 - 19
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10997,별 찍기 - 22
true,10998,A×B
true,11000,강의실 배정
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11505,구간 곱 구하기
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11866,요세푸스 문제 0
true,11969,Breed Counting
true,12015,가장 긴 증가하는 부분 수열 2
true,12836,가계부 (Easy)
true,12837,가계부 (Hard)
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,13015,별 찍기 - 23
true,13302,리조트
true,13398,연속합 2
true,13460,구슬 탈출 2
true,13913,숨바꼭질 4
true,14226,이모티콘
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14699,관악산 등산
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15683,감시
true,15686,치킨 배달
true,16139,인간-컴퓨터 상호작용
true,16236,아기 상어
true,16397,탈출
true,16437,양 구출 작전
true,16507,어두운 건 무서워
true,16562,친구비
true,16681,등산
true,17136,색종이 붙이기
true,17203,∑|ΔEasyMAX|
true,17404,RGB거리 2
false,1103,게임
false,1107,리모컨
false,1596,영식함수
false,1722,순열의 순서
false,5376,소수를 분수로
false,6064,카잉 달력
false,10217,KCM Travel
false,11004,K번째 수
false,11652,카드
false,11657,타임머신
