정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1057,토너먼트
true,1059,수2
true,1062,가르침
true,1065,한수
true,1068,트리
true,1072,게임
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1092,배
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1197,최소 스패닝 트리
true,1238,파티
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1339,단어 수학
true,1351,무한 수열
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1427,소트인사이드
true,1446,지름길
true,1449,수리공 항승
true,1451,직사각형으로 나누기
true,1456,거의 소수
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1500,최대 곱
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1520,내리막 길
true,1546,평균
true,1600,말이 되고픈 원숭이
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1662,압축
true,1670,정상 회담 2
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1719,택배
true,1720,타일 코드
true,1743,음식물 피하기
true,1744,수 묶기
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1774,우주신과의 교감
true,1786,찾기
true,1789,수들의 합
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1946,신입 사원
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2023,신기한 소수
true,2056,작업
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2109,순회강연
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2170,선 긋기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2212,센서
true,2217,로프
true,2225,합분해
true,2226,이진수
true,2230,수 고르기
true,2231,분해합
true,2240,자두나무
true,2252,줄 세우기
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2410,2의 멱수의 합
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2458,키 순서
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2482,색상환
true,2490,윷놀이
true,2493,탑
true,2502,떡 먹는 호랑이
true,2522,별 찍기 - 12
true,2553,마지막 팩토리얼 수
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2624,동전 바꿔주기
true,2631,줄세우기
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2696,중앙값 구하기
true,2698,인접한 비트의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2798,블랙잭
true,2812,크게 만들기
true,2822,점수 계산
true,2824,최대공약수
true,2839,설탕 배달
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2941,크로아티아 알파벳
true,2957,이진 탐색 트리
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2981,검문
true,3046,R2
true,3047,ABC
true,3053,택시 기하학
true,3055,탈출
true,3190,뱀
true,3908,서로 다른 소수의 합
true,4095,최대 정사각형
true,4153,직각삼각형
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4781,사탕 가게
true,4796,캠핑
true,4811,알약
true,4883,삼각 그래프
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4999,아!
true,5014,스타트링크
true,5052,전화번호 목록
true,5063,TGN
true,5427,불
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5558,チーズ
true,5565,영수증
true,5567,결혼식
true,5569,출근 경로
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5622,다이얼
true,5719,거의 최단 경로
true,5972,택배 배송
true,6064,카잉 달력
true,6359,만취한 상범
true,6497,전력난
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7570,줄 세우기
true,7576,토마토
true,7662,이중 우선순위 큐
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,9009,피보나치
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9204,체스
true,9251,LCS
true,9252,LCS 2
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9663,N-Queen
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10172,개
true,10282,해킹
true,10422,괄호
true,10430,나머지
true,10707,수도요금
true,10718,We love kriii
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10830,행렬 제곱
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10859,뒤집어진 소수
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10998,A×B
true,11000,강의실 배정
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11444,피보나치 수 6
true,11497,통나무 건너뛰기
true,11559,Puyo Puyo
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11779,최소비용 구하기 2
true,12100,2048 (Easy)
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,12904,A와 B
true,13023,ABCDE
true,13275,가장 긴 팰린드롬 부분 문자열
true,13398,연속합 2
true,13424,비밀 모임
true,13458,시험 감독
true,13549,숨바꼭질 3
true,13699,점화식
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14226,이모티콘
true,14284,간선 이어가기 2
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14888,연산자 끼워넣기
true,14890,경사로
true,14940,쉬운 최단거리
true,15552,빠른 A+B
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15686,치킨 배달
true,15886,내 선물을 받아줘 2
true,15947,아기 석환 뚜루루 뚜루
true,15954,인형들
true,16212,정열적인 정렬
true,16433,주디와 당근농장
true,16916,부분 문자열
true,17087,숨바꼭질 6
true,17141,연구소 2
true,17142,연구소 3
true,17268,미팅의 저주
true,17298,오큰수
true,17396,백도어
true,17609,회문
false,1212,8진수 2진수
false,1373,2진수 8진수
false,2013,선그리기
false,4092,비트 개수 세기
false,7737,삼각분할
false,9711,피보나치
false,10944,랜덤 게임~~
