정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1016,제곱 ㄴㄴ 수
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1072,게임
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1105,팔
true,1110,더하기 사이클
true,1111,IQ Test
true,1145,적어도 대부분의 배수
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1173,운동
true,1181,단어 정렬
true,1188,음식 평론가
true,1193,분수찾기
true,1205,등수 구하기
true,1212,8진수 2진수
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1246,온라인 판매
true,1252,이진수 덧셈
true,1260,DFS와 BFS
true,1263,시간 관리
true,1267,핸드폰 요금
true,1269,대칭 차집합
true,1292,쉽게 푸는 문제
true,1296,데이트
true,1297,TV 크기
true,1302,베스트셀러
true,1303,전쟁 - 전투
true,1309,동물원
true,1312,소수
true,1316,그룹 단어 체커
true,1343,폴리오미노
true,1350,진짜 공간
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1393,음하철도 구구팔
true,1402,아무래도이문제는A번난이도인것같다
true,1408,24
true,1421,나무꾼 이다솜
true,1427,소트인사이드
true,1446,지름길
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1500,최대 곱
true,1520,내리막 길
true,1531,투명
true,1535,안녕
true,1546,평균
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1568,새
true,1598,꼬리를 무는 숫자 나열
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1655,가운데를 말해요
true,1668,트로피 진열
true,1669,멍멍이 쓰다듬기
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1706,크로스워드
true,1711,직각삼각형
true,1712,손익분기점
true,1718,암호
true,1735,분수 합
true,1755,숫자놀이
true,1756,피자 굽기
true,1764,듣보잡
true,1766,문제집
true,1773,폭죽쇼
true,1822,차집합
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1871,좋은 자동차 번호판
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1913,달팽이
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1977,완전제곱수
true,1978,소수 찾기
true,1990,소수인팰린드롬
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2037,문자메시지
true,2075,N번째 큰 수
true,2096,내려가기
true,2133,타일 채우기
true,2153,소수 단어
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2171,직사각형의 개수
true,2178,미로 탐색
true,2193,이친수
true,2230,수 고르기
true,2292,벌집
true,2293,동전 1
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2355,시그마
true,2357,최솟값과 최댓값
true,2399,거리의 합
true,2415,직사각형
true,2417,정수 제곱근
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2435,기상청 인턴 신현수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2460,지능형 기차 2
true,2468,안전 영역
true,2470,두 용액
true,2475,검증수
true,2477,참외밭
true,2480,주사위 세개
true,2485,가로수
true,2490,윷놀이
true,2491,수열
true,2495,연속구간
true,2501,약수 구하기
true,2506,점수계산
true,2511,카드놀이
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2531,회전 초밥
true,2535,아시아 정보올림피아드
true,2547,사탕 선생 고창영
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2567,색종이 - 2
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2592,대표값
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2622,삼각형만들기
true,2624,동전 바꿔주기
true,2636,치즈
true,2638,치즈
true,2655,가장높은탑쌓기
true,2665,미로만들기
true,2667,단지번호붙이기
true,2671,잠수함식별
true,2675,문자열 반복
true,2684,동전 게임
true,2693,N번째 큰 수
true,2695,공
true,2696,중앙값 구하기
true,2702,초6 수학
true,2703,Cryptoquote
true,2711,오타맨 고창영
true,2712,미국 스타일
true,2720,세탁소 사장 동혁
true,2729,이진수 덧셈
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2755,이번학기 평점은 몇점?
true,2765,자전거 속도
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2780,비밀번호
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2857,FBI
true,2858,기숙사 바닥
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2870,수학숙제
true,2884,알람 시계
true,2896,무알콜 칵테일
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2916,자와 각도기
true,2920,음계
true,2921,도미노
true,2935,소음
true,2942,퍼거슨과 사과
true,2947,나무 조각
true,2948,2009년
true,2953,나는 요리사다
true,2954,창영이의 일기장
true,2959,거북이
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2966,찍기
true,2979,트럭 주차
true,2985,세 수
true,2997,네 번째 수
true,2998,8진수
true,3000,직각 삼각형
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3005,크로스워드 퍼즐 쳐다보기
true,3008,직각 삼각형의 개수
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3028,창영마을
true,3029,경고
true,3034,앵그리 창영
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3058,짝수를 찾아라
true,3059,등장하지 않는 문자의 합
true,3060,욕심쟁이 돼지
true,3061,사다리
true,3062,수 뒤집기
true,3067,Coins
true,3076,상근이의 체스판
true,3135,라디오
true,3226,전화 요금
true,3372,보드 점프
true,3449,해밍 거리
true,3460,이진수
true,3745,오름세
true,3758,KCPC
true,3943,헤일스톤 수열
true,4101,크냐?
true,4158,CD
true,4159,알래스카
true,4243,보안 업체
true,4256,트리
true,4299,AFC 윔블던
true,4307,개미
true,4344,평균은 넘겠지
true,4375,1
true,4388,받아올림
true,4435,중간계 전쟁
true,4436,엘프의 검
true,4458,첫 글자를 대문자로
true,4470,줄번호
true,4493,가위 바위 보?
true,4504,배수 찾기
true,4539,반올림
true,4564,숫자 카드놀이
true,4597,패리티
true,4706,쌍둥이 역설
true,4766,일반 화학 실험
true,4806,줄 세기
true,4880,다음수
true,4892,숫자 맞추기 게임
true,4921,나무 블록
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4998,저금
true,4999,아!
true,5026,박사 과정
true,5032,탄산 음료
true,5054,주차의 신
true,5063,TGN
true,5086,배수와 약수
true,5176,대회 자리
true,5212,지구 온난화
true,5217,쌍의 합
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5354,J박스
true,5355,화성 수학
true,5361,전투 드로이드 가격
true,5363,요다
true,5426,비밀 편지
true,5430,AC
true,5522,카드 게임
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5565,영수증
true,5567,결혼식
true,5586,JOI와 IOI
true,5613,계산기 프로그램
true,5618,공약수
true,5622,다이얼
true,5635,생일
true,5636,소수 부분 문자열
true,5675,시침과 분침
true,5691,평균 중앙값 문제
true,5692,팩토리얼 진법
true,5698,Tautogram
true,5704,팬그램
true,5717,상근이의 친구들
true,5724,파인만
true,5789,한다 안한다
true,5800,성적 통계
true,5893,17배
true,6064,카잉 달력
true,6321,IBM 빼기 1
true,6322,직각 삼각형의 두 변
true,6502,동혁 피자
true,6588,골드바흐의 추측
true,6996,애너그램
true,7287,등록
true,7489,팩토리얼
true,7510,고급 수학
true,7523,Gauß
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7571,점 모으기
true,7572,간지(干支)
true,7600,문자가 몇갤까
true,7662,이중 우선순위 큐
true,7795,먹을 것인가 먹힐 것인가
true,8320,직사각형을 만드는 방법
true,8393,합
true,8394,악수
true,8741,이진수 합
true,8949,대충 더해
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,8979,올림픽
true,9012,괄호
true,9020,골드바흐의 추측
true,9047,6174
true,9076,점수 집계
true,9085,더하기
true,9086,문자열
true,9093,단어 뒤집기
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9226,도깨비말
true,9237,이장님 초대
true,9243,파일 완전 삭제
true,9324,진짜 메시지
true,9325,얼마?
true,9455,박스
true,9461,파도반 수열
true,9494,Text Roll
true,9498,시험 성적
true,9501,꿍의 우주여행
true,9517,아이 러브 크로아티아
true,9546,3000번 버스
true,9575,행운의 수
true,9625,BABBA
true,9626,크로스워드 퍼즐
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9733,꿀벌
true,9933,민균이의 비밀번호
true,9987,포켓몬 마스터
true,9996,한국이 그리울 땐 서버에 접속하지
true,10026,적록색약
true,10039,평균 점수
true,10093,숫자
true,10101,삼각형 외우기
true,10102,개표
true,10103,주사위 게임
true,10156,과자
true,10162,전자레인지
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10212,Mystery
true,10214,Baseball
true,10250,ACM 호텔
true,10252,그리드 그래프
true,10253,헨리
true,10258,스위치 배열
true,10430,나머지
true,10599,페르시아의 왕들
true,10699,오늘 날짜
true,10718,We love kriii
true,10751,COW
true,10757,큰 수 A+B
true,10769,행복한지 슬픈지
true,10797,10부제
true,10798,세로읽기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11048,이동하기
true,11052,카드 구매하기
true,11067,모노톤길
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11399,ATM
true,11403,경로 찾기
true,11650,좌표 정렬하기
true,11653,소인수분해
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11816,"8진수, 10진수, 16진수"
true,11942,고려대는 사랑입니다
