정답여부,문제번호,문제이름
true,1000,A+B
true,1003,피보나치 함수
true,1006,습격자 초라기
true,1012,유기농 배추
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1039,교환
true,1043,거짓말
true,1062,가르침
true,1063,킹
true,1074,Z
true,1079,마피아
true,1087,쥐 잡기
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1111,IQ Test
true,1113,수영장 만들기
true,1121,도형
true,1126,같은 탑
true,1149,RGB거리
true,1150,백업
true,1158,요세푸스 문제
true,1160,Random Number Generator
true,1161,버스
true,1173,운동
true,1175,배달
true,1181,단어 정렬
true,1185,유럽여행
true,1188,음식 평론가
true,1194,"달이 차오른다, 가자."
true,1201,NMK
true,1208,부분수열의 합 2
true,1210,마피아
true,1226,국회
true,1237,정ㅋ벅ㅋ
true,1256,사전
true,1257,엄청난 부자
true,1260,DFS와 BFS
true,1261,알고스팟
true,1268,임시 반장 정하기
true,1275,커피숍2
true,1298,노트북의 주인을 찾아서
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1331,나이트 투어
true,1365,꼬인 전깃줄
true,1377,버블 소트
true,1395,스위치
true,1396,크루스칼의 공
true,1400,화물차
true,1406,에디터
true,1413,박스 안의 열쇠
true,1416,팬 서비스
true,1423,원숭이 키우기
true,1463,1로 만들기
true,1495,기타리스트
true,1509,팰린드롬 분할
true,1513,경로 찾기
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1557,제곱 ㄴㄴ
true,1562,계단 수
true,1563,개근상
true,1600,말이 되고픈 원숭이
true,1637,날카로운 눈
true,1644,소수의 연속합
true,1655,가운데를 말해요
true,1665,화물열차
true,1666,최대 증가 직사각형 집합
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1713,후보 추천하기
true,1717,집합의 표현
true,1720,타일 코드
true,1726,로봇
true,1742,레이싱결과
true,1747,소수&팰린드롬
true,1753,최단경로
true,1756,피자 굽기
true,1758,알바생 강호
true,1759,암호 만들기
true,1780,종이의 개수
true,1785,보드 게임
true,1799,비숍
true,1800,인터넷 설치
true,1802,종이 접기
true,1806,부분합
true,1849,순열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1917,정육면체 전개도
true,1922,네트워크 연결
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1941,소문난 칠공주
