정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1038,감소하는 수
true,1051,숫자 정사각형
true,1062,가르침
true,1065,한수
true,1068,트리
true,1074,Z
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1126,같은 탑
true,1146,지그재그 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1201,NMK
true,1202,보석 도둑
true,1213,팰린드롬 만들기
true,1219,오민식의 고민
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1285,동전 뒤집기
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1302,베스트셀러
true,1309,동물원
true,1312,소수
true,1315,RPG
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1339,단어 수학
true,1344,축구
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1463,1로 만들기
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1660,캡틴 이다솜
true,1670,정상 회담 2
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1708,볼록 껍질
true,1717,집합의 표현
true,1719,택배
true,1720,타일 코드
true,1722,순열의 순서
true,1725,히스토그램
true,1726,로봇
true,1727,커플 만들기
true,1744,수 묶기
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1793,타일링
true,1799,비숍
true,1806,부분합
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1947,선물 전달
true,1953,팀배분
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2014,소수의 곱
true,2018,수들의 합 5
true,2022,사다리
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2056,작업
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2138,전구와 스위치
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2151,거울 설치
true,2156,포도주 시식
true,2157,여행
true,2159,케익 배달
true,2161,카드1
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2281,데스노트
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2306,유전자
true,2309,일곱 난쟁이
true,2315,가로등 끄기
true,2320,끝말잇기
true,2331,반복수열
true,2342,Dance Dance Revolution
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2407,조합
true,2410,2의 멱수의 합
true,2412,암벽 등반
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2449,전구
true,2468,안전 영역
true,2482,색상환
true,2491,수열
true,2493,탑
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2515,전시장
true,2525,오븐 시계
true,2526,싸이클
true,2530,인공지능 시계
true,2532,먹이사슬
true,2533,사회망 서비스(SNS)
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2616,소형기관차
true,2617,구슬 찾기
true,2618,경찰차
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2661,좋은수열
true,2662,기업투자
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2670,연속부분최대곱
true,2671,잠수함식별
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2718,타일 채우기
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2792,보석 상자
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2840,행운의 바퀴
true,2841,외계인의 기타 연주
true,2869,달팽이는 올라가고 싶다
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2879,코딩은 예쁘게
true,2914,저작권
true,2920,음계
true,2931,가스관
true,2933,미네랄
true,2953,나는 요리사다
true,2961,도영이가 만든 맛있는 음식
true,2965,캥거루 세마리
true,2985,세 수
true,3015,오아시스 재결합
true,3020,개똥벌레
true,3046,R2
true,3047,ABC
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3079,입국심사
true,3109,빵집
true,3111,검열
true,3184,양
true,3187,양치기 꿍
true,3210,piloti
true,3745,오름세
true,3908,서로 다른 소수의 합
true,3943,헤일스톤 수열
true,3948,홍준이의 친위대
true,4013,ATM
true,4101,크냐?
true,4134,다음 소수
true,4179,불!
true,4195,친구 네트워크
true,4198,열차정렬
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4811,알약
true,4883,삼각 그래프
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5086,배수와 약수
true,5397,키로거
true,5427,불
true,5430,AC
true,5533,유니크
true,5556,타일
true,5557,1학년
true,5567,결혼식
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5618,공약수
true,5719,거의 최단 경로
true,5721,사탕 줍기 대회
true,6086,최대 유량
true,6087,레이저 통신
true,6118,숨바꼭질
true,6236,용돈 관리
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6599,The Tower of Babylon
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7579,앱
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8393,합
true,8941,Molar mass
true,8958,OX퀴즈
true,8981,입력숫자
true,8983,사냥꾼
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9342,염색체
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9576,책 나눠주기
true,9625,BABBA
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,9764,서로 다른 자연수의 합
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10093,숫자
true,10102,개표
true,10156,과자
true,10162,전자레인지
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10172,개
true,10211,Maximum Subarray
true,10214,Baseball
true,10282,해킹
true,10346,The Maze Makers
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10491,Quite a problem
true,10523,직선 찾기
true,10547,STUDENTSKO
true,10610,30
true,10707,수도요금
true,10718,We love kriii
true,10784,Amalgamated Artichokes
true,10797,10부제
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10826,피보나치 수 4
true,10827,a^b
true,10828,스택
true,10835,카드게임
true,10836,여왕벌
true,10837,동전 게임
true,10838,트리
true,10839,미술관
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11062,카드 게임
true,11066,파일 합치기
true,11286,절댓값 힙
true,11333,4×n 타일링
true,11375,열혈강호
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11406,책 구매하기 2
true,11408,열혈강호 5
true,11437,LCA
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11508,2+1 세일
true,11559,Puyo Puyo
true,11568,민균이의 계략
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11694,님 게임
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11866,요세푸스 문제 0
true,11867,박스 나누기 게임
true,11868,님 게임 2
true,12015,가장 긴 증가하는 부분 수열 2
