정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1035,조각 움직이기
true,1038,감소하는 수
true,1043,거짓말
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1062,가르침
true,1065,한수
true,1072,게임
true,1079,마피아
true,1103,게임
true,1107,리모컨
true,1109,섬
true,1110,더하기 사이클
true,1111,IQ Test
true,1113,수영장 만들기
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1175,배달
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1260,DFS와 BFS
true,1292,쉽게 푸는 문제
true,1303,전쟁 - 전투
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1339,단어 수학
true,1398,동전 문제
true,1400,화물차
true,1405,미친 로봇
true,1427,소트인사이드
true,1443,망가진 계산기
true,1463,1로 만들기
true,1473,미로 탈출
true,1475,방 번호
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1525,퍼즐
true,1532,동전 교환
true,1541,잃어버린 괄호
true,1546,평균
true,1559,놀라운 미로
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1633,최고의 팀 만들기
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1707,이분 그래프
true,1708,볼록 껍질
true,1717,집합의 표현
true,1720,타일 코드
true,1722,순열의 순서
true,1726,로봇
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1793,타일링
true,1799,비숍
true,1806,부분합
true,1865,웜홀
true,1874,스택 수열
true,1912,연속합
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1941,소문난 칠공주
true,1946,신입 사원
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2014,소수의 곱
true,2026,소풍
true,2065,나룻배
true,2108,통계학
true,2143,두 배열의 합
true,2146,다리 만들기
true,2156,포도주 시식
true,2164,카드2
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2217,로프
true,2231,분해합
true,2234,성곽
true,2252,줄 세우기
true,2263,트리의 순회
true,2290,LCD Test
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2346,풍선 터뜨리기
true,2367,파티
true,2407,조합
true,2411,아이템 먹기
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2468,안전 영역
true,2490,윷놀이
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2568,전깃줄 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2588,곱셈
true,2590,색종이
true,2602,돌다리 건너기
true,2629,양팔저울
true,2631,줄세우기
true,2633,로봇
true,2638,치즈
true,2641,다각형그리기
true,2661,좋은수열
true,2662,기업투자
true,2665,미로만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2676,라스칼 삼각형
true,2720,세탁소 사장 동혁
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2812,크게 만들기
true,2823,유턴 싫어
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2854,문제 출제
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2887,행성 터널
true,2890,카약
true,2905,홍준이와 울타리
true,2908,상수
true,2916,자와 각도기
true,2917,늑대 사냥꾼
true,2920,음계
true,2921,도미노
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,3019,테트리스
true,3020,개똥벌레
true,3025,돌 던지기
true,3052,나머지
true,3055,탈출
true,3079,입국심사
true,3085,사탕 게임
true,3108,로고
true,3109,빵집
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3425,고스택
true,3568,iSharp
true,3709,레이저빔은 어디로
true,3933,라그랑주의 네 제곱수 정리
true,3954,Brainf**k 인터프리터
true,3980,선발 명단
true,4179,불!
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,4811,알약
true,4889,안정적인 문자열
true,4902,삼각형의 값
true,4920,테트리스 게임
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4991,로봇 청소기
true,5014,스타트링크
true,5022,연결
true,5213,과외맨
true,5214,환승
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5430,AC
true,5502,팰린드롬
true,5529,저택
true,5543,상근날드
true,5557,1학년
true,5585,거스름돈
true,5622,다이얼
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,5913,준규와 사과
true,6064,카잉 달력
true,6086,최대 유량
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,6987,월드컵
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,8111,0과 1
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,8972,미친 아두이노
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9205,맥주 마시면서 걸어가기
true,9240,로버트 후드
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9376,탈옥
true,9466,텀 프로젝트
true,9498,시험 성적
true,9663,N-Queen
true,9935,문자열 폭발
true,9944,NxM 보드 완주하기
true,10039,평균 점수
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10430,나머지
true,10448,유레카 이론
true,10610,30
true,10711,모래성
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10797,10부제
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10875,뱀
true,10881,프로도의 선물 포장
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11408,열혈강호 5
true,11451,팩맨
true,11521,Boggle
true,11559,Puyo Puyo
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11775,SLON
true,11866,요세푸스 문제 0
true,11952,좀비
true,12100,2048 (Easy)
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13911,집 구하기
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14948,군대탈출하기
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15658,연산자 끼워넣기 (2)
true,15659,연산자 끼워넣기 (3)
true,15662,톱니바퀴 (2)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16768,Mooyo Mooyo
true,16918,봄버맨
true,16920,확장 게임
true,16926,배열 돌리기 1
true,16929,Two Dots
true,16933,벽 부수고 이동하기 3
true,16935,배열 돌리기 3
true,16939,2×2×2 큐브
true,16947,서울 지하철 2호선
true,16954,움직이는 미로 탈출
true,16957,체스판 위의 공
true,16985,Maaaaaaaaaze
true,16988,Baaaaaaaaaduk2 (Easy)
true,17070,파이프 옮기기 1
true,17071,숨바꼭질 5
true,17090,미로 탈출하기
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17209,새내기와 헌내기
true,17244,아맞다우산
true,17281,⚾
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17779,게리맨더링 2
true,17780,새로운 게임
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
true,18224,미로에 갇힌 건우
true,18258,큐 2
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
false,1917,정육면체 전개도
false,3045,이중 연결 리스트
false,4716,풍선
false,7332,편의점 알바
false,10265,MT
false,10597,순열장난
false,11657,타임머신
false,16927,배열 돌리기 2
