정답여부,문제번호,문제이름
true,1003,피보나치 함수
true,1005,ACM Craft
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1014,컨닝
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1039,교환
true,1057,토너먼트
true,1062,가르침
true,1063,킹
true,1068,트리
true,1069,집으로
true,1072,게임
true,1076,저항
true,1080,행렬
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1185,유럽여행
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1238,파티
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1302,베스트셀러
true,1305,광고
true,1309,동물원
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1339,단어 수학
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1406,에디터
true,1427,소트인사이드
true,1475,방 번호
true,1485,정사각형
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1546,평균
true,1547,공
true,1626,두 번째로 작은 스패닝 트리
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1713,후보 추천하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1735,분수 합
true,1739,도로 정비하기
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1765,닭싸움 팀 정하기
true,1766,문제집
true,1773,폭죽쇼
true,1774,우주신과의 교감
true,1786,찾기
true,1806,부분합
true,1837,암호제작
true,1854,K번째 최단경로 찾기
true,1874,스택 수열
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1939,중량제한
true,1940,주몽
true,1946,신입 사원
true,1956,운동
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1978,소수 찾기
true,1991,트리 순회
true,2003,수들의 합 2
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2094,강수량
true,2096,내려가기
true,2098,외판원 순회
true,2109,순회강연
true,2110,공유기 설치
true,2143,두 배열의 합
true,2150,Strongly Connected Component
true,2152,여행 계획 세우기
true,2156,포도주 시식
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2170,선 긋기
true,2188,축사 배정
true,2193,이친수
true,2207,가위바위보
true,2210,숫자판 점프
true,2212,센서
true,2220,힙 정렬
true,2231,분해합
true,2240,자두나무
true,2243,사탕상자
true,2252,줄 세우기
true,2268,수들의 합
true,2292,벌집
true,2294,동전 2
true,2309,일곱 난쟁이
true,2316,도시 왕복하기 2
true,2336,굉장한 학생
true,2342,Dance Dance Revolution
true,2357,최솟값과 최댓값
true,2399,거리의 합
true,2405,"세 수, 두 M"
true,2407,조합
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2449,전구
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2515,전시장
true,2517,달리기
true,2518,회전 테이블
true,2529,부등호
true,2557,Hello World
true,2563,색종이
true,2573,빙산
true,2576,홀수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2590,색종이
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2623,음악프로그램
true,2632,피자판매
true,2637,장난감조립
true,2644,촌수계산
true,2660,회장뽑기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2696,중앙값 구하기
true,2725,보이는 점의 개수
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2804,크로스워드 만들기
