정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1037,약수
true,1049,기타줄
true,1057,토너먼트
true,1062,가르침
true,1065,한수
true,1074,Z
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1162,도로포장
true,1167,트리의 지름
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1201,NMK
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1248,맞춰봐
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1285,동전 뒤집기
true,1300,K번째 수
true,1305,광고
true,1309,동물원
true,1330,두 수 비교하기
true,1339,단어 수학
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1517,버블 소트
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1561,놀이 공원
true,1600,말이 되고픈 원숭이
true,1614,영식이의 손가락
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1662,압축
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1806,부분합
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1891,사분면
true,1904,01타일
true,1912,연속합
true,1914,하노이 탑
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1933,스카이라인
true,1934,최소공배수
true,1935,후위 표기식2
true,1939,중량제한
true,1948,임계경로
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2022,사다리
true,2056,작업
true,2089,-2진수
true,2109,순회강연
true,2110,공유기 설치
true,2133,타일 채우기
true,2138,전구와 스위치
true,2143,두 배열의 합
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2257,화학식량
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2352,반도체 설계
true,2399,거리의 합
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2493,탑
true,2504,괄호의 값
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2579,계단 오르기
true,2580,스도쿠
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2659,십자카드 문제
true,2660,회장뽑기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2805,나무 자르기
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2961,도영이가 만든 맛있는 음식
true,3015,오아시스 재결합
true,3046,R2
true,3053,택시 기하학
true,3055,탈출
true,3085,사탕 게임
true,3111,검열
true,3986,좋은 단어
true,4811,알약
true,4902,삼각형의 값
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5397,키로거
true,5567,결혼식
true,5585,거스름돈
true,6064,카잉 달력
true,6087,레이저 통신
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7576,토마토
true,7785,회사에 있는 사람
true,8393,합
true,9012,괄호
true,9019,DSLR
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9250,문자열 집합 판별
true,9251,LCS
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9613,GCD 합
true,9663,N-Queen
true,9935,문자열 폭발
true,9944,NxM 보드 완주하기
true,10026,적록색약
true,10171,고양이
true,10172,개
true,10256,돌연변이
true,10430,나머지
true,10610,30
true,10718,We love kriii
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11444,피보나치 수 6
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11657,타임머신
true,11664,선분과 점
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,12015,가장 긴 증가하는 부분 수열 2
true,12104,순환 순열
true,12738,가장 긴 증가하는 부분 수열 3
true,12767,Ceiling Function
true,12886,돌 그룹
true,12904,A와 B
true,12906,새로운 하노이 탑
true,12919,A와 B 2
true,12970,AB
true,13023,ABCDE
true,13397,구간 나누기 2
true,13460,구슬 탈출 2
true,13505,두 수 XOR
true,13506,카멜레온 부분 문자열
true,13549,숨바꼭질 3
true,13576,Prefix와 Suffix
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14391,종이 조각
true,14395,4연산
true,14425,문자열 집합
true,14426,접두사 찾기
true,14442,벽 부수고 이동하기 2
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14696,딱지놀이
true,14697,방 배정하기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15683,감시
true,15686,치킨 배달
true,15953,상금 헌터
true,15954,인형들
true,15969,행복
true,15970,화살표 그리기
true,15988,"1, 2, 3 더하기 3"
true,15990,"1, 2, 3 더하기 5"
true,16194,카드 구매하기 2
true,16197,두 동전
true,16198,에너지 모으기
true,16236,아기 상어
true,16360,Go Latin
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16909,카드 구매하기 3
true,16916,부분 문자열
true,16917,양념 반 후라이드 반
true,16922,로마 숫자 만들기
true,16924,십자가 찾기
true,16928,뱀과 사다리 게임
true,16929,Two Dots
true,16932,모양 만들기
true,16933,벽 부수고 이동하기 3
true,16936,나3곱2
true,16937,두 스티커
true,16938,캠프 준비
true,16940,BFS 스페셜 저지
true,16943,숫자 재배치
true,16945,매직 스퀘어로 변경하기
true,16946,벽 부수고 이동하기 4
true,16947,서울 지하철 2호선
true,16948,데스 나이트
true,16953,A → B
true,16954,움직이는 미로 탈출
true,16956,늑대와 양
true,16968,차량 번호판 1
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,17070,파이프 옮기기 1
true,17085,십자가 2개 놓기
true,17086,아기 상어 2
true,17087,숨바꼭질 6
true,17088,등차수열 변환
true,17089,세 친구
true,17103,골드바흐 파티션
true,17141,연구소 2
true,17142,연구소 3
true,17298,오큰수
true,17299,오등큰수
true,17406,배열 돌리기 4
true,17413,단어 뒤집기 2
true,17436,소수의 배수
true,17608,막대기
true,17609,회문
true,17610,양팔저울
true,17614,369
true,17615,볼 모으기
true,18221,교수님 저는 취업할래요
true,18222,투에-모스 문자열
true,18223,민준이와 마산 그리고 건우
true,18224,미로에 갇힌 건우
false,15971,두 로봇
