정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1007,벡터 매칭
true,1008,A/B
true,1011,Fly me to the Alpha Centauri
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1029,그림 교환
true,1030,프렉탈 평면
true,1033,칵테일
true,1034,램프
true,1038,감소하는 수
true,1039,교환
true,1045,도로
true,1053,팰린드롬 공장
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1081,합
true,1083,소트
true,1085,직사각형에서 탈출
true,1099,알 수 없는 문장
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1114,통나무 자르기
true,1132,합
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1162,도로포장
true,1166,선물
true,1167,트리의 지름
true,1181,단어 정렬
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1238,파티
true,1253,좋다
true,1256,사전
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1300,K번째 수
true,1305,광고
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1339,단어 수학
true,1365,꼬인 전깃줄
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1450,냅색문제
true,1463,1로 만들기
true,1475,방 번호
true,1477,휴게소 세우기
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1546,평균
true,1561,놀이 공원
true,1562,계단 수
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1637,날카로운 눈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1708,볼록 껍질
true,1712,손익분기점
true,1717,집합의 표현
true,1725,히스토그램
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1781,컵라면
true,1786,찾기
true,1789,수들의 합
true,1799,비숍
true,1800,인터넷 설치
true,1806,부분합
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1893,시저 암호
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1949,우수 마을
true,1958,LCS 3
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2064,IP 주소
true,2079,팰린드롬
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2162,선분 그룹
true,2164,카드2
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2213,트리의 독립집합
true,2225,합분해
true,2231,분해합
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2263,트리의 순회
true,2292,벌집
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2401,최대 문자열 붙여넣기
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2448,별 찍기 - 11
true,2470,두 용액
true,2475,검증수
true,2493,탑
true,2504,괄호의 값
true,2512,예산
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2623,음악프로그램
true,2629,양팔저울
true,2630,색종이 만들기
true,2632,피자판매
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2718,타일 채우기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2887,행성 터널
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,3015,오아시스 재결합
true,3052,나머지
true,3055,탈출
true,3109,빵집
true,3190,뱀
true,3197,백조의 호수
true,3665,최종 순위
true,3954,Brainf**k 인터프리터
true,4153,직각삼각형
true,4179,불!
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4354,문자열 제곱
true,4358,생태학
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5052,전화번호 목록
true,5214,환승
true,5373,큐빙
true,5427,불
true,5430,AC
true,5557,1학년
true,5622,다이얼
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7568,덩치
true,7576,토마토
true,7579,앱
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9370,미확인 도착지
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9576,책 나눠주기
true,9663,N-Queen
true,9934,완전 이진 트리
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10159,저울
true,10165,버스 노선
true,10171,고양이
true,10172,개
true,10217,KCM Travel
true,10250,ACM 호텔
true,10430,나머지
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11066,파일 합치기
true,11375,열혈강호
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11501,주식
true,11505,구간 곱 구하기
true,11585,속타는 저녁 메뉴
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11657,타임머신
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11866,요세푸스 문제 0
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12781,PIZZA ALVOLOC
true,12865,평범한 배낭
true,13275,가장 긴 팰린드롬 부분 문자열
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14425,문자열 집합
true,14442,벽 부수고 이동하기 2
true,14444,가장 긴 팰린드롬 부분 문자열
true,14499,주사위 굴리기
true,14500,테트로미노
true,14502,연구소
true,14503,로봇 청소기
true,14517,팰린드롬 개수 구하기 (Large)
true,14725,개미굴
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14927,전구 끄기
true,14939,불 끄기
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15662,톱니바퀴 (2)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15811,복면산?!
true,15829,Hashing
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16283,Farm
true,16288,Passport Control
true,16567,바이너리 왕국
true,16637,괄호 추가하기
true,16719,ZOAC
true,16720,BAZE RUNNER
true,16933,벽 부수고 이동하기 3
true,17070,파이프 옮기기 1
true,17071,숨바꼭질 5
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17219,비밀번호 찾기
true,17281,⚾
true,17349,1루수가 누구야
true,17350,2루수 이름이 뭐야
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17626,Four Squares
true,17822,원판 돌리기
true,17837,새로운 게임 2
true,18111,마인크래프트
true,18809,Gaaaaaaaaaarden
false,1935,후위 표기식2
false,2261,가장 가까운 두 점
false,2515,전시장
false,2673,교차하지 않는 원의 현들의 최대집합
false,5620,가장 가까운 두 점의 거리
false,14572,스터디 그룹
false,15802,타노스
false,16282,Black Chain
false,18790,N의 배수 (1)
