정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1026,보물
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1074,Z
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1086,박성원
true,1094,막대기
true,1099,알 수 없는 문장
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1201,NMK
true,1202,보석 도둑
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1302,베스트셀러
true,1305,광고
true,1309,동물원
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1431,시리얼 번호
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1517,버블 소트
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1572,중앙값
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1708,볼록 껍질
true,1717,집합의 표현
true,1725,히스토그램
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1773,폭죽쇼
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1948,임계경로
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1992,쿼드트리
true,2011,암호코드
true,2026,소풍
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2225,합분해
true,2231,분해합
true,2243,사탕상자
true,2252,줄 세우기
true,2254,감옥 건설
true,2261,가장 가까운 두 점
true,2268,수들의 합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2344,거울
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2399,거리의 합
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2490,윷놀이
true,2512,예산
true,2517,달리기
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2798,블랙잭
true,2805,나무 자르기
true,2828,사과 담기 게임
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2865,나는 위대한 슈퍼스타K
true,2866,문자열 잘라내기
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2892,심심한 준규
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,3047,ABC
true,3058,짝수를 찾아라
true,3067,Coins
true,3109,빵집
true,3190,뱀
true,3653,영화 수집
true,3745,오름세
true,4179,불!
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4811,알약
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5052,전화번호 목록
true,5063,TGN
true,5354,J박스
true,5373,큐빙
true,5525,IOIOI
true,5545,최고의 피자
true,5567,결혼식
true,5585,거스름돈
true,5622,다이얼
true,5670,휴대폰 자판
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6118,숨바꼭질
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7785,회사에 있는 사람
true,8393,합
true,8958,OX퀴즈
true,8983,사냥꾼
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9240,로버트 후드
true,9251,LCS
true,9328,열쇠
true,9376,탈옥
true,9426,중앙값 측정
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9613,GCD 합
true,9934,완전 이진 트리
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10159,저울
true,10172,개
true,10423,전기가 부족해
true,10430,나머지
true,10546,배부른 마라토너
true,10610,30
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10797,10부제
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11266,단절점
true,11279,최대 힙
true,11365,!밀비 급일
true,11399,ATM
true,11400,단절선
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11650,좌표 정렬하기
true,11652,카드
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,12015,가장 긴 증가하는 부분 수열 2
true,12018,Yonsei TOTO
true,12100,2048 (Easy)
true,12837,가계부 (Hard)
true,12865,평범한 배낭
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13913,숨바꼭질 4
true,14226,이모티콘
true,14490,백대열
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14621,나만 안되는 연애
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14927,전구 끄기
true,14939,불 끄기
true,15552,빠른 A+B
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15683,감시
true,15685,드래곤 커브
true,15686,치킨 배달
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15782,Calculate! 2
true,15784,질투진서
true,15786,Send me the money
true,15787,기차가 어둠을 헤치고 은하수를
true,15788,밸런스 스톤
true,15789,CTP 왕국은 한솔 왕국을 이길 수 있을까?
true,15894,수학은 체육과목 입니다
true,15900,나무 탈출
true,15903,카드 합체 놀이
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16637,괄호 추가하기
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17141,연구소 2
true,17144,미세먼지 안녕!
true,17262,팬덤이 넘쳐흘러
true,17281,⚾
true,17362,수학은 체육과목 입니다 2
true,17363,우유가 넘어지면?
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17822,원판 돌리기
false,2164,카드2
false,4354,문자열 제곱
false,10816,숫자 카드 2
false,10866,덱
false,13545,수열과 쿼리 0
false,15791,세진이의 미팅
false,18821,홀수와 짝수의 대결
