정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1007,벡터 매칭
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1026,보물
true,1027,고층 건물
true,1028,다이아몬드 광산
true,1029,그림 교환
true,1034,램프
true,1037,약수
true,1038,감소하는 수
true,1043,거짓말
true,1049,기타줄
true,1053,팰린드롬 공장
true,1057,토너먼트
true,1071,소트
true,1074,Z
true,1085,직사각형에서 탈출
true,1086,박성원
true,1092,배
true,1107,리모컨
true,1110,더하기 사이클
true,1135,뉴스 전하기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1238,파티
true,1254,팰린드롬 만들기
true,1256,사전
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1275,커피숍2
true,1298,노트북의 주인을 찾아서
true,1330,두 수 비교하기
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1512,주기문으로 바꾸기
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1708,볼록 껍질
true,1717,집합의 표현
true,1735,분수 합
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1780,종이의 개수
true,1806,부분합
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2042,구간 합 구하기
true,2056,작업
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2133,타일 채우기
true,2143,두 배열의 합
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2212,센서
true,2225,합분해
true,2231,분해합
true,2239,스도쿠
true,2240,자두나무
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2316,도시 왕복하기 2
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2407,조합
true,2410,2의 멱수의 합
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2447,별 찍기 - 10
true,2449,전구
true,2467,용액
true,2473,세 용액
true,2475,검증수
true,2557,Hello World
true,2562,최댓값
true,2565,전깃줄
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2630,색종이 만들기
true,2631,줄세우기
true,2638,치즈
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2787,흔한 수열 문제
true,2793,숫자의 힘
true,2798,블랙잭
true,2805,나무 자르기
true,2824,최대공약수
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,3009,네 번째 점
true,3052,나머지
true,3053,택시 기하학
true,3176,도로 네트워크
true,3197,백조의 호수
true,3474,교수가 된 현우
true,3896,소수 사이 수열
true,3933,라그랑주의 네 제곱수 정리
true,4153,직각삼각형
true,4195,친구 네트워크
true,4355,서로소
true,4375,1
true,4384,공평하게 팀 나누기
true,4386,별자리 만들기
true,4883,삼각 그래프
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,5052,전화번호 목록
true,5086,배수와 약수
true,5376,소수를 분수로
true,5430,AC
true,5525,IOIOI
true,5557,1학년
true,5582,공통 부분 문자열
true,5639,이진 검색 트리
true,5670,휴대폰 자판
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6086,최대 유량
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,7469,K번째 수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7579,앱
true,7662,이중 우선순위 큐
true,8595,히든 넘버
true,8958,OX퀴즈
true,8986,전봇대
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9240,로버트 후드
true,9248,Suffix Array
true,9251,LCS
true,9252,LCS 2
true,9370,미확인 도착지
true,9375,패션왕 신해빈
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9576,책 나눠주기
true,9663,N-Queen
true,9935,문자열 폭발
true,10026,적록색약
true,10171,고양이
true,10172,개
true,10217,KCM Travel
true,10250,ACM 호텔
true,10610,30
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10818,"최소, 최대"
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10875,뱀
true,10881,프로도의 선물 포장
true,10885,수열의 장인
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11407,책 구매하기 3
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11437,LCA
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11570,환상의 듀엣
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11657,타임머신
true,11660,구간 합 구하기 5
true,11689,"GCD(n, k) = 1"
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11779,최소비용 구하기 2
true,11866,요세푸스 문제 0
true,12844,XOR
true,12849,본대 산책
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,13264,접미사 배열 2
true,13413,오셀로 재배치
true,13414,수강신청
true,13417,카드 문자열
true,13418,학교 탐방하기
true,13537,수열과 쿼리 1
true,13544,수열과 쿼리 3
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14245,XOR
true,14428,수열과 쿼리 16
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14863,서울에서 경산까지
true,14864,줄서기
true,14938,서강그라운드
true,14939,불 끄기
true,15650,N과 M (2)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15666,N과 M (12)
true,15686,치킨 배달
true,15828,Router
true,15829,Hashing
true,15892,사탕 줍는 로봇
true,15894,수학은 체육과목 입니다
true,15897,잘못 구현한 에라토스테네스의 체
true,15899,트리와 색깔
true,15900,나무 탈출
true,15903,카드 합체 놀이
true,16236,아기 상어
true,16491,대피소 찾기
true,16562,친구비
true,16724,피리 부는 사나이
true,16946,벽 부수고 이동하기 4
true,16953,A → B
true,16975,수열과 쿼리 21
true,16978,수열과 쿼리 22
true,17070,파이프 옮기기 1
true,17144,미세먼지 안녕!
true,17219,비밀번호 찾기
true,17367,공교육 도박
true,17370,육각형 우리 속의 개미
true,17404,RGB거리 2
true,17412,도시 왕복하기 1
true,17626,Four Squares
true,18111,마인크래프트
true,18119,단어 암기
true,18138,리유나는 세일러복을 좋아해
true,18258,큐 2
true,18436,수열과 쿼리 37
true,18870,좌표 압축
true,19532,수학은 비대면강의입니다
true,19535,ㄷㄷㄷㅈ
true,19538,루머
true,19539,사과나무
true,19541,역학 조사
true,19542,전단지 돌리기
true,19543,던전 지도
false,1006,습격자 초라기
false,1126,같은 탑
false,1214,쿨한 물건 구매
false,1585,경찰
false,1918,후위 표기식
false,2013,선그리기
false,8980,택배
false,9938,방 청소
false,11266,단절점
false,13415,정렬 게임
false,13421,국민 랜드
false,13974,파일 합치기 2
false,15783,세진 바이러스
false,17371,이사
