정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1028,다이아몬드 광산
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1052,물병
true,1057,토너먼트
true,1063,킹
true,1065,한수
true,1068,트리
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1105,팔
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1173,운동
true,1181,단어 정렬
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1205,등수 구하기
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1251,단어 나누기
true,1252,이진수 덧셈
true,1253,좋다
true,1254,팰린드롬 만들기
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1309,동물원
true,1316,그룹 단어 체커
true,1342,행운의 문자열
true,1350,진짜 공간
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1408,24
true,1427,소트인사이드
true,1439,뒤집기
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1504,특정한 최단 경로
true,1526,가장 큰 금민수
true,1546,평균
true,1547,공
true,1550,16진수
true,1560,비숍
true,1568,새
true,1592,영식이와 친구들
true,1660,캡틴 이다솜
true,1670,정상 회담 2
true,1697,숨바꼭질
true,1722,순열의 순서
true,1725,히스토그램
true,1735,분수 합
true,1764,듣보잡
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1838,버블 정렬
true,1871,좋은 자동차 번호판
true,1890,점프
true,1904,01타일
true,1913,달팽이
true,1914,하노이 탑
true,1924,2007년
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1952,달팽이2
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2002,추월
true,2010,플러그
true,2023,신기한 소수
true,2133,타일 채우기
true,2138,전구와 스위치
true,2153,소수 단어
true,2154,수 이어 쓰기 3
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2193,이친수
true,2210,숫자판 점프
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2407,조합
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2458,키 순서
true,2460,지능형 기차 2
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2475,검증수
true,2476,주사위 게임
true,2477,참외밭
true,2480,주사위 세개
true,2490,윷놀이
true,2491,수열
true,2493,탑
true,2495,연속구간
true,2501,약수 구하기
true,2503,숫자 야구
true,2504,괄호의 값
true,2506,점수계산
true,2511,카드놀이
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2527,직사각형
true,2528,사다리
true,2530,인공지능 시계
true,2531,회전 초밥
true,2535,아시아 정보올림피아드
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2592,대표값
true,2596,비밀편지
true,2605,줄 세우기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2636,치즈
true,2638,치즈
true,2659,십자카드 문제
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2671,잠수함식별
true,2675,문자열 반복
true,2684,동전 게임
true,2693,N번째 큰 수
true,2702,초6 수학
true,2711,오타맨 고창영
true,2720,세탁소 사장 동혁
true,2721,삼각수의 합
true,2729,이진수 덧셈
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2755,이번학기 평점은 몇점?
true,2774,아름다운 수
true,2776,암기왕
true,2789,유학 금지
true,2798,블랙잭
true,2816,디지털 티비
true,2822,점수 계산
true,2823,유턴 싫어
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2864,5와 6의 차이
true,2866,문자열 잘라내기
true,2884,알람 시계
true,2890,카약
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2985,세 수
true,2997,네 번째 수
true,2998,8진수
true,2999,비밀 이메일
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3028,창영마을
true,3029,경고
true,3034,앵그리 창영
true,3036,링
true,3046,R2
true,3047,ABC
true,3048,개미
true,3052,나머지
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3058,짝수를 찾아라
true,3062,수 뒤집기
true,3067,Coins
true,3190,뱀
true,3460,이진수
true,3474,교수가 된 현우
true,3671,산업 스파이의 편지
true,4101,크냐?
true,4134,다음 소수
true,4153,직각삼각형
true,4246,To and Fro
true,4458,첫 글자를 대문자로
true,4539,반올림
true,4540,Q
true,4564,숫자 카드놀이
true,4597,패리티
true,4641,Doubles
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4690,완전 세제곱
true,4766,일반 화학 실험
true,4880,다음수
true,4883,삼각 그래프
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4999,아!
true,5026,박사 과정
true,5054,주차의 신
true,5063,TGN
true,5086,배수와 약수
true,5176,대회 자리
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5361,전투 드로이드 가격
true,5363,요다
true,5397,키로거
true,5522,카드 게임
true,5532,방학 숙제
true,5543,상근날드
true,5565,영수증
true,5567,결혼식
true,5585,거스름돈
true,5586,JOI와 IOI
true,5618,공약수
true,5622,다이얼
true,5635,생일
true,5691,평균 중앙값 문제
true,5704,팬그램
true,5717,상근이의 친구들
true,5988,홀수일까 짝수일까
true,6131,완전 제곱수
true,6321,IBM 빼기 1
true,6376,e 계산
true,6378,디지털 루트
true,6679,싱기한 네자리 숫자
true,6996,애너그램
true,7287,등록
true,7510,고급 수학
true,7567,그릇
true,7662,이중 우선순위 큐
true,8320,직사각형을 만드는 방법
true,8393,합
true,8949,대충 더해
true,8958,OX퀴즈
true,8979,올림픽
true,9076,점수 집계
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9243,파일 완전 삭제
true,9325,얼마?
true,9455,박스
true,9494,Text Roll
true,9498,시험 성적
true,9501,꿍의 우주여행
true,9506,약수들의 합
true,9517,아이 러브 크로아티아
true,9575,행운의 수
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9659,돌 게임 5
true,9733,꿀벌
true,9935,문자열 폭발
true,9971,The Hardest Problem Ever
true,9987,포켓몬 마스터
true,10039,평균 점수
true,10093,숫자
true,10101,삼각형 외우기
true,10102,개표
true,10103,주사위 게임
true,10156,과자
true,10157,자리배정
true,10162,전자레인지
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10214,Baseball
true,10216,Count Circle Groups
true,10219,Meats On The Grill
true,10220,Self Representing Seq
true,10250,ACM 호텔
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10797,10부제
true,10798,세로읽기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10812,바구니 순서 바꾸기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10823,더하기 2
true,10824,네 수
true,10844,쉬운 계단 수
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10984,내 학점을 구해줘
true,11005,진법 변환 2
true,11047,동전 0
true,11048,이동하기
true,11052,카드 구매하기
true,11057,오르막 수
true,11067,모노톤길
true,11399,ATM
true,11403,경로 찾기
true,11650,좌표 정렬하기
true,11725,트리의 부모 찾기
true,11947,이런 반전이
true,12100,2048 (Easy)
true,12761,돌다리
true,12790,Mini Fantasy War
true,12791,Starman
true,12846,무서운 아르바이트
true,13458,시험 감독
true,13460,구슬 탈출 2
true,14499,주사위 굴리기
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,17281,⚾
false,1149,RGB거리
false,1398,동전 문제
false,1520,내리막 길
false,1563,개근상
false,1620,나는야 포켓몬 마스터 이다솜
false,1676,팩토리얼 0의 개수
false,1753,최단경로
false,1920,수 찾기
false,1931,회의실배정
false,2178,미로 탐색
false,2250,트리의 높이와 너비
false,2292,벌집
false,2436,공약수
false,2470,두 용액
false,2492,보석
false,2502,떡 먹는 호랑이
false,2653,안정된 집단
false,2662,기업투자
false,2869,달팽이는 올라가고 싶다
false,3095,플러스의 개수
false,5427,불
false,9249,최장 공통 부분 문자열
false,9613,GCD 합
false,10158,개미
