정답여부,문제번호,문제이름
true,1002,터렛
true,1004,어린 왕자
true,1005,ACM Craft
true,1009,분산처리
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1075,나누기
true,1083,소트
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1120,문자열
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1173,운동
true,1174,줄어드는 숫자
true,1182,부분수열의 합
true,1188,음식 평론가
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1264,모음의 개수
true,1267,핸드폰 요금
true,1269,대칭 차집합
true,1271,엄청난 부자2
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1300,K번째 수
true,1302,베스트셀러
true,1312,소수
true,1330,두 수 비교하기
true,1342,행운의 문자열
true,1365,꼬인 전깃줄
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1377,버블 소트
true,1402,아무래도이문제는A번난이도인것같다
true,1406,에디터
true,1408,24
true,1434,책 정리
true,1436,영화감독 숌
true,1449,수리공 항승
true,1453,피시방 알바
true,1476,날짜 계산
true,1516,게임 개발
true,1517,버블 소트
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1550,16진수
true,1564,팩토리얼5
true,1568,새
true,1592,영식이와 친구들
true,1598,꼬리를 무는 숫자 나열
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1712,손익분기점
true,1718,암호
true,1725,히스토그램
true,1766,문제집
true,1773,폭죽쇼
true,1777,순열복원
true,1780,종이의 개수
true,1789,수들의 합
true,1806,부분합
true,1838,버블 정렬
true,1849,순열
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1911,흙길 보수하기
true,1912,연속합
true,1915,가장 큰 정사각형
true,1919,애너그램 만들기
true,1920,수 찾기
true,1927,최소 힙
true,1937,욕심쟁이 판다
true,1958,LCS 3
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1987,알파벳
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2023,신기한 소수
true,2033,반올림
true,2042,구간 합 구하기
true,2083,럭비 클럽
true,2104,부분배열 고르기
true,2108,통계학
true,2139,나는 너가 살아온 날을 알고 있다
true,2145,숫자 놀이
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2217,로프
true,2231,분해합
true,2246,콘도 선정
true,2252,줄 세우기
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2331,반복수열
true,2338,긴자리 계산
true,2355,시그마
true,2357,최솟값과 최댓값
true,2399,거리의 합
true,2407,조합
true,2417,정수 제곱근
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2485,가로수
true,2490,윷놀이
true,2493,탑
true,2495,연속구간
true,2503,숫자 야구
true,2504,괄호의 값
true,2506,점수계산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2576,홀수
true,2579,계단 오르기
true,2588,곱셈
true,2592,대표값
true,2606,바이러스
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2693,N번째 큰 수
true,2702,초6 수학
true,2711,오타맨 고창영
true,2720,세탁소 사장 동혁
true,2729,이진수 덧셈
true,2738,행렬 덧셈
true,2740,행렬 곱셈
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2810,컵홀더
true,2812,크게 만들기
true,2822,점수 계산
true,2824,최대공약수
true,2845,파티가 끝나고 난 뒤
true,2857,FBI
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2903,중앙 이동 알고리즘
true,2909,캔디 구매
true,2914,저작권
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2942,퍼거슨과 사과
true,2953,나는 요리사다
true,2959,거북이
true,2960,에라토스테네스의 체
true,2961,도영이가 만든 맛있는 음식
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2981,검문
true,2985,세 수
true,2997,네 번째 수
true,2998,8진수
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3028,창영마을
true,3029,경고
true,3034,앵그리 창영
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3052,나머지
true,3053,택시 기하학
true,3058,짝수를 찾아라
true,3059,등장하지 않는 문자의 합
true,3449,해밍 거리
true,3460,이진수
true,3474,교수가 된 현우
true,3613,Java vs C++
true,3653,영화 수집
true,3986,좋은 단어
true,4101,크냐?
true,4150,피보나치 수
true,4153,직각삼각형
true,4458,첫 글자를 대문자로
true,4470,줄번호
true,4493,가위 바위 보?
true,4613,Quicksum
true,4641,Doubles
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4999,아!
true,5026,박사 과정
true,5032,탄산 음료
true,5063,TGN
true,5086,배수와 약수
true,5212,지구 온난화
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5355,화성 수학
true,5361,전투 드로이드 가격
true,5430,AC
true,5522,카드 게임
true,5523,경기 결과
true,5524,입실 관리
true,5525,IOIOI
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5555,반지
true,5565,영수증
true,5566,주사위 게임
true,5567,결혼식
true,5573,산책
true,5575,타임 카드
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5612,터널의 입구와 출구
true,5618,공약수
true,5639,이진 검색 트리
true,5656,비교 연산자
true,5671,호텔 방 번호
true,5717,상근이의 친구들
true,5800,성적 통계
true,5893,17배
true,5988,홀수일까 짝수일까
true,6064,카잉 달력
true,6359,만취한 상범
true,6376,e 계산
true,6443,애너그램
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6603,로또
true,7489,팩토리얼
true,7523,Gauß
true,7567,그릇
true,7568,덩치
true,7572,간지(干支)
true,7578,공장
true,7790,Joke
true,7806,GCD!
true,7894,큰 수
true,8320,직사각형을 만드는 방법
true,8595,히든 넘버
true,8741,이진수 합
true,8892,팰린드롬
true,9020,골드바흐의 추측
true,9084,동전
true,9085,더하기
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
