정답여부,문제번호,문제이름
true,1004,어린 왕자
true,1005,ACM Craft
true,1007,벡터 매칭
true,1009,분산처리
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1036,36진수
true,1038,감소하는 수
true,1039,교환
true,1041,주사위
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1067,이동
true,1068,트리
true,1074,Z
true,1081,합
true,1083,소트
true,1094,막대기
true,1103,게임
true,1107,리모컨
true,1111,IQ Test
true,1112,진법 변환
true,1113,수영장 만들기
true,1132,합
true,1138,한 줄로 서기
true,1141,접두사
true,1149,RGB거리
true,1153,네 개의 소수
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1182,부분수열의 합
true,1188,음식 평론가
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1225,이상한 곱셈
true,1229,빅뱅의 여섯 번째 멤버
true,1230,문자열 거리
true,1238,파티
true,1244,스위치 켜고 끄기
true,1253,좋다
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1276,교각 놓기
true,1286,부분 직사각형
true,1289,트리의 가중치
true,1292,쉽게 푸는 문제
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1303,전쟁 - 전투
true,1306,달려라 홍준
true,1309,동물원
true,1316,그룹 단어 체커
true,1322,X와 K
true,1325,효율적인 해킹
true,1339,단어 수학
true,1342,행운의 문자열
true,1344,축구
true,1351,무한 수열
true,1354,무한 수열 2
true,1365,꼬인 전깃줄
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1405,미친 로봇
true,1406,에디터
true,1407,2로 몇 번 나누어질까
true,1411,비슷한 단어
true,1436,영화감독 숌
true,1449,수리공 항승
true,1493,박스 채우기
true,1495,기타리스트
true,1500,최대 곱
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1527,금민수의 개수
true,1535,안녕
true,1541,잃어버린 괄호
true,1562,계단 수
true,1563,개근상
true,1572,중앙값
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1699,제곱수의 합
true,1707,이분 그래프
true,1708,볼록 껍질
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1725,히스토그램
true,1726,로봇
true,1735,분수 합
true,1743,음식물 피하기
true,1744,수 묶기
true,1747,소수&팰린드롬
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1790,수 이어 쓰기 2
true,1806,부분합
true,1849,순열
true,1850,최대공약수
true,1890,점프
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1922,네트워크 연결
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1967,트리의 지름
true,1976,여행 가자
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2011,암호코드
true,2014,소수의 곱
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2056,작업
true,2075,N번째 큰 수
true,2096,내려가기
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2166,다각형의 면적
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2188,축사 배정
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2239,스도쿠
true,2243,사탕상자
true,2247,실질적 약수
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2268,수들의 합
true,2294,동전 2
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2436,공약수
true,2437,저울
true,2448,별 찍기 - 11
true,2458,키 순서
true,2468,안전 영역
true,2482,색상환
true,2493,탑
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2563,색종이
true,2565,전깃줄
true,2573,빙산
true,2578,빙고
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2621,카드게임
true,2623,음악프로그램
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
