정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1006,습격자 초라기
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1024,수열의 합
true,1026,보물
true,1027,고층 건물
true,1031,스타 대결
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1041,주사위
true,1043,거짓말
true,1057,토너먼트
true,1058,친구
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1076,저항
true,1083,소트
true,1085,직사각형에서 탈출
true,1092,배
true,1094,막대기
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1135,뉴스 전하기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1242,소풍
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1275,커피숍2
true,1298,노트북의 주인을 찾아서
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1348,주차장
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1420,학교 가지마!
true,1427,소트인사이드
true,1436,영화감독 숌
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1517,버블 소트
true,1520,내리막 길
true,1546,평균
true,1547,공
true,1574,룩 어택
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1633,최고의 팀 만들기
true,1644,소수의 연속합
true,1652,누울 자리를 찾아라
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1726,로봇
true,1733,등번호
true,1748,수 이어 쓰기 1
true,1759,암호 만들기
true,1760,N-Rook
true,1764,듣보잡
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1806,부분합
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1980,햄버거 사랑
true,1981,배열에서 이동
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2015,수들의 합 4
true,2033,반올림
true,2042,구간 합 구하기
true,2057,팩토리얼 분해
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2186,문자판
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2240,자두나무
true,2243,사탕상자
true,2250,트리의 높이와 너비
true,2251,물통
true,2263,트리의 순회
true,2268,수들의 합
true,2287,모노디지털 표현
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2316,도시 왕복하기 2
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2407,조합
true,2414,게시판 구멍 막기
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2468,안전 영역
true,2482,색상환
true,2490,윷놀이
true,2493,탑
true,2501,약수 구하기
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2570,비숍2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2621,카드게임
true,2624,동전 바꿔주기
true,2631,줄세우기
true,2638,치즈
true,2644,촌수계산
true,2655,가장높은탑쌓기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2702,초6 수학
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2786,상근이의 레스토랑
true,2787,흔한 수열 문제
true,2792,보석 상자
true,2798,블랙잭
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2851,슈퍼 마리오
true,2857,FBI
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2900,프로그램
true,2908,상수
true,2909,캔디 구매
true,2910,빈도 정렬
true,2914,저작권
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2981,검문
true,2986,파스칼
true,3023,마술사 이민혁
true,3034,앵그리 창영
true,3036,링
true,3046,R2
true,3047,ABC
true,3053,택시 기하학
true,3055,탈출
true,3163,떨어지는 개미
true,3321,가장 큰 직사각형
true,3392,화성 지도
true,3640,제독
true,3653,영화 수집
true,3683,고양이와 개
true,3758,KCPC
true,3830,교수님은 기다리지 않는다
true,3980,선발 명단
true,4153,직각삼각형
true,4195,친구 네트워크
true,4243,보안 업체
true,4256,트리
true,4344,평균은 넘겠지
true,4493,가위 바위 보?
true,4504,배수 찾기
true,4583,거울상
true,4673,셀프 넘버
true,4716,풍선
true,4781,사탕 가게
true,4883,삼각 그래프
true,4889,안정적인 문자열
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5012,불만 정렬
true,5014,스타트링크
true,5032,탄산 음료
true,5063,TGN
true,5214,환승
true,5397,키로거
true,5427,불
true,5430,AC
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5618,공약수
true,5622,다이얼
true,5639,이진 검색 트리
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6086,최대 유량
true,6359,만취한 상범
true,6416,트리인가?
true,6549,히스토그램에서 가장 큰 직사각형
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,7287,등록
true,7453,합이 0인 네 정수
true,7469,K번째 수
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7662,이중 우선순위 큐
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8393,합
true,8891,점 숫자
true,8892,팰린드롬
true,8895,막대 배치
true,8958,OX퀴즈
true,8979,올림픽
true,9007,카누 선수
true,9009,피보나치
true,9010,Möbius Strip
true,9011,순서
true,9012,괄호
true,9015,정사각형
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9322,철벽 보안 알고리즘
true,9325,얼마?
true,9328,열쇠
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9426,중앙값 측정
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9576,책 나눠주기
true,9577,토렌트
true,9663,N-Queen
true,9934,완전 이진 트리
true,10026,적록색약
true,10039,평균 점수
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10160,암호
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10212,Mystery
true,10216,Count Circle Groups
true,10219,Meats On The Grill
true,10220,Self Representing Seq
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10252,그리드 그래프
true,10253,헨리
true,10255,교차점
true,10258,스위치 배열
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10453,문자열 변환
true,10455,Torus
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10801,카드게임
true,10803,정사각형 만들기
true,10804,카드 역배치
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10835,카드게임
true,10837,동전 게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10937,두부 모판 자르기
true,10942,팰린드롬?
true,10943,랜덤 게임~
true,10949,숫자야구
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10993,별 찍기 - 18
true,10994,별 찍기 - 19
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10997,별 찍기 - 22
true,10998,A×B
true,10999,구간 합 구하기 2
true,11004,K번째 수
true,11014,컨닝 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11038,Entrance Examination
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11062,카드 게임
true,11066,파일 합치기
true,11067,모노톤길
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11365,!밀비 급일
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11406,책 구매하기 2
true,11407,책 구매하기 3
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11497,통나무 건너뛰기
true,11505,구간 곱 구하기
true,11654,아스키 코드
true,11658,구간 합 구하기 3
true,11689,"GCD(n, k) = 1"
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11778,피보나치 수와 최대공약수
true,11816,"8진수, 10진수, 16진수"
true,11866,요세푸스 문제 0
true,11908,카드
true,11929,발렌타인 데이
true,12096,
true,12101,"1, 2, 3 더하기 2"
true,12790,Mini Fantasy War
true,12791,Starman
true,12796,나의 행렬곱셈 답사기
true,12865,평범한 배낭
true,13015,별 찍기 - 23
