정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1037,약수
true,1051,숫자 정사각형
true,1057,토너먼트
true,1062,가르침
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1244,스위치 켜고 끄기
true,1252,이진수 덧셈
true,1256,사전
true,1260,DFS와 BFS
true,1267,핸드폰 요금
true,1268,임시 반장 정하기
true,1275,커피숍2
true,1300,K번째 수
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1342,행운의 문자열
true,1357,뒤집힌 덧셈
true,1373,2진수 8진수
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1448,삼각형 만들기
true,1463,1로 만들기
true,1475,방 번호
true,1485,정사각형
true,1500,최대 곱
true,1546,평균
true,1547,공
true,1557,제곱 ㄴㄴ
true,1592,영식이와 친구들
true,1620,나는야 포켓몬 마스터 이다솜
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1706,크로스워드
true,1707,이분 그래프
true,1708,볼록 껍질
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1764,듣보잡
true,1773,폭죽쇼
true,1786,찾기
true,1789,수들의 합
true,1793,타일링
true,1799,비숍
true,1806,부분합
true,1834,나머지와 몫이 같은 수
true,1837,암호제작
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1918,후위 표기식
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1941,소문난 칠공주
true,1958,LCS 3
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2010,플러그
true,2014,소수의 곱
true,2023,신기한 소수
true,2033,반올림
true,2037,문자메시지
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2108,통계학
true,2143,두 배열의 합
true,2161,카드1
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2231,분해합
true,2239,스도쿠
true,2243,사탕상자
true,2252,줄 세우기
true,2292,벌집
true,2303,숫자 게임
true,2309,일곱 난쟁이
true,2357,최솟값과 최댓값
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2449,전구
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2490,윷놀이
true,2493,탑
true,2501,약수 구하기
true,2503,숫자 야구
true,2504,괄호의 값
true,2511,카드놀이
true,2517,달리기
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2567,색종이 - 2
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2622,삼각형만들기
true,2629,양팔저울
true,2636,치즈
true,2644,촌수계산
true,2659,십자카드 문제
true,2661,좋은수열
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2725,보이는 점의 개수
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2799,블라인드
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2812,크게 만들기
true,2822,점수 계산
true,2823,유턴 싫어
true,2824,최대공약수
true,2839,설탕 배달
true,2840,행운의 바퀴
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2852,NBA 농구
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2953,나는 요리사다
true,2959,거북이
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2991,사나운 개
true,2997,네 번째 수
true,2999,비밀 이메일
true,3004,체스판 조각
true,3009,네 번째 점
true,3013,부분 수열의 중앙값
true,3020,개똥벌레
true,3034,앵그리 창영
true,3035,스캐너
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3076,상근이의 체스판
true,3085,사탕 게임
true,3090,차이를 최소로
true,3109,빵집
true,3184,양
true,3197,백조의 호수
true,3208,gus
true,3425,고스택
true,3460,이진수
true,3474,교수가 된 현우
true,3595,맥주 냉장고
true,3671,산업 스파이의 편지
true,3699,주차 빌딩
true,3830,교수님은 기다리지 않는다
true,3985,롤 케이크
true,4153,직각삼각형
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4355,서로소
true,4375,1
true,4504,배수 찾기
true,4619,루트
true,4635,Speed Limit
true,4641,Doubles
true,4655,Hangover
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4690,완전 세제곱
true,4811,알약
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4999,아!
true,5032,탄산 음료
true,5046,전국 대학생 프로그래밍 대회 동아리 연합
true,5052,전화번호 목록
true,5063,TGN
true,5074,When Do We Finish?
true,5086,배수와 약수
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5373,큐빙
true,5427,불
true,5430,AC
true,5463,건포도
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5568,카드 놓기
true,5569,출근 경로
true,5575,타임 카드
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5618,공약수
true,5639,이진 검색 트리
true,5766,할아버지는 유명해!
true,5988,홀수일까 짝수일까
true,6321,IBM 빼기 1
true,6376,e 계산
true,6378,디지털 루트
true,6416,트리인가?
true,6439,교차
true,6443,애너그램
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,6679,싱기한 네자리 숫자
true,6987,월드컵
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7576,토마토
true,7579,앱
true,7662,이중 우선순위 큐
true,7785,회사에 있는 사람
true,8111,0과 1
true,8112,0과 1 - 2
true,8320,직사각형을 만드는 방법
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,8979,올림픽
true,9012,괄호
true,9020,골드바흐의 추측
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9207,페그 솔리테어
true,9251,LCS
true,9252,LCS 2
true,9316,Hello Judge
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9546,3000번 버스
true,9550,아이들은 사탕을 좋아해
true,9613,GCD 합
true,9625,BABBA
true,9663,N-Queen
true,9935,문자열 폭발
true,9971,The Hardest Problem Ever
true,10026,적록색약
true,10039,평균 점수
true,10041,관광
true,10093,숫자
true,10103,주사위 게임
true,10156,과자
true,10162,전자레인지
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10250,ACM 호텔
true,10409,서버
true,10430,나머지
true,10448,유레카 이론
true,10539,수빈이와 수열
true,10569,다면체
true,10610,30
true,10707,수도요금
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10800,컬러볼
true,10802,369 게임
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10995,별 찍기 - 20
true,10998,A×B
true,11003,최솟값 찾기
true,11004,K번째 수
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11053,가장 긴 증가하는 부분 수열
true,11068,회문인 수
true,11179,2진수 뒤집기
true,11266,단절점
true,11279,최대 힙
true,11328,Strfry
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11506,占쏙옙
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11689,"GCD(n, k) = 1"
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11772,POT
true,11811,데스스타
true,11866,요세푸스 문제 0
true,11966,2의 제곱인가?
true,12015,가장 긴 증가하는 부분 수열 2
true,12094,2048 (Hard)
true,12100,2048 (Easy)
true,12208,Super 2048 (Small)
true,12738,가장 긴 증가하는 부분 수열 3
true,12790,Mini Fantasy War
true,12791,Starman
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,12969,ABC
true,13251,조약돌 꺼내기
true,13300,방 배정
true,13333,Q-인덱스
true,13334,철로
true,13458,시험 감독
true,13549,숨바꼭질 3
true,13560,축구 게임
true,13565,침투
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14225,부분수열의 합
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14620,꽃길
true,14730,謎紛芥索紀 (Small)
true,14753,MultiMax
true,14867,물통
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
