정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1193,분수찾기
true,1196,잭 바우어
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1289,트리의 가중치
true,1292,쉽게 푸는 문제
true,1298,노트북의 주인을 찾아서
true,1305,광고
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1351,무한 수열
true,1357,뒤집힌 덧셈
true,1402,아무래도이문제는A번난이도인것같다
true,1406,에디터
true,1463,1로 만들기
true,1476,날짜 계산
true,1520,내리막 길
true,1546,평균
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1712,손익분기점
true,1717,집합의 표현
true,1735,분수 합
true,1753,최단경로
true,1769,3의 배수
true,1780,종이의 개수
true,1786,찾기
true,1874,스택 수열
true,1877,끔찍한 수열
true,1904,01타일
true,1918,후위 표기식
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1939,중량제한
true,1964,"오각형, 오각형, 오각형…"
true,1967,트리의 지름
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2042,구간 합 구하기
true,2096,내려가기
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2132,나무 위의 벌레
true,2150,Strongly Connected Component
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2213,트리의 독립집합
true,2217,로프
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2316,도시 왕복하기 2
true,2357,최솟값과 최댓값
true,2410,2의 멱수의 합
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2449,전구
true,2450,모양 정돈
true,2470,두 용액
true,2475,검증수
true,2480,주사위 세개
true,2511,카드놀이
true,2512,예산
true,2519,막대기
true,2523,별 찍기 - 13
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2577,숫자의 개수
true,2580,스도쿠
true,2581,소수
true,2588,곱셈
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2670,연속부분최대곱
true,2671,잠수함식별
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2702,초6 수학
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2805,나무 자르기
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2920,음계
true,2921,도미노
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2986,파스칼
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3033,가장 긴 문자열
true,3052,나머지
true,3055,탈출
true,3062,수 뒤집기
true,3429,방어선
true,3435,Justice for All
true,3955,캔디 분배
true,3986,좋은 단어
true,4013,ATM
true,4196,도미노
true,4335,숫자 맞추기
true,4344,평균은 넘겠지
true,4375,1
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,5051,피타고라스의 정리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5461,고용
true,5541,釘
true,5543,상근날드
true,5565,영수증
true,5620,가장 가까운 두 점의 거리
true,5622,다이얼
true,5988,홀수일까 짝수일까
true,6086,최대 유량
true,6588,골드바흐의 추측
true,7287,등록
true,7569,토마토
true,7572,간지(干支)
true,7579,앱
true,7687,지구 직육면체설
true,8393,합
true,8907,네온 사인
true,8958,OX퀴즈
true,8986,전봇대
true,9012,괄호
true,9020,골드바흐의 추측
true,9251,LCS
true,9372,상근이의 여행
true,9498,시험 성적
true,9506,약수들의 합
true,9546,3000번 버스
true,9576,책 나눠주기
true,9577,토렌트
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9660,돌 게임 6
true,9961,Stamps
true,10039,평균 점수
true,10045,JOI 紋章
true,10046,IOI 饅頭
true,10047,バームクーヘン
true,10048,フクロモモンガ
true,10090,Counting Inversions
true,10101,삼각형 외우기
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10163,색종이
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10327,피보나치 문제해결전략
true,10357,Triples
true,10422,괄호
true,10430,나머지
true,10446,Algorist Club
true,10522,Euclidean TSP
true,10532,Book Club
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10799,쇠막대기
true,10803,정사각형 만들기
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10835,카드게임
true,10837,동전 게임
true,10838,트리
true,10839,미술관
true,10845,큐
true,10851,Cake
true,10854,Divisions
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10948,Daily 로또
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10998,A×B
true,11003,최솟값 찾기
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11053,가장 긴 증가하는 부분 수열
true,11277,2-SAT - 1
true,11278,2-SAT - 2
true,11280,2-SAT - 3
true,11281,2-SAT - 4
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11403,경로 찾기
true,11445,Cheating Knight
true,11447,Colby’s Costly Collectibles
true,11562,백양로 브레이크
true,11585,속타는 저녁 메뉴
true,11616,Digit Division
true,11621,Ice Igloos
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11689,"GCD(n, k) = 1"
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11792,Tom and Jerry
true,11929,발렌타인 데이
true,12671,Scaled Triangle (Small)
true,12672,삼각형 변환 (Large)
true,12795,반평면 땅따먹기
true,12797,연금술
true,12813,이진수 연산
true,13082,M and A
true,13084,Delete Files
true,13085,Line Gimmick
true,13086,Shifting a Matrix
true,13163,닉네임에 갓 붙이기
true,13206,Professor KCM
true,13300,방 배정
true,13301,타일 장식물
true,13304,방 배정
true,13307,레이저 센서
true,13308,주유소
true,13311,행운의 편지
true,13312,아크코사인은 믿음입니다
true,13343,Block Game
true,13345,Completing the Square
true,13346,Hamming Ellipses
true,13347,Lost In The Woods
true,13354,Artwork
true,13358,Exponial
true,13359,Fleecing the Raffle
true,13366,Math Contest
true,13372,Glass Bridge
true,13469,Older Brother
true,13470,Programming Tutors
true,13472,Sticky Situation
true,13520,Taxing Problem
true,13531,Secret Santa
true,13866,팀 나누기
true,13889,Average
true,13894,Binary Strings
true,13917,Rotating Display
true,13975,파일 합치기 3
true,14002,가장 긴 증가하는 부분 수열 4
true,14004,ICPC
true,14005,Small Ping Pong Tournament
true,14006,Large Ping Pong Tournament
true,14286,간선 끊어가기 2
true,14433,한조 대기 중
true,14445,케이크(?) 자르기
true,14517,팰린드롬 개수 구하기 (Large)
true,14565,역원(Inverse) 구하기
true,14570,나무 위의 구슬
true,14612,김식당
true,14614,Calculate!
true,14645,와이버스 부릉부릉
true,14670,병약한 영정
true,14671,영정이의 청소
true,14672,윤호는 마법약 도둑
true,14675,단절점과 단절선
true,14697,방 배정하기
true,14716,현수막
true,14868,문명
true,14918,더하기
true,14919,분포표 만들기
true,14920,3n+1 수열
true,14921,용액 합성하기
true,15061,Jumping Frog
true,15062,Keep it covered
true,15258,Assignment Algorithm
true,15259,Buffalo Barricades
true,15264,Gambling Guide
true,15330,Parallel Lines
true,15410,Cakey McCakeFace
true,15414,Ingredients
true,15483,최소 편집
true,15493,수 고르기
true,15501,부당한 퍼즐
true,15502,K-균등 문자열
true,15509,Xayahh-Rakann at Moloco (Hard)
true,15511,League of Overwatch at Moloco (Hard)
true,15513,Lottery for Vitcoins at Moloco (Hard)
true,15515,Tap Titanz at Moloco (Hard)
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15784,질투진서
true,15954,인형들
true,15971,두 로봇
true,16052,Buildings
true,16111,Last Casino
true,16142,게임이론
true,16208,귀찮음
true,16209,수열 섞기
true,16210,DSHS Bank
true,16211,백채원
true,16212,정열적인 정렬
true,16218,힘 겨루기
true,16319,Explosion Exploit
true,16322,House Lawn
true,16324,Jumbled String
true,16325,King’s Colors
true,16367,TV Show Game
true,16429,2018 빼빼로 데이 이벤트 겸 스타트링크 홍보
true,16456,하와와 대학생쨩 하와이로 가는 거시와요~
true,16478,원의 분할
true,16479,컵라면 측정하기
true,16572,Pixel Triangles
true,16713,Generic Queries
true,16738,초특가 숭놀자
true,16992,3-SAT
true,17008,3-SAT 2
true,17072,아스키 아트
true,17073,나무 위의 빗물
true,17074,정렬
true,17080,결함 게임
true,17081,RPG Extreme
true,17083,그리드랜드
true,17104,골드바흐 파티션 2
true,17113,3분 그래프
true,17127,벚꽃이 정보섬에 피어난 이유
true,17128,소가 정보섬에 올라온 이유
true,17129,윌리암슨수액빨이딱따구리가 정보섬에 올라온 이유
true,17130,토끼가 정보섬에 올라온 이유
true,17131,여우가 정보섬에 올라온 이유
true,17132,두더지가 정보섬에 올라온 이유
true,17370,육각형 우리 속의 개미
true,17398,통신망 분할
true,17412,도시 왕복하기 1
true,17626,Four Squares
true,17968,Fire on Field
true,18293,Environment-Friendly Travel
true,18790,N의 배수 (1)
false,1564,팩토리얼5
false,1609,차의 공격
false,3425,고스택
false,3430,용이 산다
false,6116,케이크
false,7604,Reconstruction Trees
false,10350,은행
false,10947,로또
false,11808,마리오와 사악한 키노피오
false,13468,Multiplying Digits
false,14674,STOP USING MONEY
false,14866,산만한 고양이
false,14922,부분평균
false,15331,Medical Checkup
false,15490,즐거운 게임
false,15783,세진 바이러스
false,15956,숏코딩
false,16879,궁전 게임
false,17075,유물 복원
false,17076,망가진 데이터
