정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1009,분산처리
true,1012,유기농 배추
true,1068,트리
true,1085,직사각형에서 탈출
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1193,분수찾기
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1271,엄청난 부자2
true,1309,동물원
true,1330,두 수 비교하기
true,1463,1로 만들기
true,1486,등산
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1546,평균
true,1547,공
true,1550,16진수
true,1577,도로의 개수
true,1598,꼬리를 무는 숫자 나열
true,1600,말이 되고픈 원숭이
true,1602,도망자 원숭이
true,1605,반복 부분문자열
true,1697,숨바꼭질
true,1708,볼록 껍질
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1726,로봇
true,1753,최단경로
true,1756,피자 굽기
true,1766,문제집
true,1771,카드 묶음
true,1781,컵라면
true,1799,비숍
true,1806,부분합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1929,소수 구하기
true,1931,회의실배정
true,1941,소문난 칠공주
true,1956,운동
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1967,트리의 지름
true,2010,플러그
true,2151,거울 설치
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2194,유닛 이동시키기
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2261,가장 가까운 두 점
true,2294,동전 2
true,2355,시그마
true,2412,암벽 등반
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2457,공주님의 정원
true,2460,지능형 기차 2
true,2461,대표 선수
true,2463,비용
true,2468,안전 영역
true,2470,두 용액
true,2473,세 용액
true,2475,검증수
true,2476,주사위 게임
true,2477,참외밭
true,2480,주사위 세개
true,2490,윷놀이
true,2501,약수 구하기
true,2504,괄호의 값
true,2505,두 번 뒤집기
true,2506,점수계산
true,2511,카드놀이
true,2515,전시장
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2533,사회망 서비스(SNS)
true,2536,버스 갈아타기
true,2539,모자이크
true,2557,Hello World
true,2558,A+B - 2
true,2561,세 번 뒤집기
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2568,전깃줄 - 2
true,2569,짐정리
true,2572,보드게임
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2580,스도쿠
true,2585,경비행기
true,2588,곱셈
true,2589,보물섬
true,2593,엘리베이터
true,2606,바이러스
true,2613,숫자구슬
true,2615,오목
true,2616,소형기관차
true,2618,경찰차
true,2636,치즈
true,2637,장난감조립
true,2638,치즈
true,2644,촌수계산
true,2650,교차점개수
true,2661,좋은수열
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2720,세탁소 사장 동혁
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2798,블랙잭
true,2805,나무 자르기
true,2810,컵홀더
true,2812,크게 만들기
true,2839,설탕 배달
true,2840,행운의 바퀴
true,2863,이게 분수?
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2959,거북이
true,2965,캥거루 세마리
true,2985,세 수
true,2991,사나운 개
true,2997,네 번째 수
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3009,네 번째 점
true,3028,창영마을
true,3034,앵그리 창영
true,3046,R2
true,3049,다각형의 대각선
true,3052,나머지
true,3058,짝수를 찾아라
true,3190,뱀
true,3197,백조의 호수
true,3460,이진수
true,3595,맥주 냉장고
true,4101,크냐?
true,4153,직각삼각형
true,4214,Takeover Wars
true,4344,평균은 넘겠지
true,4493,가위 바위 보?
true,4504,배수 찾기
true,4673,셀프 넘버
true,4690,완전 세제곱
true,4716,풍선
true,4766,일반 화학 실험
true,4880,다음수
true,4892,숫자 맞추기 게임
true,4913,페르마의 크리스마스 정리
true,4963,섬의 개수
true,5032,탄산 음료
true,5052,전화번호 목록
true,5063,TGN
true,5073,삼각형과 세 변
true,5086,배수와 약수
true,5214,환승
true,5217,쌍의 합
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5354,J박스
true,5361,전투 드로이드 가격
true,5373,큐빙
true,5397,키로거
true,5465,곰돌이
true,5522,카드 게임
true,5523,경기 결과
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5558,チーズ
true,5565,영수증
true,5566,주사위 게임
true,5596,시험 점수
true,5612,터널의 입구와 출구
true,5613,계산기 프로그램
true,5618,공약수
true,5717,상근이의 친구들
true,5721,사탕 줍기 대회
true,6131,완전 제곱수
true,6198,옥상 정원 꾸미기
true,6378,디지털 루트
true,6987,월드컵
true,7287,등록
true,7510,고급 수학
true,7569,토마토
true,7576,토마토
true,8320,직사각형을 만드는 방법
true,8393,합
true,8875,장난감 정리 로봇
true,8896,가위 바위 보
true,8911,거북이
true,8958,OX퀴즈
true,8980,택배
true,8983,사냥꾼
true,9085,더하기
true,9094,수학적 호기심
true,9251,LCS
true,9295,주사위
true,9316,Hello Judge
true,9325,얼마?
true,9328,열쇠
true,9466,텀 프로젝트
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9547,대통령 선거
true,9550,아이들은 사탕을 좋아해
true,9610,사분면
true,10039,평균 점수
true,10101,삼각형 외우기
true,10103,주사위 게임
true,10156,과자
true,10163,색종이
true,10165,버스 노선
true,10166,관중석
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10178,할로윈의 사탕
true,10179,쿠폰
true,10214,Baseball
true,10250,ACM 호텔
true,10409,서버
true,10419,지각
true,10430,나머지
true,10474,분수좋아해?
true,10539,수빈이와 수열
true,10569,다면체
true,10699,오늘 날짜
true,10707,수도요금
true,10709,기상캐스터
true,10718,We love kriii
true,10768,특별한 날
true,10797,10부제
true,10809,알파벳 찾기
true,10817,세 수
true,10818,"최소, 최대"
true,10824,네 수
true,10828,스택
true,10833,사과
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10984,내 학점을 구해줘
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11023,더하기 3
true,11052,카드 구매하기
true,11382,꼬마 정민
true,11404,플로이드
true,11497,통나무 건너뛰기
true,11559,Puyo Puyo
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11729,하노이 탑 이동 순서
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11948,과목선택
true,11966,2의 제곱인가?
true,12761,돌다리
true,12790,Mini Fantasy War
true,12833,XORXORXOR
true,12886,돌 그룹
true,13458,시험 감독
true,13698,Hawk eyes
true,13752,히스토그램
true,13866,팀 나누기
true,14264,정육각형과 삼각형
true,14427,수열과 쿼리 15
true,14428,수열과 쿼리 16
true,14442,벽 부수고 이동하기 2
true,14470,전자레인지
true,14489,치킨 두 마리 (...)
true,14491,9진수
true,14501,퇴사
true,14502,연구소
true,14645,와이버스 부릉부릉
true,14652,나는 행복합니다~
true,14656,조교는 새디스트야!!
true,14681,사분면 고르기
true,14888,연산자 끼워넣기
true,14891,톱니바퀴
true,14918,더하기
true,14920,3n+1 수열
true,14924,폰 노이만과 파리
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15633,Fan Death
true,15667,2018 연세대학교 프로그래밍 경진대회
true,15680,연세대학교
true,15700,타일 채우기 4
true,15721,번데기
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15733,나는 누구인가
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15820,맞았는데 왜 틀리죠?
true,15873,공백 없는 A+B
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15949,Piet
true,15953,상금 헌터
true,15962,새로운 시작
true,15963,CASIO
true,15964,이상한 기호
true,16170,오늘의 날짜는?
true,16197,두 동전
true,16204,카드 뽑기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16394,홍익대학교
true,16430,제리와 톰
true,16435,스네이크버드
true,16439,치킨치킨치킨
true,16486,운동장 한 바퀴
true,16561,3의 배수
true,16918,봄버맨
true,16987,계란으로 계란치기
true,17135,캐슬 디펜스
true,17256,달달함이 넘쳐흘러
true,17295,엔드게임 스포일러
true,17362,수학은 체육과목 입니다 2
true,17388,와글와글 숭고한
true,17496,스타후르츠
true,17822,원판 돌리기
true,17869,Simple Collatz Sequence
true,18005,Even or Odd?
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18301,Rats
true,19236,청소년 상어
true,19237,어른 상어
false,2842,집배원 한상덕
false,8986,전봇대
false,13199,치킨 먹고 싶다
false,16440,제이크와 케이크
