정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1023,괄호 문자열
true,1026,보물
true,1027,고층 건물
true,1028,다이아몬드 광산
true,1029,그림 교환
true,1032,명령 프롬프트
true,1034,램프
true,1037,약수
true,1051,숫자 정사각형
true,1052,물병
true,1057,토너먼트
true,1059,수2
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1145,적어도 대부분의 배수
true,1146,지그재그 서기
true,1149,RGB거리
true,1150,백업
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1160,Random Number Generator
true,1161,버스
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1181,단어 정렬
true,1182,부분수열의 합
true,1184,귀농
true,1185,유럽여행
true,1186,직사각형 색칠하기
true,1188,음식 평론가
true,1189,컴백홈
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1200,기상예측
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1210,마피아
true,1212,8진수 2진수
true,1215,잘못 작성한 요세푸스 코드
true,1225,이상한 곱셈
true,1226,국회
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1315,RPG
true,1321,군인
true,1342,행운의 문자열
true,1350,진짜 공간
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1368,물대기
true,1373,2진수 8진수
true,1377,버블 소트
true,1392,노래 악보
true,1395,스위치
true,1402,아무래도이문제는A번난이도인것같다
true,1406,에디터
true,1413,박스 안의 열쇠
true,1427,소트인사이드
true,1451,직사각형으로 나누기
true,1463,1로 만들기
true,1479,네 부분문자열
true,1492,합
true,1507,궁금한 민호
true,1517,버블 소트
true,1520,내리막 길
true,1531,투명
true,1546,평균
true,1547,공
true,1550,16진수
true,1562,계단 수
true,1568,새
true,1605,반복 부분문자열
true,1626,두 번째로 작은 스패닝 트리
true,1640,동전 뒤집기
true,1657,두부장수 장홍준
true,1666,최대 증가 직사각형 집합
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1720,타일 코드
true,1735,분수 합
true,1753,최단경로
true,1761,정점들의 거리
true,1787,문자열의 주기 예측
true,1799,비숍
true,1801,직사각형 만들기
true,1819,불끄기
true,1838,버블 정렬
true,1854,K번째 최단경로 찾기
true,1866,택배
true,1867,돌멩이 제거
true,1902,špilja
true,1920,수 찾기
true,1924,2007년
true,1934,최소공배수
true,1947,선물 전달
true,1965,상자넣기
true,1983,숫자 박스
true,2010,플러그
true,2014,소수의 곱
true,2040,수 게임
true,2042,구간 합 구하기
true,2079,팰린드롬
true,2096,내려가기
true,2098,외판원 순회
true,2111,선인장
true,2126,지진
true,2133,타일 채우기
true,2141,우체국
true,2156,포도주 시식
true,2157,여행
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2172,팰린드롬 경로
true,2178,미로 탐색
true,2184,김치 배달
true,2188,축사 배정
true,2192,두 수열
true,2193,이친수
true,2197,분해 반응
true,2201,이친수 찾기
true,2213,트리의 독립집합
true,2216,문자열과 점수
true,2243,사탕상자
true,2253,점프
true,2256,젓가락
true,2262,토너먼트 만들기
true,2272,램프
true,2281,데스노트
true,2293,동전 1
true,2294,동전 2
true,2300,기지국
true,2305,자리 배치
true,2315,가로등 끄기
true,2336,굉장한 학생
true,2357,최솟값과 최댓값
true,2398,3인통화
true,2420,사파리월드
true,2423,전구를 켜라
true,2426,세계적인 석유 재벌
true,2434,점 연결하기
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2454,트리 분할
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2465,줄 세우기
true,2473,세 용액
true,2475,검증수
true,2480,주사위 세개
true,2490,윷놀이
true,2501,약수 구하기
true,2506,점수계산
true,2507,공주 구하기
true,2515,전시장
true,2516,원숭이
true,2517,달리기
true,2519,막대기
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2527,직사각형
true,2530,인공지능 시계
true,2532,먹이사슬
true,2533,사회망 서비스(SNS)
true,2543,초고속철도
true,2550,전구
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2560,짚신벌레
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2570,비숍2
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2585,경비행기
true,2587,대표값2
true,2588,곱셈
true,2601,도서실카펫
true,2602,돌다리 건너기
true,2606,바이러스
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2611,자동차경주
true,2617,구슬 찾기
true,2618,경찰차
true,2631,줄세우기
true,2638,치즈
true,2661,좋은수열
true,2662,기업투자
true,2666,벽장문의 이동
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2671,잠수함식별
true,2684,동전 게임
true,2693,N번째 큰 수
true,2702,초6 수학
true,2720,세탁소 사장 동혁
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2753,윤년
true,2788,스타트업
true,2792,보석 상자
true,2822,점수 계산
true,2831,댄스 파티
true,2832,정렬
true,2835,인기도 조사
true,2842,집배원 한상덕
true,2845,파티가 끝나고 난 뒤
true,2849,탭댄스
true,2857,FBI
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2953,나는 요리사다
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3020,개똥벌레
true,3033,가장 긴 문자열
true,3036,링
true,3046,R2
true,3052,나머지
true,3102,겹치지 않는 원
true,3114,사과와 바나나
true,3319,전령들
true,3320,사진
true,3345,괄호
true,3392,화성 지도
true,3449,해밍 거리
true,3462,이진 스털링 수
true,3648,아이돌
true,3758,KCPC
true,3996,위대한 사기꾼
true,4002,닌자배치
true,4008,특공대
true,4013,ATM
true,4017,동물원
true,4101,크냐?
true,4220,Machine Works
true,4225,쓰레기 슈트
true,4256,트리
true,4706,쌍둥이 역설
true,4963,섬의 개수
true,4999,아!
true,5012,불만 정렬
true,5054,주차의 신
true,5086,배수와 약수
true,5254,Balls
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5355,화성 수학
true,5419,북서풍
true,5461,고용
true,5465,곰돌이
true,5467,Type Printer
true,5468,Islands
true,5469,Fish
true,5470,균형잡힌 직선형 정원
true,5471,Pyramid Base
true,5472,Teleporters
true,5480,전함
true,5484,정원
true,5485,평균값 수열
true,5486,Mountains
true,5502,팰린드롬
true,5522,카드 게임
true,5525,IOIOI
true,5530,JOIOI 탑
true,5531,버블 정렬
true,5542,JOI 국가의 행사
true,5543,상근날드
true,5565,영수증
true,5573,산책
true,5582,공통 부분 문자열
true,5586,JOI와 IOI
true,5635,생일
true,5691,평균 중앙값 문제
true,5717,상근이의 친구들
true,5811,낙하산 고리들
true,5812,크래이피쉬 글쓰는 기계
true,5813,이상적인 도시
true,5814,마상시합 토너먼트
true,5819,열대 식물원
true,5820,경주
true,5821,쌀 창고
true,5822,악어의 지하 도시
true,5823,코끼리
true,5847,Milk Scheduling
true,5878,Bookshelf
true,5896,효율적으로 소 사기
true,5897,Symmetry
true,5898,Nearby Cows
true,5900,Cow IDs
true,5905,악당 로봇
true,5910,Mountain Climbing
true,5915,Simplifying the Farm
true,5916,농장 관리
true,5922,Above the Median
true,5952,Roads and Planes
true,6051,시간 여행
true,6101,식당
true,6102,Earthquake Damage 2
true,6132,전화선
true,6181,플러드 필 (Flood Fill)
true,6231,Gold Balanced Lineup
true,6289,무-팰린드롬 숫자
true,6549,히스토그램에서 가장 큰 직사각형
true,6884,소수 부분 수열
true,7040,밥 먹기
true,7287,등록
true,7469,K번째 수
true,7567,그릇
true,7569,토마토
true,7570,줄 세우기
true,7572,간지(干支)
true,7626,직사각형
true,8030,Intervals
true,8320,직사각형을 만드는 방법
true,8393,합
true,8462,배열의 힘
true,8874,웜뱃
true,8876,바자와 샤자
true,8882,Low Power
true,8885,Pirate Chest
true,8903,장비
true,8925,GC-비율
true,8983,사냥꾼
true,8984,막대기
true,9012,괄호
true,9023,연습시즌
true,9076,점수 집계
true,9085,더하기
true,9086,문자열
true,9094,수학적 호기심
true,9151,Starship Hakodate-maru
true,9249,최장 공통 부분 문자열
true,9250,문자열 집합 판별
true,9284,Adriatic
true,9325,얼마?
true,9443,Arrangement of Contest
true,9461,파도반 수열
true,9465,스티커
true,9468,Islands in the Data Stream
true,9498,시험 성적
true,9501,꿍의 우주여행
true,9507,Generations of Tribbles
true,9610,사분면
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9656,돌 게임 2
true,9663,N-Queen
true,9867,Optimal Milking
true,9869,Milk Scheduling
true,9875,Cow Curling
true,10019,Sabotage
true,10039,평균 점수
true,10041,관광
true,10047,バームクーヘン
true,10048,フクロモモンガ
true,10067,수열 나누기
true,10068,구슬이 서말이라도 꿰어야 보배
true,10070,벽
true,10103,주사위 게임
true,10162,전자레인지
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10167,금광
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10212,Mystery
true,10227,삶의 질
true,10422,괄호
true,10474,분수좋아해?
true,10510,Bricks
true,10521,Digi Comp II
true,10597,순열장난
true,10649,프리스비
true,10650,Marathon
true,10661,Median Tree
true,10675,Cow Routing
true,10676,Cow Routing II
true,10677,It's All About the Base
true,10678,Meeting Time
true,10699,오늘 날짜
true,10713,기차 여행
true,10714,케이크 자르기 2
true,10715,JOI 공원
true,10717,성벽
true,10718,We love kriii
true,10748,Cow Hopscotch
true,10759,팰린드롬 경로 3
true,10760,Trapped in the Haybales
true,10773,제로
true,10775,공항
true,10776,제국
true,10777,허니버터칩
true,10797,10부제
true,10799,쇠막대기
true,10800,컬러볼
true,10804,카드 역배치
true,10805,L 모양의 종이 자르기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10812,바구니 순서 바꾸기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10823,더하기 2
true,10824,네 수
true,10826,피보나치 수 4
true,10828,스택
true,10833,사과
true,10837,동전 게임
true,10838,트리
true,10840,구간 성분
true,10841,매트
true,10844,쉬운 계단 수
true,10846,발리의 조각상
true,10847,자카르타의 마천루
true,10848,팔렘방의 다리
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10874,이교수님의 시험
true,10899,King of penalty
true,10919,선물상자
true,10922,말
true,10937,두부 모판 자르기
true,10950,A+B - 3
true,10952,A+B - 5
true,10953,A+B - 6
true,10988,팰린드롬인지 확인하기
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10998,A×B
true,11000,강의실 배정
true,11001,김치
true,11004,K번째 수
true,11007,Inverse Move-to-Front Transform
true,11009,Drinks
true,11021,A+B - 7
true,11022,A+B - 8
true,11025,요세푸스 문제 3
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11104,Fridge of Your Dreams
true,11382,꼬마 정민
true,11383,뚊
true,11384,빨간 직사각형
true,11388,달리는 게임
true,11390,맛있는 과자
true,11399,ATM
true,11510,TOPOVI
true,11552,Pyramid Base 2
true,11555,CLARKSON
true,11562,백양로 브레이크
true,11654,아스키 코드
