정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1006,습격자 초라기
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1020,디지털 카운터
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1023,괄호 문자열
true,1024,수열의 합
true,1025,제곱수 찾기
true,1026,보물
true,1027,고층 건물
true,1028,다이아몬드 광산
true,1029,그림 교환
true,1032,명령 프롬프트
true,1036,36진수
true,1037,약수
true,1038,감소하는 수
true,1041,주사위
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1124,언더프라임
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1252,이진수 덧셈
true,1260,DFS와 BFS
true,1264,모음의 개수
true,1267,핸드폰 요금
true,1292,쉽게 푸는 문제
true,1300,K번째 수
true,1303,전쟁 - 전투
true,1309,동물원
true,1315,RPG
true,1316,그룹 단어 체커
true,1344,축구
true,1357,뒤집힌 덧셈
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1543,문서 검색
true,1546,평균
true,1550,16진수
true,1562,계단 수
true,1572,중앙값
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1708,볼록 껍질
true,1717,집합의 표현
true,1718,암호
true,1722,순열의 순서
true,1725,히스토그램
true,1735,분수 합
true,1743,음식물 피하기
true,1753,최단경로
true,1759,암호 만들기
true,1780,종이의 개수
true,1789,수들의 합
true,1834,나머지와 몫이 같은 수
true,1838,버블 정렬
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1933,스카이라인
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1954,화학실험
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2133,타일 채우기
true,2141,우체국
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2226,이진수
true,2231,분해합
true,2252,줄 세우기
true,2257,화학식량
true,2261,가장 가까운 두 점
true,2285,우체국
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2306,유전자
true,2309,일곱 난쟁이
true,2342,Dance Dance Revolution
true,2355,시그마
true,2420,사파리월드
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2448,별 찍기 - 11
true,2449,전구
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2460,지능형 기차 2
true,2467,용액
true,2468,안전 영역
true,2473,세 용액
true,2475,검증수
true,2480,주사위 세개
true,2482,색상환
true,2485,가로수
true,2487,섞기 수열
true,2490,윷놀이
true,2501,약수 구하기
true,2504,괄호의 값
true,2506,점수계산
true,2511,카드놀이
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2527,직사각형
true,2529,부등호
true,2530,인공지능 시계
true,2533,사회망 서비스(SNS)
true,2548,대표 자연수
true,2551,두 대표 자연수
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2567,색종이 - 2
true,2568,전깃줄 - 2
true,2571,색종이 - 3
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2592,대표값
true,2596,비밀편지
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2621,카드게임
true,2622,삼각형만들기
true,2623,음악프로그램
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2637,장난감조립
true,2638,치즈
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2647,검은점과 하얀점 연결
true,2662,기업투자
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2676,라스칼 삼각형
true,2721,삼각수의 합
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2805,나무 자르기
true,2830,행성 X3
true,2857,FBI
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2939,택배 배달
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2986,파스칼
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3038,완전 이진 트리
true,3046,R2
true,3053,택시 기하학
true,3372,보드 점프
true,4095,최대 정사각형
true,4101,크냐?
true,4243,보안 업체
true,4256,트리
true,4307,개미
true,4344,평균은 넘겠지
true,4353,Beavergnaw
true,4395,Steps
true,4504,배수 찾기
true,4673,셀프 넘버
true,4740,"거울, 오! 거울"
true,4766,일반 화학 실험
true,4773,로마 숫자 계산기
true,4781,사탕 가게
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4999,아!
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5522,카드 게임
true,5543,상근날드
true,5565,영수증
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5622,다이얼
true,5639,이진 검색 트리
true,5692,팩토리얼 진법
true,5717,상근이의 친구들
true,5724,파인만
true,5800,성적 통계
true,6064,카잉 달력
true,6092,Strange Towers of Hanoi
true,6236,용돈 관리
true,6359,만취한 상범
true,6376,e 계산
true,6378,디지털 루트
true,6443,애너그램
true,6524,Wine trading in Gergovia
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6679,싱기한 네자리 숫자
true,6987,월드컵
true,7287,등록
true,7510,고급 수학
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7572,간지(干支)
true,7576,토마토
true,7579,앱
true,7626,직사각형
true,7662,이중 우선순위 큐
true,7677,Fibonacci
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,8983,사냥꾼
true,9012,괄호
true,9020,골드바흐의 추측
true,9085,더하기
true,9095,"1, 2, 3 더하기"
true,9182,Biorhythms
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9254,역행렬
true,9323,무임승차
true,9358,순열 접기 게임
true,9426,중앙값 측정
true,9461,파도반 수열
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9546,3000번 버스
true,9576,책 나눠주기
true,9577,토렌트
true,9610,사분면
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9663,N-Queen
true,9935,문자열 폭발
true,9971,The Hardest Problem Ever
true,9987,포켓몬 마스터
true,9999,구구
true,10000,원 영역
true,10039,평균 점수
true,10093,숫자
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10160,암호
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10178,할로윈의 사탕
true,10179,쿠폰
true,10212,Mystery
true,10214,Baseball
true,10217,KCM Travel
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10272,현상금 사냥꾼 김정은
true,10407,2 타워
true,10419,지각
true,10430,나머지
true,10474,분수좋아해?
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10801,카드게임
true,10802,369 게임
true,10803,정사각형 만들기
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10825,국영수
true,10828,스택
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10889,Ancient symbol
true,10918,Zu
true,10926,??!
true,10943,랜덤 게임~
true,10949,숫자야구
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11062,카드 게임
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11309,파워!!달걀
true,11332,시간초과
true,11365,!밀비 급일
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11382,꼬마 정민
true,11399,ATM
true,11403,경로 찾기
true,11444,피보나치 수 6
true,11478,서로 다른 부분 문자열의 개수
true,11502,세 개의 소수 문제
true,11506,占쏙옙
true,11650,좌표 정렬하기
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11816,"8진수, 10진수, 16진수"
true,11866,요세푸스 문제 0
true,11942,고려대는 사랑입니다
true,12091,이브이 진화 시키기
true,12095,가장 오래 걸리는 스도쿠
true,12096,
true,13131,HicCup
true,13250,주사위 게임
true,13300,방 배정
true,13301,타일 장식물
