정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1026,보물
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1074,Z
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1183,약속
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1201,NMK
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1238,파티
true,1260,DFS와 BFS
true,1264,모음의 개수
true,1297,TV 크기
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1406,에디터
true,1427,소트인사이드
true,1439,뒤집기
true,1449,수리공 항승
true,1461,도서관
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1485,정사각형
true,1495,기타리스트
true,1506,경찰서
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1535,안녕
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1551,수열의 변화
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1592,영식이와 친구들
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1713,후보 추천하기
true,1718,암호
true,1720,타일 코드
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1773,폭죽쇼
true,1780,종이의 개수
true,1783,병든 나이트
true,1806,부분합
true,1812,사탕
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1940,주몽
true,1946,신입 사원
true,1947,선물 전달
true,1952,달팽이2
true,1958,LCS 3
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,2002,추월
true,2010,플러그
true,2011,암호코드
true,2012,등수 매기기
true,2018,수들의 합 5
true,2042,구간 합 구하기
true,2056,작업
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2145,숫자 놀이
true,2156,포도주 시식
true,2160,그림 비교
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2206,벽 부수고 이동하기
true,2212,센서
true,2217,로프
true,2225,합분해
true,2228,구간 나누기
true,2246,콘도 선정
true,2252,줄 세우기
true,2262,토너먼트 만들기
true,2292,벌집
true,2302,극장 좌석
true,2306,유전자
true,2307,도로검문
true,2309,일곱 난쟁이
true,2331,반복수열
true,2438,별 찍기 - 1
true,2448,별 찍기 - 11
true,2450,모양 정돈
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2460,지능형 기차 2
true,2490,윷놀이
true,2506,점수계산
true,2512,예산
true,2526,싸이클
true,2529,부등호
true,2530,인공지능 시계
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2592,대표값
true,2600,구슬게임
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2631,줄세우기
true,2660,회장뽑기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2718,타일 채우기
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2785,체인
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2806,DNA 발견
true,2822,점수 계산
true,2828,사과 담기 게임
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2869,달팽이는 올라가고 싶다
true,2872,우리집엔 도서관이 있어
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2879,코딩은 예쁘게
true,2884,알람 시계
true,2885,초콜릿 식사
true,2908,상수
true,2920,음계
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,3015,오아시스 재결합
true,3023,마술사 이민혁
true,3034,앵그리 창영
true,3046,R2
true,3049,다각형의 대각선
true,3067,Coins
true,3460,이진수
true,3474,교수가 된 현우
true,3653,영화 수집
true,4153,직각삼각형
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4673,셀프 넘버
true,4963,섬의 개수
true,5032,탄산 음료
true,5063,TGN
true,5347,LCM
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5545,최고의 피자
true,5549,행성 탐사
true,5554,심부름 가는 길
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5588,별자리 찾기
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5612,터널의 입구와 출구
true,5613,계산기 프로그램
true,5622,다이얼
true,6118,숨바꼭질
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,6679,싱기한 네자리 숫자
true,6996,애너그램
true,7287,등록
true,7567,그릇
true,7568,덩치
true,7570,줄 세우기
true,7576,토마토
true,7785,회사에 있는 사람
true,8012,한동이는 영업사원!
true,8320,직사각형을 만드는 방법
true,8393,합
true,8595,히든 넘버
true,8958,OX퀴즈
true,8979,올림픽
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9546,3000번 버스
true,9550,아이들은 사탕을 좋아해
true,9613,GCD 합
true,9663,N-Queen
true,10039,평균 점수
true,10040,투표
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10162,전자레인지
true,10172,개
true,10178,할로윈의 사탕
true,10214,Baseball
true,10409,서버
true,10430,나머지
true,10451,순열 사이클
true,10539,수빈이와 수열
true,10610,30
true,10707,수도요금
true,10708,크리스마스 파티
true,10709,기상캐스터
true,10718,We love kriii
true,10768,특별한 날
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10825,국영수
true,10828,스택
true,10833,사과
true,10834,벨트
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10864,친구
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10971,외판원 순회 2
true,10986,나머지 합
true,10988,팰린드롬인지 확인하기
true,10998,A×B
true,10999,구간 합 구하기 2
true,11004,K번째 수
true,11005,진법 변환 2
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11282,한글
true,11320,삼각 무늬 - 1
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11562,백양로 브레이크
true,11568,민균이의 계략
true,11650,좌표 정렬하기
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11866,요세푸스 문제 0
true,11945,뜨거운 붕어빵
true,12761,돌다리
true,12865,평범한 배낭
true,13265,색칠하기
true,13300,방 배정
true,14425,문자열 집합
true,14501,퇴사
true,14696,딱지놀이
true,14697,방 배정하기
true,14728,벼락치기
true,14863,서울에서 경산까지
true,14864,줄서기
true,14891,톱니바퀴
true,15552,빠른 A+B
true,15650,N과 M (2)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15802,타노스
true,15953,상금 헌터
true,15964,이상한 기호
true,15966,군계일학
true,15971,두 로봇
true,16429,2018 빼빼로 데이 이벤트 겸 스타트링크 홍보
false,1015,수열 정렬
false,1126,같은 탑
false,1256,사전
false,1261,알고스팟
false,1343,폴리오미노
false,1520,내리막 길
false,1629,곱셈
false,1707,이분 그래프
false,1717,집합의 표현
false,1865,웜홀
false,1904,01타일
false,1912,연속합
false,1914,하노이 탑
false,1939,중량제한
false,1949,우수 마을
false,1956,운동
false,2003,수들의 합 2
false,2108,통계학
false,2164,카드2
false,2193,이친수
false,2229,조 짜기
false,2231,분해합
false,2240,자두나무
false,2293,동전 1
false,2294,동전 2
false,2504,괄호의 값
false,2555,생일 출력하기
false,2609,최대공약수와 최소공배수
false,2662,기업투자
false,2823,유턴 싫어
false,2909,캔디 구매
false,3943,헤일스톤 수열
false,5052,전화번호 목록
false,5212,지구 온난화
false,5557,1학년
false,7453,합이 0인 네 정수
false,7569,토마토
false,9252,LCS 2
false,10800,컬러볼
false,10835,카드게임
false,10984,내 학점을 구해줘
false,11279,최대 힙
false,11657,타임머신
false,11659,구간 합 구하기 4
false,11779,최소비용 구하기 2
false,14888,연산자 끼워넣기
false,15651,N과 M (3)
false,15969,행복
