정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1048,유니콘
true,1058,친구
true,1065,한수
true,1068,트리
true,1074,Z
true,1080,행렬
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1197,최소 스패닝 트리
true,1201,NMK
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1244,스위치 켜고 끄기
true,1260,DFS와 BFS
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1330,두 수 비교하기
true,1357,뒤집힌 덧셈
true,1377,버블 소트
true,1395,스위치
true,1427,소트인사이드
true,1448,삼각형 만들기
true,1463,1로 만들기
true,1476,날짜 계산
true,1495,기타리스트
true,1517,버블 소트
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1544,사이클 단어
true,1546,평균
true,1547,공
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1568,새
true,1592,영식이와 친구들
true,1613,역사
true,1629,곱셈
true,1639,행운의 티켓
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1668,트로피 진열
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1722,순열의 순서
true,1731,추론
true,1735,분수 합
true,1743,음식물 피하기
true,1744,수 묶기
true,1753,최단경로
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1793,타일링
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1967,트리의 지름
true,1969,DNA
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2004,조합 0의 개수
true,2011,암호코드
true,2022,사다리
true,2042,구간 합 구하기
true,2089,-2진수
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2146,다리 만들기
true,2156,포도주 시식
true,2157,여행
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2230,수 고르기
true,2231,분해합
true,2240,자두나무
true,2252,줄 세우기
true,2293,동전 1
true,2294,동전 2
true,2295,세 수의 합
true,2302,극장 좌석
true,2306,유전자
true,2309,일곱 난쟁이
true,2331,반복수열
true,2398,3인통화
true,2417,정수 제곱근
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2463,비용
true,2465,줄 세우기
true,2470,두 용액
true,2475,검증수
true,2476,주사위 게임
true,2493,탑
true,2495,연속구간
true,2502,떡 먹는 호랑이
true,2504,괄호의 값
true,2511,카드놀이
true,2512,예산
true,2515,전시장
true,2525,오븐 시계
true,2528,사다리
true,2531,회전 초밥
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2567,색종이 - 2
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2623,음악프로그램
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2637,장난감조립
true,2638,치즈
true,2644,촌수계산
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2688,줄어들지 않아
true,2693,N번째 큰 수
true,2720,세탁소 사장 동혁
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2780,비밀번호
true,2805,나무 자르기
true,2839,설탕 배달
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2959,거북이
true,3009,네 번째 점
true,3047,ABC
true,3052,나머지
true,3054,피터팬 프레임
true,3055,탈출
true,3067,Coins
true,3190,뱀
true,3366,수열 줄이기
true,3449,해밍 거리
true,3460,이진수
true,3933,라그랑주의 네 제곱수 정리
true,4344,평균은 넘겠지
true,4388,받아올림
true,4493,가위 바위 보?
true,4883,삼각 그래프
true,4963,섬의 개수
true,5014,스타트링크
true,5218,알파벳 거리
true,5397,키로거
true,5502,팰린드롬
true,5532,방학 숙제
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5719,거의 최단 경로
true,5721,사탕 줍기 대회
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7572,간지(干支)
true,7576,토마토
true,7579,앱
true,8393,합
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9655,돌 게임
true,9663,N-Queen
true,10039,평균 점수
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10160,암호
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10166,관중석
true,10172,개
true,10214,Baseball
true,10216,Count Circle Groups
true,10218,Maze
true,10422,괄호
true,10423,전기가 부족해
true,10426,기념일 2
true,10427,빚
true,10430,나머지
true,10451,순열 사이클
true,10610,30
true,10718,We love kriii
true,10798,세로읽기
true,10799,쇠막대기
true,10801,카드게임
true,10803,정사각형 만들기
true,10804,카드 역배치
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11399,ATM
true,11403,경로 찾기
true,11568,민균이의 계략
true,11575,Affine Cipher
true,11576,Base Conversion
true,11577,Condition of deep sleep
true,11578,팀원 모집
true,11586,지영 공주님의 마법 거울
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11929,발렌타인 데이
true,12738,가장 긴 증가하는 부분 수열 3
true,12865,평범한 배낭
true,13302,리조트
true,13304,방 배정
true,13305,주유소
true,13900,순서쌍의 곱의 합
true,13901,로봇
true,13902,개업 2
true,13903,출근
true,13904,과제
true,13905,세부
true,13908,비밀번호
true,13909,창문 닫기
true,13910,개업
true,13912,외계 생물
true,14501,퇴사
true,14502,연구소
true,14697,방 배정하기
true,14864,줄서기
true,14865,곡선 자르기
true,14867,물통
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,15552,빠른 A+B
true,15975,화살표 그리기
true,15976,XCorr
true,15977,조화로운 행렬
true,16234,인구 이동
true,16461,듀얼 채널 VHF 무전기
true,16462,'나교수' 교수님의 악필
true,16463,13일의 금요일
true,16464,가주아
true,16465,Bookend
true,16466,콘서트
true,16469,소년 점프
true,16493,최대 페이지 수
true,16495,열 순서
true,16497,대출 요청
true,16498,작은 벌점
true,16673,고려대학교에는 공식 와인이 있다
true,16674,2018년을 되돌아보며
true,16675,두 개의 손
true,16676,근우의 다이어리 꾸미기
true,16677,악마 게임
true,16678,모독
true,17623,괄호
true,17838,커맨드
false,1251,단어 나누기
false,1287,할 수 있다
false,1296,데이트
false,1373,2진수 8진수
false,1406,에디터
false,1614,영식이의 손가락
false,1758,알바생 강호
false,1786,찾기
false,1865,웜홀
false,1884,고속도로
false,1916,최소비용 구하기
false,1990,소수인팰린드롬
false,2263,트리의 순회
false,2526,싸이클
false,2529,부등호
false,2615,오목
false,6086,최대 유량
false,7573,고기잡이
false,8980,택배
false,9184,신나는 함수 실행
false,9613,GCD 합
false,10424,알고리즘 기말고사
false,10428,마법의 약
false,11581,구호물자
false,11652,카드
false,11657,타임머신
false,13306,트리
false,13398,연속합 2
false,13906,대문자
false,16467,병아리의 변신은 무죄
false,16494,가장 큰 값
false,16680,안수빈수
false,17840,피보나치 음악
