정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1045,도로
true,1049,기타줄
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1076,저항
true,1085,직사각형에서 탈출
true,1097,마법의 단어
true,1102,발전소
true,1103,게임
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1219,오민식의 고민
true,1238,파티
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1280,나무 심기
true,1289,트리의 가중치
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1302,베스트셀러
true,1305,광고
true,1306,달려라 홍준
true,1309,동물원
true,1316,그룹 단어 체커
true,1342,행운의 문자열
true,1348,주차장
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1395,스위치
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1520,내리막 길
true,1535,안녕
true,1541,잃어버린 괄호
true,1563,개근상
true,1572,중앙값
true,1605,반복 부분문자열
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1633,최고의 팀 만들기
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1708,볼록 껍질
true,1712,손익분기점
true,1717,집합의 표현
true,1726,로봇
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1774,우주신과의 교감
true,1777,순열복원
true,1780,종이의 개수
true,1786,찾기
true,1800,인터넷 설치
true,1806,부분합
true,1849,순열
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1867,돌멩이 제거
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1947,선물 전달
true,1949,우수 마을
true,1958,LCS 3
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2004,조합 0의 개수
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2132,나무 위의 벌레
true,2133,타일 채우기
true,2143,두 배열의 합
true,2156,포도주 시식
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2193,이친수
true,2211,네트워크 복구
true,2213,트리의 독립집합
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2233,사과나무
true,2243,사탕상자
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2268,수들의 합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2306,유전자
true,2316,도시 왕복하기 2
true,2336,굉장한 학생
true,2357,최솟값과 최댓값
true,2367,파티
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2480,주사위 세개
true,2493,탑
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2557,Hello World
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2570,비숍2
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2613,숫자구슬
true,2623,음악프로그램
true,2631,줄세우기
true,2644,촌수계산
true,2661,좋은수열
true,2662,기업투자
true,2665,미로만들기
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2672,여러 직사각형의 전체 면적 구하기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2718,타일 채우기
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2846,오르막길
true,2869,달팽이는 올라가고 싶다
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2985,세 수
true,3006,터보소트
true,3020,개똥벌레
true,3033,가장 긴 문자열
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3062,수 뒤집기
true,3078,좋은 친구
true,3079,입국심사
true,3086,초콜릿 자르기
true,3090,차이를 최소로
true,3176,도로 네트워크
true,3392,화성 지도
true,3653,영화 수집
true,3780,네트워크 연결
true,3830,교수님은 기다리지 않는다
true,3908,서로 다른 소수의 합
true,3933,라그랑주의 네 제곱수 정리
true,3980,선발 명단
true,4195,친구 네트워크
true,4307,개미
true,4354,문자열 제곱
true,4358,생태학
true,4470,줄번호
true,4485,녹색 옷 입은 애가 젤다지?
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5052,전화번호 목록
true,5086,배수와 약수
true,5214,환승
true,5419,북서풍
true,5430,AC
true,5543,상근날드
true,5557,1학년
true,5567,결혼식
true,5568,카드 놓기
true,5582,공통 부분 문자열
true,5597,과제 안 내신 분..?
true,5620,가장 가까운 두 점의 거리
true,5622,다이얼
true,5670,휴대폰 자판
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6086,최대 유량
true,6118,숨바꼭질
true,6144,Charm Bracelet
true,6219,소수의 자격
true,6497,전력난
true,6515,Frequent values
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7469,K번째 수
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7785,회사에 있는 사람
true,8983,사냥꾼
true,9012,괄호
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9240,로버트 후드
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9345,디지털 비디오 디스크(DVDs)
true,9372,상근이의 여행
true,9373,복도 뚫기
true,9375,패션왕 신해빈
true,9417,최대 GCD
true,9426,중앙값 측정
true,9461,파도반 수열
true,9465,스티커
true,9576,책 나눠주기
true,9613,GCD 합
true,9655,돌 게임
true,9663,N-Queen
true,9873,Cow Baseball
true,9935,문자열 폭발
true,10101,삼각형 외우기
true,10167,금광
true,10171,고양이
true,10172,개
true,10256,돌연변이
true,10266,시계 사진들
true,10430,나머지
true,10538,빅 픽쳐
true,10699,오늘 날짜
true,10718,We love kriii
true,10772,π-day
true,10773,제로
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10805,L 모양의 종이 자르기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10828,스택
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10998,A×B
true,10999,구간 합 구하기 2
true,11012,Egg
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11266,단절점
true,11279,최대 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11400,단절선
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11408,열혈강호 5
true,11437,LCA
true,11438,LCA 2
true,11478,서로 다른 부분 문자열의 개수
true,11479,서로 다른 부분 문자열의 개수 2
true,11495,격자 0 만들기
true,11505,구간 곱 구하기
true,11585,속타는 저녁 메뉴
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11812,K진 트리
true,11932,트리와 K번째 수
true,12015,가장 긴 증가하는 부분 수열 2
true,12781,PIZZA ALVOLOC
true,12813,이진수 연산
true,12837,가계부 (Hard)
true,12844,XOR
true,13012,접미사 배열 1
true,13141,Ignition
true,13160,최대 클리크 구하기
true,13163,닉네임에 갓 붙이기
true,13164,행복 유치원
true,13244,Tree
true,13264,접미사 배열 2
true,13275,가장 긴 팰린드롬 부분 문자열
true,13306,트리
true,13345,Completing the Square
true,13348,Memory Match
true,13504,XOR 합
true,13505,두 수 XOR
true,13900,순서쌍의 곱의 합
true,14002,가장 긴 증가하는 부분 수열 4
true,14245,XOR
true,14268,내리 칭찬 2
true,14425,문자열 집합
true,14449,Balanced Photo
true,14450,"Hoof, Paper, Scissors (Gold)"
true,14501,퇴사
true,14525,Bovine Genomics (Gold)
true,14568,2017 연세대학교 프로그래밍 경시대회
true,14645,와이버스 부릉부릉
true,14646,욱제는 결정장애야!!
true,14647,준오는 조류혐오야!!
true,14650,걷다보니 신천역 삼 (Small)
true,14651,걷다보니 신천역 삼 (Large)
true,14728,벼락치기
true,14746,Closest Pair
true,14866,산만한 고양이
true,15457,A Pie for a Pie
true,15458,Barn Painting
true,15459,Haybale Feast
true,15460,My Cow Ate My Homework
true,15461,Milk Measurement
true,15462,The Bovine Shuffle
true,15552,빠른 A+B
true,15586,MooTube (Gold)
true,15587,Cow at Large (Gold)
true,15589,Lifeguards (Silver)
true,15591,MooTube (Silver)
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15747,Taming the Herd
true,15748,Rest Stops
true,15758,Milking Order
true,15759,Talent Show
true,15760,Out of Sorts
true,15761,Lemonade Line
true,15792,A/B - 2
true,15888,정답은 이수근이야!!
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15894,수학은 체육과목 입니다
true,15897,잘못 구현한 에라토스테네스의 체
true,15898,피아의 아틀리에 ~신비한 대회의 연금술사~
true,15899,트리와 색깔
true,15900,나무 탈출
true,15903,카드 합체 놀이
true,15904,UCPC는 무엇의 약자일까?
true,16172,나는 친구가 적다 (Large)
true,16282,Black Chain
true,16287,Parcel
true,16288,Passport Control
true,16360,Go Latin
true,16460,Cupid
true,16461,듀얼 채널 VHF 무전기
true,16462,'나교수' 교수님의 악필
true,16562,친구비
true,16916,부분 문자열
true,16940,BFS 스페셜 저지
true,16953,A → B
true,17033,Cow Land
true,17150,Azulejos
true,17153,Circular DNA
true,17154,Dead-End Detector
true,17192,Snakes
true,17193,I Would Walk 500 Miles
true,17195,Left Out
true,17196,Cow Steeplechase II
true,17197,Fence Planning
true,17203,∑|ΔEasyMAX|
true,17283,I am Groot
true,17352,여러분의 다리가 되어 드리겠습니다!
true,17362,수학은 체육과목 입니다 2
true,17363,우유가 넘어지면?
true,17367,공교육 도박
true,17370,육각형 우리 속의 개미
true,17371,이사
true,17374,비트베리
true,17383,옥토끼는 통신교육을 풀어라!!
true,17384,대진표
true,17386,선분 교차 1
true,17388,와글와글 숭고한
true,17392,우울한 방학
true,17393,다이나믹 롤러
true,17394,핑거 스냅
true,17412,도시 왕복하기 1
true,17436,소수의 배수
true,17490,일감호에 다리 놓기
