정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1041,주사위
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1120,문자열
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1252,이진수 덧셈
true,1260,DFS와 BFS
true,1264,모음의 개수
true,1268,임시 반장 정하기
true,1292,쉽게 푸는 문제
true,1302,베스트셀러
true,1309,동물원
true,1312,소수
true,1316,그룹 단어 체커
true,1351,무한 수열
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1398,동전 문제
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1485,정사각형
true,1495,기타리스트
true,1516,게임 개발
true,1520,내리막 길
true,1546,평균
true,1547,공
true,1550,16진수
true,1592,영식이와 친구들
true,1620,나는야 포켓몬 마스터 이다솜
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1684,같은 나머지
true,1689,겹치는 선분
true,1697,숨바꼭질
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1725,히스토그램
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1766,문제집
true,1773,폭죽쇼
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1793,타일링
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1980,햄버거 사랑
true,1992,쿼드트리
true,2108,통계학
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2217,로프
true,2231,분해합
true,2233,사과나무
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2346,풍선 터뜨리기
true,2355,시그마
true,2399,거리의 합
true,2407,조합
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2475,검증수
true,2476,주사위 게임
true,2478,자물쇠
true,2484,주사위 네개
true,2485,가로수
true,2490,윷놀이
true,2503,숫자 야구
true,2504,괄호의 값
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2531,회전 초밥
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2729,이진수 덧셈
true,2730,오늘은 OS 숙제 제출일
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2799,블라인드
true,2805,나무 자르기
true,2822,점수 계산
true,2823,유턴 싫어
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2869,달팽이는 올라가고 싶다
true,2877,4와 7
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2915,로마 숫자 재배치
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2961,도영이가 만든 맛있는 음식
true,2981,검문
true,3009,네 번째 점
true,3034,앵그리 창영
true,3035,스캐너
true,3036,링
true,3037,혼란
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3052,나머지
true,3055,탈출
true,3085,사탕 게임
true,3649,로봇 프로젝트
true,4101,크냐?
true,4150,피보나치 수
true,4307,개미
true,4344,평균은 넘겠지
true,4375,1
true,4673,셀프 넘버
true,4811,알약
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5032,탄산 음료
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5430,AC
true,5543,상근날드
true,5622,다이얼
true,5656,비교 연산자
true,5702,Jollo
true,5988,홀수일까 짝수일까
true,6064,카잉 달력
true,6378,디지털 루트
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7568,덩치
true,7570,줄 세우기
true,7576,토마토
true,7785,회사에 있는 사람
true,8393,합
true,8741,이진수 합
true,8900,Block Compaction
true,8958,OX퀴즈
true,9009,피보나치
true,9012,괄호
true,9020,골드바흐의 추측
true,9029,정육면체
true,9046,복호화
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9316,Hello Judge
true,9325,얼마?
true,9461,파도반 수열
true,9465,스티커
true,9494,Text Roll
true,9498,시험 성적
true,9550,아이들은 사탕을 좋아해
true,9610,사분면
true,9613,GCD 합
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9659,돌 게임 5
true,10039,평균 점수
true,10103,주사위 게임
true,10172,개
true,10179,쿠폰
true,10250,ACM 호텔
true,10430,나머지
true,10431,줄세우기
true,10432,데이터 스트림의 섬
true,10434,행복한 소수
true,10435,만칼라
true,10436,무한 유리수 트리
true,10448,유레카 이론
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10813,공 바꾸기
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10821,정수의 개수
true,10822,더하기
true,10824,네 수
true,10826,피보나치 수 4
true,10828,스택
true,10829,이진수 변환
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10926,??!
true,10949,숫자야구
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10984,내 학점을 구해줘
true,10986,나머지 합
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10992,별 찍기 - 17
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11279,최대 힙
true,11365,!밀비 급일
true,11399,ATM
true,11441,합 구하기
true,11444,피보나치 수 6
true,11501,주식
true,11502,세 개의 소수 문제
true,11506,占쏙옙
true,11650,좌표 정렬하기
true,11652,카드
true,11654,아스키 코드
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11866,요세푸스 문제 0
true,12096,
true,12847,꿀 아르바이트
true,13171,A
true,13241,최소공배수
true,13300,방 배정
true,13301,타일 장식물
true,13304,방 배정
true,13305,주유소
true,13325,이진 트리
true,13333,Q-인덱스
true,13335,트럭
true,14241,슬라임 합치기
true,14490,백대열
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14581,팬들에게 둘러싸인 홍준
true,14645,와이버스 부릉부릉
true,14659,한조서열정리하고옴ㅋㅋ
true,14670,병약한 영정
true,14729,칠무해
true,14746,Closest Pair
true,14748,Flow Graph Complexity
true,14753,MultiMax
true,14754,Pizza Boxes
true,15483,최소 편집
true,15486,퇴사 2
true,15552,빠른 A+B
true,15643,Yee
true,15781,헬멧과 조끼
true,15802,타노스
true,15894,수학은 체육과목 입니다
true,15897,잘못 구현한 에라토스테네스의 체
true,15900,나무 탈출
true,15903,카드 합체 놀이
true,15953,상금 헌터
true,15954,인형들
true,15961,회전 초밥
true,15972,물탱크
true,16120,PPAP
true,16171,나는 친구가 적다 (Small)
true,16212,정열적인 정렬
true,16394,홍익대학교
true,16562,친구비
true,17826,나의 학점은?
true,17836,공주님을 구해라!
false,2957,이진 탐색 트리
false,9252,LCS 2
false,10944,랜덤 게임~~
false,13334,철로
false,14845,컵과 구슬
