정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1275,커피숍2
true,1297,TV 크기
true,1300,K번째 수
true,1302,베스트셀러
true,1305,광고
true,1306,달려라 홍준
true,1316,그룹 단어 체커
true,1321,군인
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1343,폴리오미노
true,1350,진짜 공간
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1485,정사각형
true,1504,특정한 최단 경로
true,1546,평균
true,1547,공
true,1550,16진수
true,1568,새
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1697,숨바꼭질
true,1701,Cubeditor
true,1712,손익분기점
true,1722,순열의 순서
true,1740,거듭제곱
true,1743,음식물 피하기
true,1744,수 묶기
true,1753,최단경로
true,1773,폭죽쇼
true,1781,컵라면
true,1786,찾기
true,1789,수들의 합
true,1812,사탕
true,1834,나머지와 몫이 같은 수
true,1890,점프
true,1911,흙길 보수하기
true,1912,연속합
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1940,주몽
true,1946,신입 사원
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2010,플러그
true,2033,반올림
true,2042,구간 합 구하기
true,2110,공유기 설치
true,2146,다리 만들기
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2231,분해합
true,2243,사탕상자
true,2268,수들의 합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2405,"세 수, 두 M"
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2503,숫자 야구
true,2506,점수계산
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2621,카드게임
true,2660,회장뽑기
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2961,도영이가 만든 맛있는 음식
true,2965,캥거루 세마리
true,2997,네 번째 수
true,3009,네 번째 점
true,3046,R2
true,3047,ABC
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3062,수 뒤집기
true,3109,빵집
true,3273,두 수의 합
true,3460,이진수
true,3745,오름세
true,3896,소수 사이 수열
true,4153,직각삼각형
true,4344,평균은 넘겠지
true,4354,문자열 제곱
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4673,셀프 넘버
true,4766,일반 화학 실험
true,4781,사탕 가게
true,4796,캠핑
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4991,로봇 청소기
true,5052,전화번호 목록
true,5063,TGN
true,5176,대회 자리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5354,J박스
true,5427,불
true,5543,상근날드
true,5565,영수증
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5622,다이얼
true,5676,음주 코딩
true,5719,거의 최단 경로
true,5988,홀수일까 짝수일까
true,6064,카잉 달력
true,6236,용돈 관리
true,6359,만취한 상범
true,6502,동혁 피자
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7572,간지(干支)
true,7576,토마토
true,7795,먹을 것인가 먹힐 것인가
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9047,6174
true,9085,더하기
true,9095,"1, 2, 3 더하기"
true,9328,열쇠
true,9421,소수상근수
true,9426,중앙값 측정
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9506,약수들의 합
true,9546,3000번 버스
true,9550,아이들은 사탕을 좋아해
true,9653,스타워즈 로고
true,9655,돌 게임
true,10026,적록색약
true,10039,평균 점수
true,10102,개표
true,10103,주사위 게임
true,10156,과자
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10250,ACM 호텔
true,10282,해킹
true,10430,나머지
true,10451,순열 사이클
true,10569,다면체
true,10699,오늘 날짜
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10800,컬러볼
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10828,스택
true,10829,이진수 변환
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11265,끝나지 않는 파티
true,11365,!밀비 급일
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11505,구간 곱 구하기
true,11562,백양로 브레이크
true,11648,지속
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11780,플로이드 2
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,12015,가장 긴 증가하는 부분 수열 2
true,12026,BOJ 거리
true,12738,가장 긴 증가하는 부분 수열 3
true,12778,CTP공국으로 이민 가자
true,12837,가계부 (Hard)
true,13458,시험 감독
true,13698,Hawk eyes
true,13701,중복 제거
true,13752,히스토그램
true,13911,집 구하기
true,13913,숨바꼭질 4
true,14425,문자열 집합
true,14431,소수마을
true,14487,욱제는 효도쟁이야!!
true,14501,퇴사
true,14502,연구소
true,14728,벼락치기
true,14746,Closest Pair
true,14753,MultiMax
true,14754,Pizza Boxes
true,14889,스타트와 링크
true,14914,사과와 바나나 나눠주기
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15643,Yee
true,15686,치킨 배달
true,15710,xor 게임
true,15712,등비수열
true,15786,Send me the money
true,15787,기차가 어둠을 헤치고 은하수를
true,15802,타노스
true,15903,카드 합체 놀이
true,15961,회전 초밥
true,15962,새로운 시작
true,16236,아기 상어
true,17135,캐슬 디펜스
true,17144,미세먼지 안녕!
true,17176,암호해독기
true,17256,달달함이 넘쳐흘러
true,17262,팬덤이 넘쳐흘러
true,17293,맥주 99병
true,17295,엔드게임 스포일러
true,17362,수학은 체육과목 입니다 2
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,18868,멀티버스 Ⅰ
true,18869,멀티버스 Ⅱ
true,18883,N M 찍기
false,1111,IQ Test
false,1322,X와 K
false,2108,통계학
false,2307,도로검문
false,2407,조합
false,2493,탑
false,2580,스도쿠
false,2632,피자판매
false,2812,크게 만들기
false,2865,나는 위대한 슈퍼스타K
false,3343,장미
false,3651,이항계수
false,3777,Computer Transformation
false,5014,스타트링크
false,7785,회사에 있는 사람
false,7800,The Chosen Sub Matrix
false,8149,Weights
false,9997,폰트
false,10814,나이순 정렬
false,10826,피보나치 수 4
false,10971,외판원 순회 2
false,14916,거스름돈
false,16205,변수명
