정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1037,약수
true,1049,기타줄
true,1065,한수
true,1068,트리
true,1074,Z
true,1085,직사각형에서 탈출
true,1094,막대기
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1162,도로포장
true,1168,요세푸스 문제 2
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1219,오민식의 고민
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1264,모음의 개수
true,1267,핸드폰 요금
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1351,무한 수열
true,1373,2진수 8진수
true,1406,에디터
true,1412,일방통행
true,1427,소트인사이드
true,1436,영화감독 숌
true,1461,도서관
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1520,내리막 길
true,1546,평균
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1654,랜선 자르기
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1727,커플 만들기
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1789,수들의 합
true,1799,비숍
true,1850,최대공약수
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1918,후위 표기식
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1946,신입 사원
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2089,-2진수
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2156,포도주 시식
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2176,합리적인 이동경로
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2231,분해합
true,2243,사탕상자
true,2248,이진수 찾기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2306,유전자
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2355,시그마
true,2357,최솟값과 최댓값
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2477,참외밭
true,2480,주사위 세개
true,2482,색상환
true,2490,윷놀이
true,2493,탑
true,2504,괄호의 값
true,2515,전시장
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2718,타일 채우기
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,3009,네 번째 점
true,3015,오아시스 재결합
true,3028,창영마을
true,3029,경고
true,3034,앵그리 창영
true,3035,스캐너
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3041,N-퍼즐
true,3042,트리플렛
true,3046,R2
true,3047,ABC
true,3048,개미
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3076,상근이의 체스판
true,3114,사과와 바나나
true,3653,영화 수집
true,4008,특공대
true,4150,피보나치 수
true,4153,직각삼각형
true,4195,친구 네트워크
true,4307,개미
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4999,아!
true,5397,키로거
true,5430,AC
true,5527,전구 장식
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5569,출근 경로
true,5573,산책
true,5622,다이얼
true,5845,Perimeter
true,5864,Wifi Setup
true,6064,카잉 달력
true,6118,숨바꼭질
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,7287,등록
true,7568,덩치
true,7572,간지(干支)
true,7578,공장
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9345,디지털 비디오 디스크(DVDs)
true,9461,파도반 수열
true,9465,스티커
true,9470,Strahler 순서
true,9471,피사노 주기
true,9498,시험 성적
true,9613,GCD 합
true,9655,돌 게임
true,9657,돌 게임 3
true,9659,돌 게임 5
true,9663,N-Queen
true,9999,구구
true,10039,평균 점수
true,10093,숫자
true,10156,과자
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10252,그리드 그래프
true,10403,Intrepid climber
true,10430,나머지
true,10539,수빈이와 수열
true,10540,KLOPKA
true,10545,뚜기뚜기메뚜기
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10826,피보나치 수 4
true,10828,스택
true,10830,행렬 제곱
true,10833,사과
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10937,두부 모판 자르기
true,10943,랜덤 게임~
true,10947,로또
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,10999,구간 합 구하기 2
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11062,카드 게임
true,11066,파일 합치기
true,11266,단절점
true,11328,Strfry
true,11365,!밀비 급일
true,11383,뚊
true,11399,ATM
true,11400,단절선
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11444,피보나치 수 6
true,11497,통나무 건너뛰기
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11507,카드셋트
true,11508,2+1 세일
true,11509,풍선 맞추기
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11657,타임머신
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11779,최소비용 구하기 2
true,11819,The Shortest does not Mean the Simplest
true,11931,수 정렬하기 4
true,12096,
true,13171,A
true,13172,Σ
true,13241,최소공배수
true,13300,방 배정
true,13302,리조트
true,13308,주유소
true,13537,수열과 쿼리 1
true,13866,팀 나누기
true,13900,순서쌍의 곱의 합
true,14406,좌중을 사로잡는 건배사
true,14432,우물
true,14442,벽 부수고 이동하기 2
true,14443,채점 소수 번호
true,14488,준오는 급식충이야!!
true,14489,치킨 두 마리 (...)
true,14490,백대열
true,14501,퇴사
true,14502,연구소
true,14645,와이버스 부릉부릉
true,14646,욱제는 결정장애야!!
true,14647,준오는 조류혐오야!!
true,14648,쿼리 맛보기
true,14649,문홍안
true,14650,걷다보니 신천역 삼 (Small)
true,14651,걷다보니 신천역 삼 (Large)
true,14652,나는 행복합니다~
true,14675,단절점과 단절선
true,14681,사분면 고르기
true,14696,딱지놀이
true,14697,방 배정하기
true,14720,우유 축제
true,14726,신용카드 판별
true,14736,Coke Challenge
true,14867,물통
true,14888,연산자 끼워넣기
true,14953,Game Map
true,15232,Rectangles
true,15353,큰 수 A+B (2)
true,15483,최소 편집
true,15486,퇴사 2
true,15552,빠른 A+B
true,15553,난로
true,15562,네트워크
true,15595,정답 비율 계산하기
true,15596,정수 N개의 합
true,15636,Linear Algebra and Group
true,15638,No Description
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15740,A+B - 9
true,15802,타노스
true,15885,고장난 시계
true,15886,내 선물을 받아줘 2
true,15887,욱제는 결벽증이야!!
true,15888,정답은 이수근이야!!
true,15889,호 안에 수류탄이야!!
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15904,UCPC는 무엇의 약자일까?
true,15916,가희는 그래플러야!!
true,15917,노솔브 방지문제야!!
true,15920,선로에 마네킹이야!!
true,15921,수찬은 마린보이야!!
true,15927,회문은 회문아니야!!
true,15947,아기 석환 뚜루루 뚜루
true,15962,새로운 시작
true,15963,CASIO
true,15964,이상한 기호
true,15975,화살표 그리기
true,15997,승부 예측
true,15998,카카오머니
true,16112,5차 전직
true,16118,달빛 여우
true,16120,PPAP
true,17294,귀여운 수~ε٩(๑> ₃ <)۶з
true,17295,엔드게임 스포일러
true,17362,수학은 체육과목 입니다 2
true,17388,와글와글 숭고한
true,17389,보너스 점수
false,15965,K번째 소수
