정답여부,문제번호,문제이름
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1026,보물
true,1028,다이아몬드 광산
true,1031,스타 대결
true,1032,명령 프롬프트
true,1036,36진수
true,1038,감소하는 수
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1074,Z
true,1097,마법의 단어
true,1099,알 수 없는 문장
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1112,진법 변환
true,1126,같은 탑
true,1149,RGB거리
true,1152,단어의 개수
true,1153,네 개의 소수
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1219,오민식의 고민
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1280,나무 심기
true,1289,트리의 가중치
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1305,광고
true,1315,RPG
true,1316,그룹 단어 체커
true,1321,군인
true,1328,고층 빌딩
true,1344,축구
true,1348,주차장
true,1360,되돌리기
true,1374,강의실
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1413,박스 안의 열쇠
true,1415,사탕
true,1420,학교 가지마!
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1494,절댓값 수열
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1513,경로 찾기
true,1516,게임 개발
true,1520,내리막 길
true,1562,계단 수
true,1572,중앙값
true,1600,말이 되고픈 원숭이
true,1605,반복 부분문자열
true,1614,영식이의 손가락
true,1619,점 고르기
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1671,상어의 저녁식사
true,1693,트리 색칠하기
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1708,볼록 껍질
true,1727,커플 만들기
true,1739,도로 정비하기
true,1753,최단경로
true,1759,암호 만들기
true,1760,N-Rook
true,1761,정점들의 거리
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1787,문자열의 주기 예측
true,1799,비숍
true,1803,무술 연습
true,1835,카드
true,1847,볼록다각형 만들기
true,1854,K번째 최단경로 찾기
true,1863,스카이라인 쉬운거
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1920,수 찾기
true,1926,그림
true,1931,회의실배정
true,1932,정수 삼각형
true,1933,스카이라인
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1946,신입 사원
true,1949,우수 마을
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1967,트리의 지름
true,1978,소수 찾기
true,1982,호텔예약
true,1992,쿼드트리
true,2024,선분 덮기
true,2042,구간 합 구하기
true,2066,카드놀이
true,2073,수도배관공사
true,2096,내려가기
true,2098,외판원 순회
true,2143,두 배열의 합
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2152,여행 계획 세우기
true,2156,포도주 시식
true,2159,케익 배달
true,2162,선분 그룹
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2213,트리의 독립집합
true,2217,로프
true,2231,분해합
true,2240,자두나무
true,2243,사탕상자
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2268,수들의 합
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2310,어드벤처 게임
true,2316,도시 왕복하기 2
true,2336,굉장한 학생
true,2339,석판 자르기
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2370,시장 선거 포스터
true,2401,최대 문자열 붙여넣기
true,2414,게시판 구멍 막기
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2448,별 찍기 - 11
true,2449,전구
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2458,키 순서
true,2461,대표 선수
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2473,세 용액
true,2478,자물쇠
true,2481,해밍 경로
true,2482,색상환
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2505,두 번 뒤집기
true,2515,전시장
true,2519,막대기
true,2526,싸이클
true,2548,대표 자연수
true,2551,두 대표 자연수
true,2552,전구숫자
true,2559,수열
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
