정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1032,명령 프롬프트
true,1033,칵테일
true,1038,감소하는 수
true,1043,거짓말
true,1065,한수
true,1072,게임
true,1074,Z
true,1080,행렬
true,1085,직사각형에서 탈출
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1182,부분수열의 합
true,1188,음식 평론가
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1238,파티
true,1248,맞춰봐
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1300,K번째 수
true,1309,동물원
true,1339,단어 수학
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1436,영화감독 숌
true,1463,1로 만들기
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1506,경찰서
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1561,놀이 공원
true,1562,계단 수
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1653,양팔 저울
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1719,택배
true,1722,순열의 순서
true,1726,로봇
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1765,닭싸움 팀 정하기
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1789,수들의 합
true,1796,신기한 키보드
true,1799,비숍
true,1806,부분합
true,1865,웜홀
true,1890,점프
true,1891,사분면
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2011,암호코드
true,2022,사다리
true,2033,반올림
true,2056,작업
true,2089,-2진수
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2138,전구와 스위치
true,2143,두 배열의 합
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2239,스도쿠
true,2251,물통
true,2252,줄 세우기
true,2263,트리의 순회
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2339,석판 자르기
true,2343,기타 레슨
true,2352,반도체 설계
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2458,키 순서
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2473,세 용액
true,2512,예산
true,2553,마지막 팩토리얼 수
true,2557,Hello World
true,2558,A+B - 2
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2630,색종이 만들기
true,2631,줄세우기
true,2644,촌수계산
true,2660,회장뽑기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2751,수 정렬하기 2
true,2776,암기왕
true,2792,보석 상자
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2851,슈퍼 마리오
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2935,소음
true,2960,에라토스테네스의 체
true,3015,오아시스 재결합
true,3020,개똥벌레
true,3023,마술사 이민혁
true,3055,탈출
true,3079,입국심사
true,3111,검열
true,3190,뱀
true,3197,백조의 호수
true,3665,최종 순위
true,3745,오름세
true,4195,친구 네트워크
true,4198,열차정렬
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5032,탄산 음료
true,5214,환승
true,5373,큐빙
true,5532,방학 숙제
true,5567,결혼식
true,5598,카이사르 암호
true,5721,사탕 줍기 대회
true,6118,숨바꼭질
true,6236,용돈 관리
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7453,합이 0인 네 정수
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8741,이진수 합
true,8983,사냥꾼
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9324,진짜 메시지
true,9372,상근이의 여행
true,9376,탈옥
true,9421,소수상근수
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9613,GCD 합
true,9663,N-Queen
true,9935,문자열 폭발
true,10026,적록색약
true,10172,개
true,10282,해킹
true,10409,서버
true,10422,괄호
true,10430,나머지
true,10451,순열 사이클
true,10610,30
true,10718,We love kriii
true,10775,공항
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10830,행렬 제곱
true,10835,카드게임
true,10844,쉬운 계단 수
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10926,??!
true,10940,BASE16 인코딩
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10986,나머지 합
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11279,최대 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11655,ROT13
true,11656,접미사 배열
true,11657,타임머신
true,11659,구간 합 구하기 4
true,11664,선분과 점
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12761,돌다리
true,12865,평범한 배낭
true,13302,리조트
true,13397,구간 나누기 2
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13698,Hawk eyes
true,13699,점화식
true,13700,완전 범죄
true,13703,물벼룩의 생존확률
true,13904,과제
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14226,이모티콘
true,14391,종이 조각
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14926,Not Equal
true,15644,구슬 탈출 3
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15802,타노스
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16394,홍익대학교
true,16395,파스칼의 삼각형
true,16396,선 그리기
true,16397,탈출
true,16398,행성 연결
true,16400,소수 화폐
true,16401,과자 나눠주기
true,16637,괄호 추가하기
true,16985,Maaaaaaaaaze
true,16988,Baaaaaaaaaduk2 (Easy)
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17224,APC는 왜 서브태스크 대회가 되었을까?
true,17281,⚾
true,17300,패턴
true,17350,2루수 이름이 뭐야
true,17351,3루수는 몰라
true,17352,여러분의 다리가 되어 드리겠습니다!
true,17388,와글와글 숭고한
true,17389,보너스 점수
true,17390,이건 꼭 풀어야 해!
true,17391,무한부스터
true,17392,우울한 방학
true,17393,다이나믹 롤러
true,17394,핑거 스냅
true,17395,이진수 변환
true,17397,FLEX
true,17406,배열 돌리기 4
true,17450,과자 사기
true,17451,평행 우주
true,17452,Christmalo.win
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17488,수강 바구니
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17826,나의 학점은?
true,17830,이진수씨의 하루 일과
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
true,17950,스노우볼
true,17952,과제는 끝나지 않아!
true,17953,디저트
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
true,18870,좌표 압축
true,19235,모노미노도미노
true,19236,청소년 상어
true,19237,어른 상어
true,19238,스타트 택시
true,19572,가뭄(Small)
true,19575,Polynomial
true,19591,독특한 계산기
false,2334,대칭 그림2
false,13199,치킨 먹고 싶다
false,17225,세훈이의 선물가게
false,17349,1루수가 누구야
false,19590,비드맨
