정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1006,습격자 초라기
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1020,디지털 카운터
true,1021,회전하는 큐
true,1026,보물
true,1033,칵테일
true,1037,약수
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1078,뒤집음
true,1085,직사각형에서 탈출
true,1094,막대기
true,1097,마법의 단어
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1193,분수찾기
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1280,나무 심기
true,1289,트리의 가중치
true,1305,광고
true,1316,그룹 단어 체커
true,1357,뒤집힌 덧셈
true,1427,소트인사이드
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1487,물건 팔기
true,1520,내리막 길
true,1546,평균
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1697,숨바꼭질
true,1701,Cubeditor
true,1708,볼록 껍질
true,1741,반 나누기
true,1753,최단경로
true,1756,피자 굽기
true,1763,트리 색칠
true,1786,찾기
true,1787,문자열의 주기 예측
true,1789,수들의 합
true,1792,공약수
true,1842,게임하기
true,1847,볼록다각형 만들기
true,1850,최대공약수
true,1859,성적
true,1868,보물찾기
true,1893,시저 암호
true,1904,01타일
true,1905,상자 쌓기
true,1909,냄새 싫어
true,1912,연속합
true,1924,2007년
true,1932,정수 삼각형
true,1933,스카이라인
true,1934,최소공배수
true,1951,활자
true,1977,완전제곱수
true,1978,소수 찾기
true,1989,부분배열 고르기 2
true,2000,책장제작
true,2004,조합 0의 개수
true,2010,플러그
true,2024,선분 덮기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2292,벌집
true,2293,동전 1
true,2309,일곱 난쟁이
true,2316,도시 왕복하기 2
true,2401,최대 문자열 붙여넣기
true,2407,조합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2448,별 찍기 - 11
true,2490,윷놀이
true,2557,Hello World
true,2558,A+B - 2
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2661,좋은수열
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2839,설탕 배달
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2908,상수
true,2914,저작권
true,2920,음계
true,2941,크로아티아 알파벳
true,2965,캥거루 세마리
true,2981,검문
true,3036,링
true,3046,R2
true,3053,택시 기하학
true,3123,배추
true,3546,Headshot
true,3549,K-equivalence
true,3779,주기
true,3977,축구 전술
true,3991,한번 쏘면 멈출 수 없어
true,3992,Caravan Robbers
true,3994,Exact Measurement
true,3995,스네이크 큐브
true,3996,위대한 사기꾼
true,3997,하이퍼드롬
true,3998,단백질 식별
true,3999,텔레점프
true,4001,미노타우르스 미궁
true,4320,완전 P제곱수
true,4344,평균은 넘겠지
true,4354,문자열 제곱
true,4673,셀프 넘버
true,5502,팰린드롬
true,5622,다이얼
true,6146,신아를 만나러
true,7287,등록
true,7523,Gauß
true,7632,Empty Triangles
true,7959,Toy Cars
true,8059,Speleology
true,8125,Professor Szu
true,8126,Warehouse
true,8127,Schools
true,8128,Subway
true,8129,The Invasion
true,8130,The Postman
true,8131,Ploughing
true,8132,Dancing in Circles
true,8133,Aesthetic Text
true,8134,Crystals
true,8135,Teddies
true,8136,Palindromes
true,8137,Sophie
true,8138,Tourist Attractions
true,8141,Axes of Symmetry
true,8142,Ridges and Valleys
true,8143,The Flood
true,8144,Rock Garden
true,8145,Megalopolis
true,8149,Weights
true,8150,Driving Exam
true,8152,Quaternary Balance
true,8155,Postering
true,8202,Conspiracy
true,8203,Lollipop
true,8204,Lightning Conductor
true,8207,Strongbox
true,8208,Difference
true,8210,Tree Rotations 2
true,8211,Tree Rotations
true,8212,Temperature
true,8213,Dynamite
true,8214,Party
true,8215,Inspection
true,8217,유성
true,8218,Sticks
true,8219,Programming Contest
true,8220,Festival
true,8221,Letters
true,8222,Distance
true,8223,Rendezvous
true,8225,Tour de Byteotia
true,8226,Vouchers
true,8227,Cloakroom
true,8228,A Horrible Poem
true,8229,Fibonacci Representation
true,8230,Squarks
true,8231,Salaries
true,8232,Leveling Ground
true,8233,Minimalist Security
true,8234,Warehouse Store
true,8235,Prefixuffix
true,8236,Price List
true,8239,Taxis
true,8240,Take-out
true,8243,Triumphal arch
true,8244,Tales of seafaring
true,8393,합
true,8907,네온 사인
true,8958,OX퀴즈
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9240,로버트 후드
true,9248,Suffix Array
true,9251,LCS
true,9252,LCS 2
true,9461,파도반 수열
true,9484,"최대삼각형, 최소삼각형"
true,9498,시험 성적
true,9576,책 나눠주기
true,9577,토렌트
true,9663,N-Queen
true,9686,The Exam
true,10003,Tower Defense Game
true,10004,Bytecomputer
true,10006,Colorful Chain
true,10008,Polarization
true,10039,평균 점수
true,10121,Salad Bar
true,10122,Hotels
true,10123,Bricks
true,10124,Couriers
true,10125,Snake
true,10126,Cards
true,10127,criminals
true,10128,Supercomputer
true,10129,작은 새
true,10130,Rally
true,10131,FarmCraft
true,10132,Around the world
true,10133,Ant colony
true,10134,Tourism
true,10135,Solar lamps
true,10136,Solar Panels
true,10137,Freight
true,10167,금광
true,10172,개
true,10250,ACM 호텔
true,10254,고속도로
true,10266,시계 사진들
true,10430,나머지
true,10559,Containment
true,10718,We love kriii
true,10809,알파벳 찾기
true,10817,세 수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10871,X보다 작은 수
true,10948,Daily 로또
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10986,나머지 합
true,10998,A×B
true,11003,최솟값 찾기
true,11022,A+B - 8
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11062,카드 게임
true,11066,파일 합치기
true,11068,회문인 수
true,11069,Particle
true,11070,피타고라스 기댓값
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11403,경로 찾기
true,11585,속타는 저녁 메뉴
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11726,2×n 타일링
true,11735,정산소
true,11736,Binary vs Decimal
true,11737,Cactus Jubilee
true,11738,Distance on Triangulation
true,11739,Easy Problemset
true,11740,Froggy Ford
true,11741,Generators
true,11742,Hypercube
true,11743,Iceberg Orders
true,11745,King’s Inspection
true,11746,Landscape Improved
true,11747,수열
true,11748,Squeeze the Cylinders
true,12144,영어와 프랑스어 (Large)
true,12599,Qualification Round (Small)
true,12670,The Year of Code Jam (Large)
true,13082,M and A
true,13083,Change a Password
true,13084,Delete Files
true,13085,Line Gimmick
true,13086,Shifting a Matrix
true,13089,Donut Decoration
true,13091,Longest Shortest Path
true,13092,Optimal Tournament
true,13093,North North West
true,13094,Unknown Switches
true,13095,Speedrun
true,13096,Flowers
true,13097,Square in Circles
true,13098,Reverse a Road II
true,13099,Cookie Counter
true,13100,Points and Lines
true,13101,Color the Map Extreme
true,13102,Website Tour
true,13103,Idempotent Filter
true,13161,분단의 슬픔
true,13241,최소공배수
true,13262,수열의 OR 점수
true,13325,이진 트리
true,13326,Diameter
true,13328,Message Passing
true,13330,유사 팰린드롬
true,13333,Q-인덱스
true,13334,철로
true,13335,트럭
true,13399,Rearranging a Sequence
true,13400,Quality of Check Digits
true,13401,Distribution Center
true,13402,Hidden Anagrams
true,13405,Placing Medals on a Binary Tree
true,13406,Animal Companion in Maze
true,13407,Skinny Polygon
true,13458,시험 감독
true,13504,XOR 합
true,13569,Rounding
true,13709,XOR 합 2
true,13710,XOR 합 3
true,13928,Arranging Hat
true,13929,British Menu
true,13930,Careful Ascent
true,13931,Driving in Optimistan
true,13932,Exam Redistribution
true,13933,Free Weights
true,13934,Gotta Nudge ’Em All
true,13935,Hamiltonian Hypercube
true,13936,Iron and Coal
true,13937,Jupiter Orbiter
true,13938,Kiwi Trees
true,13957,Within Arm's Reach
true,13958,Bribing Eve
true,13959,Candle Box
true,13960,Dinner Bet
true,13962,Performance Review
true,13964,Pascal's Hyper-Pyramids
true,13965,The White Rabbit Pocket Watch
true,14012,Large PhD Restaurant
true,14164,삼각형 영역
true,14165,Team Building
true,14166,Robotic Cow Herd
true,14167,Moocast
true,14168,Cow Checklist
true,14169,Lasers and Mirrors
true,14170,Counting Haybales
true,14171,Cities and States
true,14172,Moocast
true,14173,Square Pasture
true,14174,Block Game
true,14175,The Cow-Signal
true,14204,표 정렬
true,14636,Money for Nothing
true,14746,Closest Pair
true,14747,Cycle Mean
true,14797,Alphabet Cake (Small)
true,14798,Alphabet Cake (Large)
true,14799,Ratatouille (Small)
true,14800,Ratatouille (Large)
true,14801,Play the Dragon (Small)
true,14802,Play the Dragon (Large)
true,14803,Steed 2: Cruise Control (Small)
true,14804,Steed 2: Cruise Control (Large)
true,14805,Stable Neigh-bors (Small)
true,14806,Stable Neigh-bors (Large)
true,14807,Pony Express (Small)
true,14808,Pony Express (Large)
true,14809,Ample Syrup (Small)
true,14810,Ample Syrup (Large)
true,14811,Parenting Partnering (Small)
true,14812,Parenting Partnering (Large)
true,14813,Core Training (Small1)
true,14814,Core Training (Small2)
true,14934,변치 않는 수
true,14951,Broadcast Stations
true,14952,Connect3
true,14953,Game Map
true,14954,Happy Number
true,14955,How Many to Be Happy?
true,14956,Philosopher’s Walk
true,14957,Rectilinear Regions
true,14958,Rock Paper Scissors
true,14959,Slot Machines
true,14960,Strongly Matchable
true,14961,Untangling Chain
true,14962,Vacation Plans
true,15027,Alien Sunset
true,15028,Breaking Biscuits
true,15029,Cued In
true,15030,Deranging Hat
true,15031,Education
true,15032,Flipping Coins
true,15034,Hiker Safety
true,15035,I Work All Day
true,15036,Just A Minim
true,15037,Knightsbridge Rises
true,15038,Lounge Lizards
true,15104,Odd Palindrome
true,15131,Auxiliary Project
true,15132,Boolean Satisfiability
true,15235,Olympiad Pizza
true,15283,Archery Tournament
true,15284,Box
true,15285,Connections
true,15286,Designing the Toy
true,15287,Easy Quest
true,15288,The Final Level
true,15289,The Great Wall
true,15292,Journey from Petersburg to Moscow
true,15293,Knapsack Cryptosystem
true,15294,Laminar Family
true,15310,아티스트
true,15410,Cakey McCakeFace
true,15411,Table
true,15412,Macarons
true,15415,Shattered Cake
true,15419,Frosting on the Cake
true,15420,Blowing Candles
true,15529,Best Matched Pair
true,15530,Help the Princess!
true,15531,We don’t wanna work!
true,15532,Parentheses
true,15533,Similarity of Subtrees
true,15534,Escape from the Hell
true,15535,Share the Ruins Preservation
true,15536,Pipe Fitter and the Fierce Dogs
true,15537,Multisect
true,15538,Compressed Formula
true,15539,Non-redundant Drive
true,15552,빠른 A+B
true,15599,Ascending Photo
true,15600,Boss Battle
true,15602,Dunglish
true,15603,English Restaurant
true,15604,Factor-Free Tree
true,15605,Glyph Recognition
true,15606,High Score
true,15607,Installing Apps
true,15608,Juggling Troupe
true,15609,Knockout Tournament
true,15610,Abbey Courtyard
true,15611,Broken Gearbox
true,15612,Cube Bits
true,15979,스승님 찾기
true,15994,엘리베이터 2
true,15997,승부 예측
true,15998,카카오머니
true,16026,Cloud computing
true,16027,Global warming
true,16028,Lottery
true,16029,Fibonacci representations
true,16030,Toys
true,16043,Missing Gnomes
true,16044,Prefix Free Code
true,16047,Recovery
true,16048,Red Black Tree
true,16076,휴식이 필요해
true,16123,피타고라스 쌍
