정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1032,명령 프롬프트
true,1065,한수
true,1068,트리
true,1072,게임
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1233,주사위
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1247,부호
true,1260,DFS와 BFS
true,1292,쉽게 푸는 문제
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1339,단어 수학
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1417,국회의원 선거
true,1427,소트인사이드
true,1431,시리얼 번호
true,1463,1로 만들기
true,1474,밑 줄
true,1475,방 번호
true,1476,날짜 계산
true,1516,게임 개발
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1547,공
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1647,도시 분할 계획
true,1673,치킨 쿠폰
true,1697,숨바꼭질
true,1701,Cubeditor
true,1718,암호
true,1725,히스토그램
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1780,종이의 개수
true,1789,수들의 합
true,1890,점프
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2002,추월
true,2010,플러그
true,2033,반올림
true,2056,작업
true,2064,IP 주소
true,2096,내려가기
true,2146,다리 만들기
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2231,분해합
true,2234,성곽
true,2252,줄 세우기
true,2331,반복수열
true,2407,조합
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2468,안전 영역
true,2490,윷놀이
true,2493,탑
true,2503,숫자 야구
true,2506,점수계산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2567,색종이 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2631,줄세우기
true,2638,치즈
true,2644,촌수계산
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2789,유학 금지
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2810,컵홀더
true,2822,점수 계산
true,2839,설탕 배달
true,2846,오르막길
true,2851,슈퍼 마리오
true,2857,FBI
true,2858,기숙사 바닥
true,2864,5와 6의 차이
true,2870,수학숙제
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2909,캔디 구매
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2966,찍기
true,2998,8진수
true,3009,네 번째 점
true,3029,경고
true,3034,앵그리 창영
true,3035,스캐너
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3048,개미
true,3052,나머지
true,3054,피터팬 프레임
true,3055,탈출
true,3085,사탕 게임
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3613,Java vs C++
true,3980,선발 명단
true,3986,좋은 단어
true,4179,불!
true,4344,평균은 넘겠지
true,4796,캠핑
true,4963,섬의 개수
true,5014,스타트링크
true,5032,탄산 음료
true,5046,전국 대학생 프로그래밍 대회 동아리 연합
true,5063,TGN
true,5218,알파벳 거리
true,5354,J박스
true,5427,불
true,5430,AC
true,5533,유니크
true,5543,상근날드
true,5555,반지
true,5565,영수증
true,5567,결혼식
true,5576,콘테스트
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5622,다이얼
true,5639,이진 검색 트리
true,5988,홀수일까 짝수일까
true,6031,Feeding Time
true,6032,Toy Shopping
true,6068,시간 관리하기
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9324,진짜 메시지
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9465,스티커
true,9494,Text Roll
true,9498,시험 성적
true,9613,GCD 합
true,9655,돌 게임
true,9656,돌 게임 2
true,9933,민균이의 비밀번호
true,10026,적록색약
true,10039,평균 점수
true,10172,개
true,10250,ACM 호텔
true,10409,서버
true,10430,나머지
true,10451,순열 사이클
true,10546,배부른 마라토너
true,10610,30
true,10718,We love kriii
true,10769,행복한지 슬픈지
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10823,더하기 2
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11060,점프 점프
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11575,Affine Cipher
true,11576,Base Conversion
true,11586,지영 공주님의 마법 거울
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11944,NN
true,12100,2048 (Easy)
true,12761,돌다리
true,12780,원피스
true,12782,비트 우정지수
true,12789,도키도키 간식드리미
true,12790,Mini Fantasy War
true,12904,A와 B
true,12919,A와 B 2
true,13410,거꾸로 구구단
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13701,중복 제거
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14581,팬들에게 둘러싸인 홍준
true,14582,오늘도 졌다
true,14584,암호 해독
true,14612,김식당
true,14621,나만 안되는 연애
true,14623,감정이입
true,14645,와이버스 부릉부릉
true,14647,준오는 조류혐오야!!
true,14670,병약한 영정
true,14719,빗물
true,14724,관리자는 누구?
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14915,진수 변환기
true,15683,감시
true,15684,사다리 조작
true,15686,치킨 배달
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15783,세진 바이러스
true,15784,질투진서
true,15786,Send me the money
true,15787,기차가 어둠을 헤치고 은하수를
true,15789,CTP 왕국은 한솔 왕국을 이길 수 있을까?
true,15897,잘못 구현한 에라토스테네스의 체
true,16394,홍익대학교
true,16395,파스칼의 삼각형
true,16396,선 그리기
true,16397,탈출
true,16398,행성 연결
false,1037,약수
false,1111,IQ Test
false,1113,수영장 만들기
false,1202,보석 도둑
false,1676,팩토리얼 0의 개수
false,1707,이분 그래프
false,1766,문제집
false,2098,외판원 순회
false,2240,자두나무
false,2293,동전 1
false,2294,동전 2
false,2309,일곱 난쟁이
false,2455,지능형 기차
false,2629,양팔저울
false,3015,오아시스 재결합
false,4195,친구 네트워크
false,6581,HTML
false,9466,텀 프로젝트
false,9935,문자열 폭발
false,10844,쉬운 계단 수
false,11057,오르막 수
false,14442,벽 부수고 이동하기 2
false,14616,Explore space
false,15782,Calculate! 2
false,15788,밸런스 스톤
false,15790,최종병기 활
