정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1013,Contact
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1026,보물
true,1032,명령 프롬프트
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1072,게임
true,1085,직사각형에서 탈출
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1114,통나무 자르기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1300,K번째 수
true,1305,광고
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1371,가장 많은 글자
true,1389,케빈 베이컨의 6단계 법칙
true,1396,크루스칼의 공
true,1427,소트인사이드
true,1456,거의 소수
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1516,게임 개발
true,1546,평균
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1708,볼록 껍질
true,1717,집합의 표현
true,1722,순열의 순서
true,1743,음식물 피하기
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1781,컵라면
true,1786,찾기
true,1789,수들의 합
true,1874,스택 수열
true,1890,점프
true,1911,흙길 보수하기
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1940,주몽
true,1946,신입 사원
true,1963,소수 경로
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2004,조합 0의 개수
true,2042,구간 합 구하기
true,2108,통계학
true,2110,공유기 설치
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2178,미로 탐색
true,2193,이친수
true,2231,분해합
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2357,최솟값과 최댓값
true,2405,"세 수, 두 M"
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2448,별 찍기 - 11
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2590,색종이
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2637,장난감조립
true,2660,회장뽑기
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2703,Cryptoquote
true,2721,삼각수의 합
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2872,우리집엔 도서관이 있어
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2966,찍기
true,3020,개똥벌레
true,3046,R2
true,3049,다각형의 대각선
true,3085,사탕 게임
true,3273,두 수의 합
true,3665,최종 순위
true,3896,소수 사이 수열
true,3982,Soccer Bets
true,3986,좋은 단어
true,4195,친구 네트워크
true,4196,도미노
true,4344,평균은 넘겠지
true,4458,첫 글자를 대문자로
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4803,트리
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5063,TGN
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5354,J박스
true,5373,큐빙
true,5532,방학 숙제
true,5543,상근날드
true,5573,산책
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5598,카이사르 암호
true,5618,공약수
true,5622,다이얼
true,5639,이진 검색 트리
true,6236,용돈 관리
true,6497,전력난
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,7795,먹을 것인가 먹힐 것인가
true,8012,한동이는 영업사원!
true,8217,유성
true,8393,합
true,8741,이진수 합
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,8984,막대기
true,9012,괄호
true,9020,골드바흐의 추측
true,9086,문자열
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9250,문자열 집합 판별
true,9328,열쇠
true,9421,소수상근수
true,9470,Strahler 순서
true,9494,Text Roll
true,9498,시험 성적
true,9518,로마 카톨릭 미사
true,9987,포켓몬 마스터
true,9997,폰트
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10093,숫자
true,10172,개
true,10250,ACM 호텔
true,10282,해킹
true,10430,나머지
true,10434,행복한 소수
true,10448,유레카 이론
true,10451,순열 사이클
true,10474,분수좋아해?
true,10527,Judging Troubles
true,10718,We love kriii
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10824,네 수
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10972,다음 순열
true,10973,이전 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11053,가장 긴 증가하는 부분 수열
true,11057,오르막 수
true,11062,카드 게임
true,11265,끝나지 않는 파티
true,11365,!밀비 급일
true,11383,뚊
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11562,백양로 브레이크
true,11652,카드
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11758,CCW
true,11780,플로이드 2
true,12015,가장 긴 증가하는 부분 수열 2
true,12026,BOJ 거리
true,12096,
true,12400,Speaking in Tongues (Small)
true,12738,가장 긴 증가하는 부분 수열 3
true,12778,CTP공국으로 이민 가자
true,12779,상품 is 뭔들
true,12780,원피스
true,12781,PIZZA ALVOLOC
true,12782,비트 우정지수
true,12783,곱셈 게임
true,12785,토쟁이의 등굣길
true,12786,INHA SUIT
true,12787,지금 밥이 문제냐
true,12788,제 2회 IUPC는 잘 개최될 수 있을까?
true,12789,도키도키 간식드리미
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,12921,제한된 메모리
true,13163,닉네임에 갓 붙이기
true,13699,점화식
true,13701,중복 제거
true,13913,숨바꼭질 4
true,14066,Kocka
true,14425,문자열 집합
true,14431,소수마을
true,14443,채점 소수 번호
true,14500,테트로미노
true,14502,연구소
true,14577,일기예보
true,14612,김식당
true,14614,Calculate!
true,14621,나만 안되는 연애
true,14623,감정이입
true,14713,앵무새
true,14728,벼락치기
true,15353,큰 수 A+B (2)
true,15483,최소 편집
true,15487,A[j]-A[i]+A[l]-A[k]
true,15552,빠른 A+B
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15686,치킨 배달
true,15740,A+B - 9
true,15746,Directory Traversal
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15783,세진 바이러스
true,15784,질투진서
true,15785,낙하산
true,15786,Send me the money
true,15787,기차가 어둠을 헤치고 은하수를
true,15788,밸런스 스톤
true,15789,CTP 왕국은 한솔 왕국을 이길 수 있을까?
true,15790,최종병기 활
true,15791,세진이의 미팅
true,15792,A/B - 2
true,15802,타노스
true,15803,PLAYERJINAH’S BOTTLEGROUNDS
true,15813,너의 이름은 몇 점이니?
true,15814,야바위 대장
true,15815,천재 수학자 성필
true,15820,맞았는데 왜 틀리죠?
true,15821,낚이고 낚아라
true,15881,Pen Pineapple Apple Pen
true,16074,Mountaineers
true,16158,회식구호
true,16165,걸그룹 마스터 준석이
true,16166,서울의 지하철
true,16167,A Great Way
true,16168,퍼레이드
true,16169,수행 시간
true,16170,오늘의 날짜는?
true,16171,나는 친구가 적다 (Small)
true,16172,나는 친구가 적다 (Large)
true,16173,점프왕 쩰리 (Small)
true,16174,점프왕 쩰리 (Large)
true,16394,홍익대학교
true,16395,파스칼의 삼각형
true,16396,선 그리기
true,16397,탈출
true,16398,행성 연결
true,16400,소수 화폐
true,16404,주식회사 승범이네
true,16464,가주아
true,16472,고냥이
true,16565,N포커
true,17205,진우의 비밀번호
true,17263,Sort 마스터 배지훈
true,17264,I AM IRONMAN
true,17265,나의 인생에는 수학과 함께
true,17266,어두운 굴다리
true,17274,카드 공장 (Large)
false,1006,습격자 초라기
false,1202,보석 도둑
false,1265,순열
false,1406,에디터
false,1773,폭죽쇼
false,2166,다각형의 면적
false,2196,이진수 XOR
false,2248,이진수 찾기
false,2307,도로검문
false,2455,지능형 기차
false,2493,탑
false,2525,오븐 시계
false,2579,계단 오르기
false,2848,알고스팟어
false,4256,트리
false,4354,문자열 제곱
false,5376,소수를 분수로
false,5427,불
false,6198,옥상 정원 꾸미기
false,9376,탈옥
false,10212,Mystery
false,10255,교차점
false,10747,Censoring
false,10775,공항
false,10945,랜덤 게임~~~
false,11657,타임머신
false,12784,인하니카 공화국
false,13549,숨바꼭질 3
false,13988,비무장 지대
false,14616,Explore space
false,14620,꽃길
false,14622,소수 게임
false,15782,Calculate! 2
false,15806,영우의 기숙사 청소
false,15810,풍선 공장
false,15817,배수 공사
false,15929,The Sprawl
false,16401,과자 나눠주기
false,17267,상남자
