정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1026,보물
true,1028,다이아몬드 광산
true,1029,그림 교환
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1064,평행사변형
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1101,스티커 정리 1
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1120,문자열
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1201,NMK
true,1205,등수 구하기
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1233,주사위
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1252,이진수 덧셈
true,1260,DFS와 BFS
true,1261,알고스팟
true,1269,대칭 차집합
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1298,노트북의 주인을 찾아서
true,1305,광고
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1343,폴리오미노
true,1350,진짜 공간
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1402,아무래도이문제는A번난이도인것같다
true,1405,미친 로봇
true,1406,에디터
true,1418,K-세준수
true,1427,소트인사이드
true,1448,삼각형 만들기
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1485,정사각형
true,1486,등산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1547,공
true,1562,계단 수
true,1563,개근상
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1633,최고의 팀 만들기
true,1644,소수의 연속합
true,1648,격자판 채우기
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1681,줄 세우기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1708,볼록 껍질
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1735,분수 합
true,1744,수 묶기
true,1753,최단경로
true,1758,알바생 강호
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1774,우주신과의 교감
true,1777,순열복원
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1806,부분합
true,1817,짐 챙기는 숌
true,1849,순열
true,1850,최대공약수
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2022,사다리
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2133,타일 채우기
true,2138,전구와 스위치
true,2143,두 배열의 합
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2204,도비의 난독증 테스트
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2240,자두나무
true,2243,사탕상자
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2254,감옥 건설
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2407,조합
true,2417,정수 제곱근
true,2418,단어 격자
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2477,참외밭
true,2480,주사위 세개
true,2490,윷놀이
true,2495,연속구간
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2511,카드놀이
true,2512,예산
true,2529,부등호
true,2535,아시아 정보올림피아드
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2623,음악프로그램
true,2631,줄세우기
true,2644,촌수계산
true,2662,기업투자
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2718,타일 채우기
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2789,유학 금지
true,2792,보석 상자
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2847,게임을 만든 동준이
true,2857,FBI
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2872,우리집엔 도서관이 있어
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2965,캥거루 세마리
true,2997,네 번째 수
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3019,테트리스
true,3020,개똥벌레
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3056,007
true,3057,디버그
true,3474,교수가 된 현우
true,3830,교수님은 기다리지 않는다
true,3878,점 분리
true,3986,좋은 단어
true,4101,크냐?
true,4153,직각삼각형
true,4179,불!
true,4195,친구 네트워크
true,4307,개미
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4641,Doubles
true,4673,셀프 넘버
true,4796,캠핑
true,4883,삼각 그래프
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5052,전화번호 목록
true,5063,TGN
true,5338,마이크로소프트 로고
true,5347,LCM
true,5355,화성 수학
true,5427,불
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5618,공약수
true,5717,상근이의 친구들
true,6086,최대 유량
true,6359,만취한 상범
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6603,로또
true,6850,Cows
true,7287,등록
true,7420,맹독 방벽
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7572,간지(干支)
true,7576,토마토
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8393,합
true,8595,히든 넘버
true,8892,팰린드롬
true,8896,가위 바위 보
true,8907,네온 사인
true,8916,이진 검색 트리
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9023,연습시즌
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9237,이장님 초대
true,9240,로버트 후드
true,9243,파일 완전 삭제
true,9250,문자열 집합 판별
true,9251,LCS
true,9372,상근이의 여행
true,9414,프로그래밍 대회 전용 부지
true,9457,기하학문양
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9471,피사노 주기
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9530,Football
true,9550,아이들은 사탕을 좋아해
true,9613,GCD 합
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9934,완전 이진 트리
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10156,과자
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10214,Baseball
true,10250,ACM 호텔
true,10253,헨리
true,10255,교차점
true,10256,돌연변이
true,10263,Opening Ceremony
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10569,다면체
true,10610,30
true,10718,We love kriii
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10804,카드 역배치
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10824,네 수
true,10828,스택
true,10830,행렬 제곱
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10865,친구 친구
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10886,0 = not cute / 1 = cute
true,10940,BASE16 인코딩
true,10942,팰린드롬?
true,10949,숫자야구
true,10950,A+B - 3
true,10952,A+B - 5
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11000,강의실 배정
true,11003,최솟값 찾기
true,11004,K번째 수
true,11006,남욱이의 닭장
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11399,ATM
true,11402,이항 계수 4
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11408,열혈강호 5
true,11438,LCA 2
true,11497,통나무 건너뛰기
true,11563,연돌이와 고잠녀
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11658,구간 합 구하기 3
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11799,Game of Peace
true,11800,Tawla
