정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1012,유기농 배추
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1065,한수
true,1072,게임
true,1074,Z
true,1102,발전소
true,1149,RGB거리
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1300,K번째 수
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1373,2진수 8진수
true,1377,버블 소트
true,1406,에디터
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1561,놀이 공원
true,1600,말이 되고픈 원숭이
true,1629,곱셈
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1722,순열의 순서
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1799,비숍
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1965,상자넣기
true,1967,트리의 지름
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2004,조합 0의 개수
true,2008,사다리 게임
true,2011,암호코드
true,2022,사다리
true,2042,구간 합 구하기
true,2089,-2진수
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2156,포도주 시식
true,2160,그림 비교
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2225,합분해
true,2234,성곽
true,2252,줄 세우기
true,2263,트리의 순회
true,2290,LCD Test
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2343,기타 레슨
true,2408,큰 수 계산
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2468,안전 영역
true,2480,주사위 세개
true,2490,윷놀이
true,2493,탑
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2526,싸이클
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2587,대표값2
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2632,피자판매
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2792,보석 상자
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2878,캔디캔디
true,2902,KMP는 왜 KMP일까?
true,2916,자와 각도기
true,2933,미네랄
true,2941,크로아티아 알파벳
true,3019,테트리스
true,3020,개똥벌레
true,3046,R2
true,3079,입국심사
true,3111,검열
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3568,iSharp
true,3967,매직 스타
true,4195,친구 네트워크
true,4256,트리
true,4344,평균은 넘겠지
true,4358,생태학
true,4485,녹색 옷 입은 애가 젤다지?
true,4574,스도미노쿠
true,4659,비밀번호 발음하기
true,4811,알약
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5022,연결
true,5052,전화번호 목록
true,5213,과외맨
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5430,AC
true,5446,용량 부족
true,5565,영수증
true,5582,공통 부분 문자열
true,5612,터널의 입구와 출구
true,5670,휴대폰 자판
true,5671,호텔 방 번호
true,6087,레이저 통신
true,6118,숨바꼭질
true,6359,만취한 상범
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,8393,합
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9226,도깨비말
true,9251,LCS
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9613,GCD 합
true,9663,N-Queen
true,9934,완전 이진 트리
true,9935,문자열 폭발
true,10025,게으른 백곰
true,10026,적록색약
true,10039,평균 점수
true,10093,숫자
true,10171,고양이
true,10282,해킹
true,10430,나머지
true,10451,순열 사이클
true,10569,다면체
true,10610,30
true,10656,십자말풀이
true,10708,크리스마스 파티
true,10799,쇠막대기
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11279,최대 힙
true,11328,Strfry
true,11365,!밀비 급일
true,11399,ATM
true,11404,플로이드
true,11504,돌려 돌려 돌림판!
true,11559,Puyo Puyo
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11931,수 정렬하기 4
true,11967,불켜기
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12851,숨바꼭질 2
true,12869,뮤탈리스크
true,12886,돌 그룹
true,12969,ABC
true,12996,Acka
true,13300,방 배정
true,13335,트럭
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,14225,부분수열의 합
true,14238,출근 기록
true,14425,문자열 집합
true,14426,접두사 찾기
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15486,퇴사 2
true,15552,빠른 A+B
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15653,구슬 탈출 4
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15661,링크와 스타트
true,15662,톱니바퀴 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15688,수 정렬하기 5
true,15732,도토리 숨기기
true,16112,5차 전직
true,16113,시그널
true,16137,견우와 직녀
true,16196,중국 신분증 번호
true,16197,두 동전
true,16198,에너지 모으기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16434,드래곤 앤 던전
true,16637,괄호 추가하기
true,16926,배열 돌리기 1
true,16927,배열 돌리기 2
true,16985,Maaaaaaaaaze
true,16987,계란으로 계란치기
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17071,숨바꼭질 5
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17281,⚾
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
false,1504,특정한 최단 경로
false,1786,찾기
false,2261,가장 가까운 두 점
false,10538,빅 픽쳐
