정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1014,컨닝
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1043,거짓말
true,1049,기타줄
true,1058,친구
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1201,NMK
true,1205,등수 구하기
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1219,오민식의 고민
true,1225,이상한 곱셈
true,1238,파티
true,1252,이진수 덧셈
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1269,대칭 차집합
true,1297,TV 크기
true,1309,동물원
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1344,축구
true,1351,무한 수열
true,1357,뒤집힌 덧셈
true,1360,되돌리기
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1546,평균
true,1547,공
true,1550,16진수
true,1561,놀이 공원
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1703,생장점
true,1707,이분 그래프
true,1717,집합의 표현
true,1720,타일 코드
true,1725,히스토그램
true,1726,로봇
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1781,컵라면
true,1786,찾기
true,1806,부분합
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1946,신입 사원
true,1947,선물 전달
true,1949,우수 마을
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2042,구간 합 구하기
true,2064,IP 주소
true,2089,-2진수
true,2096,내려가기
true,2104,부분배열 고르기
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2213,트리의 독립집합
true,2217,로프
true,2225,합분해
true,2238,경매
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2281,데스노트
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2312,수 복원하기
true,2315,가로등 끄기
true,2331,반복수열
true,2342,Dance Dance Revolution
true,2357,최솟값과 최댓값
true,2407,조합
true,2410,2의 멱수의 합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2468,안전 영역
true,2504,괄호의 값
true,2505,두 번 뒤집기
true,2512,예산
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2613,숫자구슬
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2631,줄세우기
true,2632,피자판매
true,2638,치즈
true,2644,촌수계산
true,2651,자동차경주대회
true,2661,좋은수열
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2718,타일 채우기
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2805,나무 자르기
true,2819,상근이의 로봇
true,2830,행성 X3
true,2839,설탕 배달
true,2857,FBI
true,2869,달팽이는 올라가고 싶다
true,2872,우리집엔 도서관이 있어
true,2875,대회 or 인턴
true,2879,코딩은 예쁘게
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2904,수학은 너무 쉬워
true,2908,상수
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2961,도영이가 만든 맛있는 음식
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2999,비밀 이메일
true,3020,개똥벌레
true,3055,탈출
true,3078,좋은 친구
true,3089,네잎 클로버를 찾아서
true,3101,토끼의 이동
true,3111,검열
true,3114,사과와 바나나
true,3176,도로 네트워크
true,3190,뱀
true,3197,백조의 호수
true,3649,로봇 프로젝트
true,3780,네트워크 연결
true,3961,터치스크린 키보드
true,3980,선발 명단
true,4179,불!
true,4195,친구 네트워크
true,4213,그릇 쌓기
true,4307,개미
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5014,스타트링크
true,5022,연결
true,5026,박사 과정
true,5214,환승
true,5397,키로거
true,5430,AC
true,5557,1학년
true,5567,결혼식
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6236,용돈 관리
true,6359,만취한 상범
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7662,이중 우선순위 큐
true,7785,회사에 있는 사람
true,8393,합
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9322,철벽 보안 알고리즘
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9613,GCD 합
true,9663,N-Queen
true,9935,문자열 폭발
true,9938,방 청소
true,9996,한국이 그리울 땐 서버에 접속하지
true,10026,적록색약
true,10164,격자상의 경로
true,10172,개
true,10216,Count Circle Groups
true,10217,KCM Travel
true,10265,MT
true,10273,고대 동굴 탐사
true,10422,괄호
true,10430,나머지
true,10451,순열 사이클
true,10610,30
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10775,공항
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10826,피보나치 수 4
true,10827,a^b
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10972,다음 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11000,강의실 배정
true,11003,최솟값 찾기
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11366,"Tons of Orcs, no Fibbin’"
true,11375,열혈강호
true,11376,열혈강호 2
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11687,팩토리얼 0의 개수
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12744,팬케이크 쌓기
true,12745,Traffic (Small)
true,12746,Traffic (Large)
true,12790,Mini Fantasy War
true,12791,Starman
true,12792,주작 주 주작
true,12793,블록 게임
true,12837,가계부 (Hard)
true,12852,1로 만들기 2
true,13140,Hello World!
true,13171,A
true,13302,리조트
true,13306,트리
true,13325,이진 트리
true,13458,시험 감독
true,13460,구슬 탈출 2
true,14003,가장 긴 증가하는 부분 수열 5
true,14267,내리 칭찬
true,14405,피카츄
true,14440,정수 수열
true,14490,백대열
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14588,Line Friends (Small)
true,14647,준오는 조류혐오야!!
true,14726,신용카드 판별
true,14729,칠무해
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14941,호기심
true,14943,벼룩 시장
true,14948,군대탈출하기
true,15483,최소 편집
true,15552,빠른 A+B
true,15668,방 번호
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15894,수학은 체육과목 입니다
true,15924,욱제는 사과팬이야!!
true,15953,상금 헌터
true,15955,부스터
true,16391,Zebras and Ocelots
true,16472,고냥이
true,16562,친구비
true,16929,Two Dots
true,16964,DFS 스페셜 저지
true,16986,인싸들의 가위바위보
true,16987,계란으로 계란치기
true,17090,미로 탈출하기
true,17129,윌리암슨수액빨이딱따구리가 정보섬에 올라온 이유
true,17130,토끼가 정보섬에 올라온 이유
true,17281,⚾
true,17292,바둑이 포커
true,17490,일감호에 다리 놓기
true,17833,홍익대학교 지하캠퍼스
true,17951,흩날리는 시험지 속에서 내 평점이 느껴진거야
true,18188,다오의 데이트
true,18427,함께 블록 쌓기
false,1057,토너먼트
false,1208,부분수열의 합 2
false,1377,버블 소트
false,1398,동전 문제
false,1797,균형잡힌 줄서기
false,1826,연료 채우기
false,1865,웜홀
false,1941,소문난 칠공주
false,2011,암호코드
false,2352,반도체 설계
false,2470,두 용액
false,2749,피보나치 수 3
false,3653,영화 수집
false,5875,오타
false,6086,최대 유량
false,6549,히스토그램에서 가장 큰 직사각형
false,9426,중앙값 측정
false,10819,차이를 최대로
false,10868,최솟값
