정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1039,교환
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1059,수2
true,1065,한수
true,1068,트리
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1105,팔
true,1110,더하기 사이클
true,1132,합
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1153,네 개의 소수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1244,스위치 켜고 끄기
true,1246,온라인 판매
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1292,쉽게 푸는 문제
true,1296,데이트
true,1302,베스트셀러
true,1303,전쟁 - 전투
true,1343,폴리오미노
true,1350,진짜 공간
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1402,아무래도이문제는A번난이도인것같다
true,1405,미친 로봇
true,1408,24
true,1421,나무꾼 이다솜
true,1427,소트인사이드
true,1443,망가진 계산기
true,1453,피시방 알바
true,1463,1로 만들기
true,1501,영어 읽기
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1522,문자열 교환
true,1543,문서 검색
true,1546,평균
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1568,새
true,1644,소수의 연속합
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1669,멍멍이 쓰다듬기
true,1672,DNA 해독
true,1676,팩토리얼 0의 개수
true,1681,줄 세우기
true,1695,팰린드롬 만들기
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1725,히스토그램
true,1735,분수 합
true,1753,최단경로
true,1755,숫자놀이
true,1764,듣보잡
true,1766,문제집
true,1773,폭죽쇼
true,1789,수들의 합
true,1806,부분합
true,1822,차집합
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1913,달팽이
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1940,주몽
true,1946,신입 사원
true,1951,활자
true,1958,LCS 3
true,1964,"오각형, 오각형, 오각형…"
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2002,추월
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2036,수열의 점수
true,2042,구간 합 구하기
true,2056,작업
true,2075,N번째 큰 수
true,2133,타일 채우기
true,2136,개미
true,2150,Strongly Connected Component
true,2153,소수 단어
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2170,선 긋기
true,2178,미로 탐색
true,2191,들쥐의 탈출
true,2193,이친수
true,2230,수 고르기
true,2231,분해합
true,2258,정육점
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2295,세 수의 합
true,2302,극장 좌석
true,2312,수 복원하기
true,2355,시그마
true,2357,최솟값과 최댓값
true,2358,평행선
true,2399,거리의 합
true,2407,조합
true,2417,정수 제곱근
true,2418,단어 격자
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2435,기상청 인턴 신현수
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2460,지능형 기차 2
true,2468,안전 영역
true,2473,세 용액
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2485,가로수
true,2490,윷놀이
true,2491,수열
true,2493,탑
true,2495,연속구간
true,2501,약수 구하기
true,2506,점수계산
true,2511,카드놀이
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2528,사다리
true,2530,인공지능 시계
true,2531,회전 초밥
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2564,경비원
true,2565,전깃줄
true,2566,최댓값
true,2568,전깃줄 - 2
true,2569,짐정리
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2592,대표값
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2684,동전 게임
true,2685,님비합
true,2688,줄어들지 않아
true,2693,N번째 큰 수
true,2696,중앙값 구하기
true,2711,오타맨 고창영
true,2713,규현이의 사랑을 담은 문자메시지
true,2720,세탁소 사장 동혁
true,2725,보이는 점의 개수
true,2729,이진수 덧셈
true,2737,연속 합
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2756,다트
true,2758,로또
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2780,비밀번호
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2852,NBA 농구
true,2857,FBI
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2877,4와 7
true,2884,알람 시계
true,2896,무알콜 칵테일
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2920,음계
true,2935,소음
true,2942,퍼거슨과 사과
true,2947,나무 조각
true,2953,나는 요리사다
true,2954,창영이의 일기장
true,2959,거북이
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2966,찍기
true,2979,트럭 주차
true,2985,세 수
true,2992,크면서 작은 수
true,2993,세 부분
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3020,개똥벌레
true,3028,창영마을
true,3029,경고
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3049,다각형의 대각선
true,3052,나머지
true,3054,피터팬 프레임
true,3058,짝수를 찾아라
true,3059,등장하지 않는 문자의 합
true,3060,욕심쟁이 돼지
true,3062,수 뒤집기
true,3076,상근이의 체스판
true,3163,떨어지는 개미
true,3221,개미의 이동
true,3226,전화 요금
true,3273,두 수의 합
true,3295,단방향 링크 네트워크
true,3447,버그왕
true,3449,해밍 거리
true,3460,이진수
true,3613,Java vs C++
true,3758,KCPC
true,3943,헤일스톤 수열
true,3985,롤 케이크
true,4095,최대 정사각형
true,4101,크냐?
true,4158,CD
true,4159,알래스카
true,4243,보안 업체
true,4299,AFC 윔블던
true,4307,개미
true,4388,받아올림
true,4458,첫 글자를 대문자로
true,4470,줄번호
true,4504,배수 찾기
true,4539,반올림
true,4564,숫자 카드놀이
true,4597,패리티
true,4706,쌍둥이 역설
true,4766,일반 화학 실험
true,4779,칸토어 집합
true,4781,사탕 가게
true,4796,캠핑
true,4880,다음수
true,4913,페르마의 크리스마스 정리
true,4921,나무 블록
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4998,저금
true,4999,아!
true,5026,박사 과정
true,5032,탄산 음료
true,5063,TGN
true,5086,배수와 약수
true,5176,대회 자리
true,5214,환승
true,5217,쌍의 합
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5354,J박스
true,5361,전투 드로이드 가격
true,5363,요다
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5545,최고의 피자
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5586,JOI와 IOI
true,5613,계산기 프로그램
true,5618,공약수
true,5635,생일
true,5639,이진 검색 트리
true,5692,팩토리얼 진법
true,5698,Tautogram
true,5704,팬그램
true,5717,상근이의 친구들
true,5724,파인만
true,5789,한다 안한다
true,5800,성적 통계
true,5883,아이폰 9S
true,5911,선물
true,6064,카잉 달력
true,6131,완전 제곱수
true,6321,IBM 빼기 1
true,6322,직각 삼각형의 두 변
true,6502,동혁 피자
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6597,트리 복구
true,6603,로또
true,6996,애너그램
true,7287,등록
true,7510,고급 수학
true,7523,Gauß
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7573,고기잡이
true,7575,바이러스
true,7576,토마토
true,7578,공장
true,7662,이중 우선순위 큐
true,7770,아즈텍 피라미드
true,7795,먹을 것인가 먹힐 것인가
true,7806,GCD!
true,8320,직사각형을 만드는 방법
true,8393,합
true,8741,이진수 합
true,8891,점 숫자
true,8892,팰린드롬
true,8895,막대 배치
true,8896,가위 바위 보
true,8933,MCS
true,8958,OX퀴즈
true,8979,올림픽
true,8980,택배
true,8981,입력숫자
true,8983,사냥꾼
true,9019,DSLR
true,9020,골드바흐의 추측
true,9076,점수 집계
true,9081,단어 맞추기
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9093,단어 뒤집기
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9237,이장님 초대
true,9241,바이러스 복제
true,9242,폭탄 해체
true,9243,파일 완전 삭제
true,9251,LCS
true,9252,LCS 2
true,9325,얼마?
true,9358,순열 접기 게임
true,9414,프로그래밍 대회 전용 부지
true,9417,최대 GCD
true,9421,소수상근수
true,9455,박스
true,9461,파도반 수열
true,9463,순열 그래프
true,9464,직사각형 집합
true,9465,스티커
true,9469,폰 노이만
true,9494,Text Roll
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9575,행운의 수
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9660,돌 게임 6
true,9733,꿀벌
true,9742,순열
true,9753,짝 곱
true,9933,민균이의 비밀번호
true,9934,완전 이진 트리
true,9935,문자열 폭발
true,9996,한국이 그리울 땐 서버에 접속하지
true,10026,적록색약
true,10039,평균 점수
true,10041,관광
false,1007,벡터 매칭
false,1015,수열 정렬
false,1019,책 페이지
false,1024,수열의 합
false,1058,친구
false,1063,킹
false,1078,뒤집음
false,1083,소트
false,1208,부분수열의 합 2
false,1247,부호
false,1251,단어 나누기
false,1297,TV 크기
false,1373,2진수 8진수
false,1376,민식우선탐색
false,1424,새 앨범
false,1450,냅색문제
false,1475,방 번호
false,1513,경로 찾기
false,1545,안티 팰린드롬
false,1561,놀이 공원
false,1620,나는야 포켓몬 마스터 이다솜
false,1639,행운의 티켓
false,1652,누울 자리를 찾아라
false,1752,세상에서 제일 착한 다솜
false,1759,암호 만들기
false,1761,정점들의 거리
false,1781,컵라면
false,1912,연속합
false,1929,소수 구하기
false,2250,트리의 높이와 너비
false,2261,가장 가까운 두 점
false,2266,금고 테스트
false,2309,일곱 난쟁이
false,2464,비밀번호
false,2467,용액
false,2470,두 용액
