정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1213,팰린드롬 만들기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1244,스위치 켜고 끄기
true,1251,단어 나누기
true,1260,DFS와 BFS
true,1264,모음의 개수
true,1289,트리의 가중치
true,1300,K번째 수
true,1302,베스트셀러
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1342,행운의 문자열
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1411,비슷한 단어
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1453,피시방 알바
true,1461,도서관
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1551,수열의 변화
true,1568,새
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1668,트로피 진열
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1707,이분 그래프
true,1712,손익분기점
true,1713,후보 추천하기
true,1726,로봇
true,1748,수 이어 쓰기 1
true,1759,암호 만들기
true,1764,듣보잡
true,1773,폭죽쇼
true,1780,종이의 개수
true,1789,수들의 합
true,1799,비숍
true,1818,책정리
true,1838,버블 정렬
true,1874,스택 수열
true,1912,연속합
true,1920,수 찾기
true,1926,그림
true,1931,회의실배정
true,1932,정수 삼각형
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1952,달팽이2
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2014,소수의 곱
true,2021,최소 환승 경로
true,2023,신기한 소수
true,2146,다리 만들기
true,2156,포도주 시식
true,2160,그림 비교
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2179,비슷한 단어
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2231,분해합
true,2232,지뢰
true,2234,성곽
true,2239,스도쿠
true,2251,물통
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2338,긴자리 계산
true,2352,반도체 설계
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2479,경로 찾기
true,2490,윷놀이
true,2493,탑
true,2503,숫자 야구
true,2504,괄호의 값
true,2506,점수계산
true,2512,예산
true,2529,부등호
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2567,색종이 - 2
true,2568,전깃줄 - 2
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2590,색종이
true,2591,숫자카드
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2610,회의준비
true,2615,오목
true,2617,구슬 찾기
true,2628,종이자르기
true,2630,색종이 만들기
true,2631,줄세우기
true,2635,수 이어가기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2659,십자카드 문제
true,2660,회장뽑기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2799,블라인드
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2823,유턴 싫어
true,2828,사과 담기 게임
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2933,미네랄
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2959,거북이
true,2966,찍기
true,2979,트럭 주차
true,2980,도로와 신호등
true,2985,세 수
true,2992,크면서 작은 수
true,2997,네 번째 수
true,3004,체스판 조각
true,3009,네 번째 점
true,3034,앵그리 창영
true,3035,스캐너
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3048,개미
true,3052,나머지
true,3055,탈출
true,3076,상근이의 체스판
true,3085,사탕 게임
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3460,이진수
true,3745,오름세
true,3980,선발 명단
true,3986,좋은 단어
true,4153,직각삼각형
true,4179,불!
true,4198,열차정렬
true,4344,평균은 넘겠지
true,4641,Doubles
true,4673,셀프 넘버
true,4677,Oil Deposits
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4991,로봇 청소기
true,4999,아!
true,5014,스타트링크
true,5032,탄산 음료
true,5063,TGN
true,5086,배수와 약수
true,5212,지구 온난화
true,5214,환승
true,5218,알파벳 거리
true,5397,키로거
true,5427,불
true,5430,AC
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5544,리그
true,5554,심부름 가는 길
true,5565,영수증
true,5566,주사위 게임
true,5567,결혼식
true,5575,타임 카드
true,5576,콘테스트
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5600,품질검사
true,5612,터널의 입구와 출구
true,5622,다이얼
true,5639,이진 검색 트리
true,6087,레이저 통신
true,6124,Good Grass
true,6321,IBM 빼기 1
true,6359,만취한 상범
true,6378,디지털 루트
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,8061,Bitmap
true,8393,합
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9037,The candy war
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9251,LCS
true,9252,LCS 2
true,9324,진짜 메시지
true,9325,얼마?
true,9328,열쇠
true,9372,상근이의 여행
true,9376,탈옥
true,9461,파도반 수열
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9625,BABBA
true,9663,N-Queen
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10040,투표
true,10159,저울
true,10163,색종이
true,10171,고양이
true,10172,개
true,10409,서버
true,10430,나머지
true,10448,유레카 이론
true,10539,수빈이와 수열
true,10569,다면체
true,10610,30
true,10707,수도요금
true,10708,크리스마스 파티
true,10709,기상캐스터
true,10711,모래성
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10825,국영수
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11057,오르막 수
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11559,Puyo Puyo
true,11568,민균이의 계략
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11772,POT
true,11931,수 정렬하기 4
true,11948,과목선택
true,11966,2의 제곱인가?
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12208,Super 2048 (Small)
true,12209,Super 2048 (Large)
true,12738,가장 긴 증가하는 부분 수열 3
true,12761,돌다리
true,12790,Mini Fantasy War
true,12851,숨바꼭질 2
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14467,소가 길을 건너간 이유 1
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14645,와이버스 부릉부릉
true,14652,나는 행복합니다~
true,14681,사분면 고르기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14918,더하기
true,14920,3n+1 수열
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15644,구슬 탈출 3
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15653,구슬 탈출 4
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15688,수 정렬하기 5
true,15740,A+B - 9
true,15873,공백 없는 A+B
true,15969,행복
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16441,아기돼지와 늑대
true,16486,운동장 한 바퀴
true,16499,동일한 단어 그룹화하기
true,16637,괄호 추가하기
true,16947,서울 지하철 2호선
true,16954,움직이는 미로 탈출
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17249,태보태보 총난타
true,17256,달달함이 넘쳐흘러
true,17263,Sort 마스터 배지훈
true,17281,⚾
true,17362,수학은 체육과목 입니다 2
true,17388,와글와글 숭고한
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17826,나의 학점은?
