정답여부,문제번호,문제이름
true,1003,피보나치 함수
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1026,보물
true,1057,토너먼트
true,1062,가르침
true,1063,킹
true,1065,한수
true,1072,게임
true,1074,Z
true,1094,막대기
true,1107,리모컨
true,1113,수영장 만들기
true,1120,문자열
true,1149,RGB거리
true,1181,단어 정렬
true,1182,부분수열의 합
true,1189,컴백홈
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1205,등수 구하기
true,1213,팰린드롬 만들기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1339,단어 수학
true,1347,미로 만들기
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1535,안녕
true,1541,잃어버린 괄호
true,1546,평균
true,1562,계단 수
true,1600,말이 되고픈 원숭이
true,1633,최고의 팀 만들기
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1726,로봇
true,1730,판화
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1793,타일링
true,1799,비숍
true,1806,부분합
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1976,여행 가자
true,1978,소수 찾기
true,1986,체스
true,1987,알파벳
true,1991,트리 순회
true,1996,지뢰 찾기
true,2003,수들의 합 2
true,2012,등수 매기기
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2156,포도주 시식
true,2169,로봇 조종하기
