정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1007,벡터 매칭
true,1008,A/B
true,1012,유기농 배추
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1074,Z
true,1085,직사각형에서 탈출
true,1107,리모컨
true,1128,피보나치 냅색
true,1152,단어의 개수
true,1157,단어 공부
true,1181,단어 정렬
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1220,MEGACITY
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1242,소풍
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1303,전쟁 - 전투
true,1305,광고
true,1330,두 수 비교하기
true,1348,주차장
true,1350,진짜 공간
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1398,동전 문제
true,1405,미친 로봇
true,1420,학교 가지마!
true,1436,영화감독 숌
true,1437,수 분해
true,1450,냅색문제
true,1463,1로 만들기
true,1486,등산
true,1492,합
true,1517,버블 소트
true,1541,잃어버린 괄호
true,1546,평균
true,1572,중앙값
true,1620,나는야 포켓몬 마스터 이다솜
true,1626,두 번째로 작은 스패닝 트리
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1688,지민이의 테러
true,1697,숨바꼭질
true,1701,Cubeditor
true,1708,볼록 껍질
true,1717,집합의 표현
true,1731,추론
true,1733,등번호
true,1753,최단경로
true,1760,N-Rook
true,1761,정점들의 거리
true,1764,듣보잡
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1787,문자열의 주기 예측
true,1799,비숍
true,1835,카드
true,1851,추 정렬하기
true,1874,스택 수열
true,1912,연속합
true,1915,가장 큰 정사각형
true,1920,수 찾기
true,1922,네트워크 연결
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1939,중량제한
true,1963,소수 경로
true,1966,프린터 큐
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2042,구간 합 구하기
true,2055,삼각형 찾기
true,2108,통계학
true,2150,Strongly Connected Component
true,2162,선분 그룹
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2211,네트워크 복구
true,2217,로프
true,2230,수 고르기
true,2231,분해합
true,2261,가장 가까운 두 점
true,2292,벌집
true,2294,동전 2
true,2316,도시 왕복하기 2
true,2322,아령
true,2336,굉장한 학생
true,2357,최솟값과 최댓값
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2464,비밀번호
true,2470,두 용액
true,2472,체인점
true,2473,세 용액
true,2475,검증수
true,2481,해밍 경로
true,2485,가로수
true,2493,탑
true,2495,연속구간
true,2498,중앙문자열
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2531,회전 초밥
true,2532,먹이사슬
true,2533,사회망 서비스(SNS)
true,2535,아시아 정보올림피아드
true,2539,모자이크
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2562,최댓값
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2569,짐정리
true,2570,비숍2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2589,보물섬
true,2593,엘리베이터
true,2606,바이러스
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2613,숫자구슬
true,2623,음악프로그램
true,2630,색종이 만들기
true,2631,줄세우기
true,2638,치즈
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2705,팰린드롬 파티션
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2758,로또
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2820,자동차 공장
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,2969,메뚜기
true,3020,개똥벌레
true,3042,트리플렛
true,3052,나머지
true,3080,아름다운 이름
true,3163,떨어지는 개미
true,3392,화성 지도
true,3408,Non-boring sequences
true,3584,가장 가까운 공통 조상
true,3653,영화 수집
true,3736,System Engineer
true,3758,KCPC
true,3961,터치스크린 키보드
true,4153,직각삼각형
true,4233,가짜소수
true,4243,보안 업체
true,4256,트리
true,4354,문자열 제곱
true,4355,서로소
true,4716,풍선
true,4880,다음수
true,4949,균형잡힌 세상
true,5052,전화번호 목록
true,5214,환승
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5430,AC
true,5463,건포도
true,5480,전함
true,5525,IOIOI
true,5620,가장 가까운 두 점의 거리
true,5719,거의 최단 경로
true,5919,Hay Bales
true,5981,Cow Checkers
true,6064,카잉 달력
true,6086,최대 유량
true,6223,Cow Sorting
true,6497,전력난
true,6603,로또
true,6986,절사평균
true,6987,월드컵
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7574,개구리
true,7576,토마토
true,7577,탐사
true,7578,공장
true,7579,앱
true,7662,이중 우선순위 큐
true,7868,해밍 수열
true,8320,직사각형을 만드는 방법
true,8393,합
true,8741,이진수 합
true,8872,빌라봉
true,8958,OX퀴즈
true,8983,사냥꾼
true,8984,막대기
true,8992,집기 게임
true,9012,괄호
true,9013,Parents
true,9019,DSLR
true,9046,복호화
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9240,로버트 후드
true,9251,LCS
true,9375,패션왕 신해빈
true,9460,메탈
true,9461,파도반 수열
true,9466,텀 프로젝트
true,9498,시험 성적
true,9525,룩 배치하기
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9662,돌 게임 8
true,9663,N-Queen
true,9999,구구
true,10026,적록색약
true,10070,벽
true,10157,자리배정
true,10159,저울
true,10160,암호
true,10166,관중석
true,10167,금광
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10252,그리드 그래프
true,10253,헨리
true,10255,교차점
true,10258,스위치 배열
true,10263,Opening Ceremony
true,10266,시계 사진들
true,10419,지각
true,10655,마라톤 1
true,10744,Cow Hopscotch
true,10773,제로
true,10775,공항
true,10800,컬러볼
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10818,"최소, 최대"
true,10826,피보나치 수 4
true,10828,스택
true,10830,행렬 제곱
true,10837,동전 게임
true,10840,구간 성분
true,10845,큐
true,10864,친구
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10926,??!
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10985,사냥꾼
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11014,컨닝 2
true,11047,동전 0
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11061,Awkward Group
true,11062,카드 게임
true,11066,파일 합치기
true,11067,모노톤길
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11266,단절점
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11400,단절선
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11408,열혈강호 5
true,11437,LCA
true,11438,LCA 2
true,11444,피보나치 수 6
true,11493,동전 교환
true,11495,격자 0 만들기
true,11499,Path
true,11501,주식
true,11502,세 개의 소수 문제
true,11504,돌려 돌려 돌림판!
true,11506,占쏙옙
true,11559,Puyo Puyo
true,11562,백양로 브레이크
true,11585,속타는 저녁 메뉴
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11657,타임머신
true,11658,구간 합 구하기 3
true,11689,"GCD(n, k) = 1"
true,11690,"LCM(1, 2, ..., n)"
true,11720,숫자의 합
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11758,CCW
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,11974,Subsequences Summing to Sevens
true,12015,가장 긴 증가하는 부분 수열 2
true,12096,
true,12101,"1, 2, 3 더하기 2"
true,12771,Oil
true,12781,PIZZA ALVOLOC
true,12792,주작 주 주작
true,12795,반평면 땅따먹기
true,12796,나의 행렬곱셈 답사기
true,12916,K-Path
true,13161,분단의 슬픔
true,13203,읽어내기
true,13263,나무 자르기
true,13268,셔틀런
true,13303,장애물 경기
true,13305,주유소
true,13306,트리
true,13308,주유소
true,13309,트리
true,13311,행운의 편지
true,13325,이진 트리
true,13328,Message Passing
true,13330,유사 팰린드롬
true,13333,Q-인덱스
true,13334,철로
true,13335,트럭
true,13380,Found
true,13430,합 구하기
true,13511,트리와 쿼리 2
true,13537,수열과 쿼리 1
true,13538,XOR 쿼리
true,13547,수열과 쿼리 5
true,13565,침투
true,13698,Hawk eyes
true,13705,Ax+Bsin(x)=C
true,13977,이항 계수와 쿼리
true,14289,본대 산책 3
true,14427,수열과 쿼리 15
true,14428,수열과 쿼리 16
true,14438,수열과 쿼리 17
true,14444,가장 긴 팰린드롬 부분 문자열
true,14464,소가 길을 건너간 이유 4
true,14553,The Way
true,14565,역원(Inverse) 구하기
true,14593,2017 아주대학교 프로그래밍 경시대회 (Large)
true,14595,동방 프로젝트 (Large)
true,14597,Quilting (Large)
true,14601,샤워실 바닥 깔기 (Large)
true,14610,좋은 대회
true,14730,謎紛芥索紀 (Small)
true,14731,謎紛芥索紀 (Large)
true,14746,Closest Pair
true,14748,Flow Graph Complexity
true,14750,Jerry and Tom
true,14751,Leftmost Segment
true,14753,MultiMax
true,14754,Pizza Boxes
true,14786,Ax+Bsin(x)=C ②
true,14867,물통
true,14957,Rectilinear Regions
true,14959,Slot Machines
true,14961,Untangling Chain
true,15552,빠른 A+B
true,15561,구간 합 최대? 2
true,15802,타노스
true,15829,Hashing
true,15900,나무 탈출
true,15905,스텔라(STELLA)가 치킨을 선물했어요
true,15947,아기 석환 뚜루루 뚜루
true,16288,Passport Control
true,16357,Circuits
true,16358,Cosmetic Survey
true,16360,Go Latin
true,16361,LED
true,16362,Parentheses
true,16363,Secret Code
true,16366,Starwars
true,16367,TV Show Game
true,16368,Working Plan
true,16978,수열과 쿼리 22
true,17219,비밀번호 찾기
true,17228,아름다운 만영로
true,17302,흰색으로 만들기
true,17304,변호사들
true,17305,사탕 배달
true,17306,전쟁 중의 삶
true,17365,별다줄
true,17386,선분 교차 1
true,17387,선분 교차 2
true,17424,2xN 타일링과 쿼리
true,17508,6789
true,17509,And the Winner Is... Ourselves!
true,17511,Capital
true,17512,Gosu 2
true,17514,Lexicographically Minimum Walk
true,17515,Maximizer
true,17516,Minimum Diameter Spanning Tree
true,17626,Four Squares
true,18111,마인크래프트
true,18223,민준이와 마산 그리고 건우
true,18227,성대나라의 물탱크
true,18238,ZOAC 2
true,18241,문자열 게임
true,18870,좌표 압축
true,19541,역학 조사
true,19550,빛의 전사 크리퓨어
