정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1057,토너먼트
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1075,나누기
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1120,문자열
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1159,농구 경기
true,1174,줄어드는 숫자
true,1175,배달
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1213,팰린드롬 만들기
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1264,모음의 개수
true,1267,핸드폰 요금
true,1268,임시 반장 정하기
true,1284,집 주소
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1303,전쟁 - 전투
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1339,단어 수학
true,1342,행운의 문자열
true,1347,미로 만들기
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1427,소트인사이드
true,1436,영화감독 숌
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1526,가장 큰 금민수
true,1546,평균
true,1547,공
true,1550,16진수
true,1563,개근상
true,1568,새
true,1592,영식이와 친구들
true,1598,꼬리를 무는 숫자 나열
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1652,누울 자리를 찾아라
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1713,후보 추천하기
true,1717,집합의 표현
true,1726,로봇
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1759,암호 만들기
true,1765,닭싸움 팀 정하기
true,1773,폭죽쇼
true,1789,수들의 합
true,1821,수들의 합
true,1874,스택 수열
true,1904,01타일
true,1913,달팽이
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1932,정수 삼각형
true,1938,통나무 옮기기
true,1941,소문난 칠공주
true,1944,복제 로봇
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2010,플러그
true,2023,신기한 소수
true,2146,다리 만들기
true,2153,소수 단어
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2246,콘도 선정
true,2251,물통
true,2292,벌집
true,2293,동전 1
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2406,안정적인 네트워크
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2455,지능형 기차
true,2468,안전 영역
true,2479,경로 찾기
true,2490,윷놀이
true,2493,탑
true,2503,숫자 야구
true,2504,괄호의 값
true,2527,직사각형
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2615,오목
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2822,점수 계산
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2875,대회 or 인턴
true,2884,알람 시계
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2959,거북이
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2997,네 번째 수
true,2998,8진수
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3034,앵그리 창영
true,3035,스캐너
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3041,N-퍼즐
true,3046,R2
true,3049,다각형의 대각선
true,3052,나머지
true,3054,피터팬 프레임
true,3055,탈출
true,3076,상근이의 체스판
true,3108,로고
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3425,고스택
true,3460,이진수
true,3967,매직 스타
true,3980,선발 명단
true,3985,롤 케이크
true,4153,직각삼각형
true,4179,불!
true,4344,평균은 넘겠지
true,4504,배수 찾기
true,4577,소코반
true,4641,Doubles
true,4658,삼각형 게임
true,4659,비밀번호 발음하기
true,4672,Don't Get Rooked
true,4673,셀프 넘버
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5032,탄산 음료
true,5046,전국 대학생 프로그래밍 대회 동아리 연합
true,5063,TGN
true,5086,배수와 약수
true,5212,지구 온난화
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5465,곰돌이
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5576,콘테스트
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5612,터널의 입구와 출구
true,5618,공약수
true,5622,다이얼
true,6118,숨바꼭질
true,6321,IBM 빼기 1
true,6359,만취한 상범
true,6378,디지털 루트
true,6497,전력난
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,8320,직사각형을 만드는 방법
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,8972,미친 아두이노
true,8974,희주의 수학시험
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9237,이장님 초대
true,9251,LCS
true,9324,진짜 메시지
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9506,약수들의 합
true,9517,아이 러브 크로아티아
true,9546,3000번 버스
true,9550,아이들은 사탕을 좋아해
true,9625,BABBA
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9983,더 푸르게
true,10026,적록색약
true,10039,평균 점수
true,10040,투표
true,10250,ACM 호텔
true,10409,서버
true,10429,QUENTO
true,10430,나머지
true,10448,유레카 이론
true,10539,수빈이와 수열
true,10569,다면체
true,10597,순열장난
true,10707,수도요금
true,10708,크리스마스 파티
true,10709,기상캐스터
true,10711,모래성
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10950,A+B - 3
true,10952,A+B - 5
true,10971,외판원 순회 2
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10989,수 정렬하기 3
true,10998,A×B
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11050,이항 계수 1
true,11052,카드 구매하기
true,11057,오르막 수
true,11278,2-SAT - 2
true,11279,최대 힙
true,11399,ATM
true,11403,경로 찾기
true,11451,팩맨
true,11502,세 개의 소수 문제
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,12100,2048 (Easy)
true,12759,틱! 택! 토!
true,12761,돌다리
true,12790,Mini Fantasy War
true,12851,숨바꼭질 2
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13905,세부
true,13913,숨바꼭질 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14681,사분면 고르기
true,14719,빗물
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15552,빠른 A+B
true,15559,내 선물을 받아줘
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15812,침략자 진아
true,15949,Piet
true,15988,"1, 2, 3 더하기 3"
true,15990,"1, 2, 3 더하기 5"
true,16174,점프왕 쩰리 (Large)
true,16194,카드 구매하기 2
true,16197,두 동전
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16397,탈출
true,16441,아기돼지와 늑대
true,16457,단풍잎 이야기
true,16509,장군
true,16562,친구비
true,16571,알파 틱택토
true,16637,괄호 추가하기
true,16918,봄버맨
true,16920,확장 게임
true,16926,배열 돌리기 1
true,16928,뱀과 사다리 게임
true,16953,A → B
true,16985,Maaaaaaaaaze
true,16986,인싸들의 가위바위보
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,16991,외판원 순회 3
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17071,숨바꼭질 5
true,17130,토끼가 정보섬에 올라온 이유
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17267,상남자
true,17281,⚾
true,17352,여러분의 다리가 되어 드리겠습니다!
true,17363,우유가 넘어지면?
true,17398,통신망 분할
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17492,바둑알 점프
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
true,18116,로봇 조립
true,18188,다오의 데이트
true,18405,경쟁적 전염
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
true,19236,청소년 상어
true,19237,어른 상어
true,19238,스타트 택시
false,1003,피보나치 함수
false,1019,책 페이지
false,1105,팔
false,1117,색칠 1
false,1138,한 줄로 서기
false,1160,Random Number Generator
false,1225,이상한 곱셈
false,1248,맞춰봐
false,1269,대칭 차집합
false,1271,엄청난 부자2
false,1325,효율적인 해킹
false,1350,진짜 공간
false,1517,버블 소트
false,1541,잃어버린 괄호
false,1560,비숍
false,1670,정상 회담 2
false,1699,제곱수의 합
false,1707,이분 그래프
false,1764,듣보잡
false,1788,피보나치 수의 확장
false,1799,비숍
false,1834,나머지와 몫이 같은 수
false,1929,소수 구하기
false,1940,주몽
false,2355,시그마
false,2747,피보나치 수
false,2823,유턴 싫어
false,2869,달팽이는 올라가고 싶다
false,2931,가스관
false,2981,검문
false,4948,베르트랑 공준
false,5624,좋은 수
false,9507,Generations of Tribbles
false,10171,고양이
false,10172,개
false,10825,국영수
false,10951,A+B - 4
false,11051,이항 계수 2
false,11254,Hydraulic Arm
false,11718,그대로 출력하기
false,11719,그대로 출력하기 2
false,12102,종이 접기 2
false,13023,ABCDE
false,13549,숨바꼭질 3
false,16432,떡장수와 호랑이
false,19235,모노미노도미노
