정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1057,토너먼트
true,1062,가르침
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1076,저항
true,1080,행렬
true,1094,막대기
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1162,도로포장
true,1175,배달
true,1181,단어 정렬
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1205,등수 구하기
true,1212,8진수 2진수
true,1219,오민식의 고민
true,1236,성 지키기
true,1238,파티
true,1248,맞춰봐
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1269,대칭 차집합
true,1275,커피숍2
true,1280,나무 심기
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1327,소트 게임
true,1339,단어 수학
true,1342,행운의 문자열
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1431,시리얼 번호
true,1449,수리공 항승
true,1463,1로 만들기
true,1484,다이어트
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1546,평균
true,1551,수열의 변화
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1719,택배
true,1722,순열의 순서
true,1725,히스토그램
true,1726,로봇
true,1735,분수 합
true,1743,음식물 피하기
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1806,부분합
true,1854,K번째 최단경로 찾기
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1949,우수 마을
true,1952,달팽이2
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2001,보석 줍기
true,2003,수들의 합 2
true,2011,암호코드
true,2014,소수의 곱
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2156,포도주 시식
true,2160,그림 비교
true,2161,카드1
true,2164,카드2
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2243,사탕상자
true,2248,이진수 찾기
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2268,수들의 합
true,2291,Sequence
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2343,기타 레슨
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2412,암벽 등반
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2458,키 순서
true,2468,안전 영역
true,2490,윷놀이
true,2501,약수 구하기
true,2512,예산
true,2515,전시장
true,2529,부등호
true,2530,인공지능 시계
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2562,최댓값
true,2565,전깃줄
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2610,회의준비
true,2615,오목
true,2621,카드게임
true,2622,삼각형만들기
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2725,보이는 점의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2789,유학 금지
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2887,행성 터널
true,2908,상수
true,2935,소음
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2980,도로와 신호등
true,2985,세 수
true,3015,오아시스 재결합
true,3020,개똥벌레
true,3041,N-퍼즐
true,3055,탈출
true,3078,좋은 친구
true,3085,사탕 게임
true,3109,빵집
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3649,로봇 프로젝트
true,3653,영화 수집
true,3745,오름세
true,3985,롤 케이크
true,3986,좋은 단어
true,4179,불!
true,4195,친구 네트워크
true,4256,트리
true,4344,평균은 넘겠지
true,4435,중간계 전쟁
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4803,트리
true,4920,테트리스 게임
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5032,탄산 음료
true,5214,환승
true,5397,키로거
true,5427,불
true,5532,방학 숙제
true,5557,1학년
true,5558,チーズ
true,5566,주사위 게임
true,5567,결혼식
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5622,다이얼
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6087,레이저 통신
true,6118,숨바꼭질
true,6129,Obstacle Course
true,6236,용돈 관리
true,6324,URLs
true,6497,전력난
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,6987,월드컵
true,7562,나이트의 이동
true,7569,토마토
true,7573,고기잡이
true,7576,토마토
true,7579,앱
true,7785,회사에 있는 사람
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,8979,올림픽
true,8984,막대기
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9177,단어 섞기
true,9205,맥주 마시면서 걸어가기
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9517,아이 러브 크로아티아
true,9573,Combination Lock
true,9663,N-Queen
true,9872,Record Keeping
true,9873,Cow Baseball
true,9874,Wormholes
true,9881,Ski Course Design
true,9882,Balanced Teams
true,9938,방 청소
true,9993,Mirror Field
true,10024,Reordering the Cows
true,10025,게으른 백곰
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10159,저울
true,10217,KCM Travel
true,10250,ACM 호텔
true,10282,해킹
true,10409,서버
true,10430,나머지
true,10451,순열 사이클
true,10597,순열장난
true,10656,십자말풀이
true,10657,Cow Jog
true,10678,Meeting Time
true,10718,We love kriii
true,10798,세로읽기
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11501,주식
true,11505,구간 곱 구하기
true,11559,Puyo Puyo
true,11562,백양로 브레이크
true,11651,좌표 정렬하기 2
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11944,NN
true,11945,뜨거운 붕어빵
true,11967,불켜기
true,11969,Breed Counting
true,11970,Fence Painting
true,11971,속도 위반
true,11976,Promotion Counting
true,11999,Milk Pails (Bronze)
true,12015,가장 긴 증가하는 부분 수열 2
true,12756,고급 레스토랑
true,12761,돌다리
true,12837,가계부 (Hard)
true,12851,숨바꼭질 2
true,13265,색칠하기
true,13302,리조트
true,13305,주유소
true,13306,트리
true,13414,수강신청
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13565,침투
true,13907,세금
true,13913,숨바꼭질 4
true,14174,Block Game
true,14175,The Cow-Signal
true,14226,이모티콘
true,14442,벽 부수고 이동하기 2
true,14455,Don't Be Last!
true,14456,"Hoof, Paper, Scissors (Bronze)"
true,14467,소가 길을 건너간 이유 1
true,14469,소가 길을 건너간 이유 3
true,14489,치킨 두 마리 (...)
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14581,팬들에게 둘러싸인 홍준
true,14620,꽃길
true,14656,조교는 새디스트야!!
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14923,미로 탈출
true,15351,인생 점수
true,15463,Blocked Billboard
true,15465,Milk Measurement
true,15486,퇴사 2
true,15558,점프 게임
true,15559,내 선물을 받아줘
true,15593,Lifeguards (Bronze)
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15751,Teleportation
true,15781,헬멧과 조끼
true,15784,질투진서
true,15786,Send me the money
true,16112,5차 전직
true,16113,시그널
true,16114,화살표 연산자
true,16137,견우와 직녀
true,16197,두 동전
true,16198,에너지 모으기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16429,2018 빼빼로 데이 이벤트 겸 스타트링크 홍보
true,16431,베시와 데이지
true,16433,주디와 당근농장
true,16434,드래곤 앤 던전
true,16435,스네이크버드
true,16437,양 구출 작전
true,16441,아기돼지와 늑대
true,16460,Cupid
true,16462,'나교수' 교수님의 악필
true,16466,콘서트
true,16469,소년 점프
true,16506,CPU
true,16562,친구비
true,16681,등산
true,16755,Magnus
false,1572,중앙값
false,1620,나는야 포켓몬 마스터 이다솜
false,2146,다리 만들기
false,2869,달팽이는 올라가고 싶다
false,3079,입국심사
false,5052,전화번호 목록
false,11657,타임머신
false,16196,중국 신분증 번호
