정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1053,팰린드롬 공장
true,1058,친구
true,1065,한수
true,1068,트리
true,1074,Z
true,1076,저항
true,1080,행렬
true,1082,방 번호
true,1085,직사각형에서 탈출
true,1086,박성원
true,1099,알 수 없는 문장
true,1102,발전소
true,1110,더하기 사이클
true,1114,통나무 자르기
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1199,오일러 회로
true,1201,NMK
true,1208,부분수열의 합 2
true,1237,정ㅋ벅ㅋ
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1289,트리의 가중치
true,1309,동물원
true,1316,그룹 단어 체커
true,1322,X와 K
true,1328,고층 빌딩
true,1357,뒤집힌 덧셈
true,1410,패턴의 개수
true,1413,박스 안의 열쇠
true,1427,소트인사이드
true,1463,1로 만들기
true,1475,방 번호
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1562,계단 수
true,1563,개근상
true,1629,곱셈
true,1654,랜선 자르기
true,1660,캡틴 이다솜
true,1670,정상 회담 2
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1717,집합의 표현
true,1720,타일 코드
true,1727,커플 만들기
true,1744,수 묶기
true,1753,최단경로
true,1761,정점들의 거리
true,1766,문제집
true,1777,순열복원
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1874,스택 수열
true,1876,튕기는 볼링공
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1949,우수 마을
true,1958,LCS 3
true,1965,상자넣기
true,1967,트리의 지름
true,1970,건배
true,1976,여행 가자
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2011,암호코드
true,2038,골롱 수열
true,2042,구간 합 구하기
true,2079,팰린드롬
true,2096,내려가기
true,2097,조약돌
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2132,나무 위의 벌레
true,2156,포도주 시식
true,2157,여행
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2213,트리의 독립집합
true,2217,로프
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2262,토너먼트 만들기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2358,평행선
true,2407,조합
true,2410,2의 멱수의 합
true,2420,사파리월드
true,2428,표절
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2482,색상환
true,2512,예산
true,2529,부등호
true,2533,사회망 서비스(SNS)
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2560,짚신벌레
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2618,경찰차
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2647,검은점과 하얀점 연결
true,2662,기업투자
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2676,라스칼 삼각형
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2777,숫자 놀이
true,2805,나무 자르기
true,2835,인기도 조사
true,2836,수상 택시
true,2839,설탕 배달
true,2854,문제 출제
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2877,4와 7
true,2908,상수
true,2920,음계
true,2921,도미노
true,2934,LRH 식물
true,2941,크로아티아 알파벳
true,2965,캥거루 세마리
true,3009,네 번째 점
true,3012,올바른 괄호 문자열
true,3020,개똥벌레
true,3046,R2
true,3049,다각형의 대각선
true,3053,택시 기하학
true,3060,욕심쟁이 돼지
true,3067,Coins
true,3079,입국심사
true,3114,사과와 바나나
true,3163,떨어지는 개미
true,3176,도로 네트워크
true,3254,김밥 21개
true,3430,용이 산다
true,3653,영화 수집
true,3687,성냥개비
true,3745,오름세
true,3758,KCPC
true,3943,헤일스톤 수열
true,3944,나머지 계산
true,4195,친구 네트워크
true,4198,열차정렬
true,4256,트리
true,4344,평균은 넘겠지
true,4592,중복을 없애자
true,4673,셀프 넘버
true,4781,사탕 가게
true,4883,삼각 그래프
true,4921,나무 블록
true,4948,베르트랑 공준
true,5054,주차의 신
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5361,전투 드로이드 가격
true,5419,북서풍
true,5527,전구 장식
true,5535,패셔니스타
true,5557,1학년
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5622,다이얼
true,5635,생일
true,5639,이진 검색 트리
true,5691,평균 중앙값 문제
true,5721,사탕 줍기 대회
true,5724,파인만
true,5789,한다 안한다
true,5800,성적 통계
true,5904,Moo 게임
true,6064,카잉 달력
true,6322,직각 삼각형의 두 변
true,6359,만취한 상범
true,6362,Unimodal Palindromic Decompositions
true,7154,Job Postings
true,7287,등록
true,7579,앱
true,7812,중앙 트리
true,8393,합
true,8741,이진수 합
true,8958,OX퀴즈
true,8983,사냥꾼
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9237,이장님 초대
true,9251,LCS
true,9252,LCS 2
true,9370,미확인 도착지
true,9455,박스
true,9461,파도반 수열
true,9463,순열 그래프
true,9465,스티커
true,9489,사촌
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9663,N-Queen
true,9764,서로 다른 자연수의 합
true,9935,문자열 폭발
true,9938,방 청소
true,9999,구구
true,10039,평균 점수
true,10040,투표
true,10090,Counting Inversions
true,10164,격자상의 경로
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10178,할로윈의 사탕
true,10244,최대공약수들
true,10250,ACM 호텔
true,10252,그리드 그래프
true,10430,나머지
true,10610,30
true,10653,마라톤 2
true,10655,마라톤 1
true,10699,오늘 날짜
true,10718,We love kriii
true,10768,특별한 날
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10801,카드게임
true,10803,정사각형 만들기
true,10804,카드 역배치
true,10805,L 모양의 종이 자르기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10823,더하기 2
true,10824,네 수
true,10828,스택
true,10829,이진수 변환
true,10830,행렬 제곱
true,10835,카드게임
true,10841,매트
true,10844,쉬운 계단 수
true,10845,큐
true,10864,친구
true,10865,친구 친구
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10942,팰린드롬?
true,10951,A+B - 4
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10986,나머지 합
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10996,별 찍기 - 21
true,10998,A×B
true,11003,최솟값 찾기
true,11004,K번째 수
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11437,LCA
true,11438,LCA 2
true,11502,세 개의 소수 문제
true,11506,占쏙옙
true,11570,환상의 듀엣
true,11575,Affine Cipher
true,11581,구호물자
true,11586,지영 공주님의 마법 거울
true,11650,좌표 정렬하기
true,11653,소인수분해
true,11654,아스키 코드
true,11674,Identifying Map Tiles
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11815,짝수? 홀수?
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11948,과목선택
true,11951,JOI国のお散歩事情
true,11966,2의 제곱인가?
true,12025,장난꾸러기 영훈
true,12101,"1, 2, 3 더하기 2"
true,12847,꿀 아르바이트
true,13140,Hello World!
true,13160,최대 클리크 구하기
true,13170,떨어진 수정
true,13241,최소공배수
true,13300,방 배정
true,13301,타일 장식물
true,13302,리조트
true,13325,이진 트리
true,13333,Q-인덱스
true,13334,철로
true,13398,연속합 2
true,13702,이상한 술집
true,13707,합분해 2
true,13900,순서쌍의 곱의 합
true,14579,덧셈과 곱셈
true,14675,단절점과 단절선
true,14677,병약한 윤호
true,14754,Pizza Boxes
true,14786,Ax+Bsin(x)=C ②
true,14864,줄서기
true,14917,빼빼로 데이 2017
true,15486,퇴사 2
true,15562,네트워크
false,1005,ACM Craft
false,1013,Contact
false,1028,다이아몬드 광산
false,1128,피보나치 냅색
false,1162,도로포장
false,1197,최소 스패닝 트리
false,1339,단어 수학
false,1655,가운데를 말해요
false,1671,상어의 저녁식사
false,1708,볼록 껍질
false,1725,히스토그램
false,1914,하노이 탑
false,1956,운동
false,2166,다각형의 면적
false,2295,세 수의 합
false,2668,숫자고르기
false,2803,내가 어렸을 때 가지고 놀던 장난감
false,4384,공평하게 팀 나누기
false,4782,분수 뺄셈
false,5430,AC
false,7476,최대 공통 증가 수열
false,9328,열쇠
false,9426,중앙값 측정
false,9658,돌 게임 4
false,10253,헨리
false,10775,공항
false,10827,a^b
false,11055,가장 큰 증가 부분 수열
false,11722,가장 긴 감소하는 부분 수열
false,13062,2016 KBO 한국시리즈 우승팀
false,14679,영우와 ‘갓4’
