정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1043,거짓말
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1058,친구
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1202,보석 도둑
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1244,스위치 켜고 끄기
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1422,숫자의 신
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1550,16진수
true,1562,계단 수
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1826,연료 채우기
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1944,복제 로봇
true,1946,신입 사원
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2096,내려가기
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2229,조 짜기
true,2231,분해합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2352,반도체 설계
true,2355,시그마
true,2410,2의 멱수의 합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2468,안전 영역
true,2475,검증수
true,2485,가로수
true,2490,윷놀이
true,2503,숫자 야구
true,2504,괄호의 값
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2631,줄세우기
true,2644,촌수계산
true,2661,좋은수열
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2858,기숙사 바닥
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2917,늑대 사냥꾼
true,2920,음계
true,2934,LRH 식물
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2966,찍기
true,2981,검문
true,3036,링
true,3046,R2
true,3047,ABC
true,3053,택시 기하학
true,3085,사탕 게임
true,3190,뱀
true,4153,직각삼각형
true,4307,개미
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5014,스타트링크
true,5213,과외맨
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5430,AC
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5585,거스름돈
true,5622,다이얼
true,6064,카잉 달력
true,6118,숨바꼭질
true,6359,만취한 상범
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,8393,합
true,8595,히든 넘버
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9085,더하기
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9576,책 나눠주기
true,9663,N-Queen
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10163,색종이
true,10172,개
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10253,헨리
true,10263,Opening Ceremony
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10610,30
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10797,10부제
true,10799,쇠막대기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10984,내 학점을 구해줘
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11505,구간 곱 구하기
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11866,요세푸스 문제 0
true,11942,고려대는 사랑입니다
true,12851,숨바꼭질 2
true,13241,최소공배수
true,13305,주유소
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13565,침투
true,13913,숨바꼭질 4
true,14490,백대열
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14592,2017 아주대학교 프로그래밍 경시대회 (Small)
true,14593,2017 아주대학교 프로그래밍 경시대회 (Large)
true,14594,동방 프로젝트 (Small)
true,14595,동방 프로젝트 (Large)
true,14600,샤워실 바닥 깔기 (Small)
true,14601,샤워실 바닥 깔기 (Large)
true,14610,좋은 대회
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15318,새로운 수열
true,15319,동혁이의 생일선물
true,15321,이상한 토너먼트
true,15483,최소 편집
true,15552,빠른 A+B
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15802,타노스
true,15818,오버플로우와 모듈러
true,15819,너의 핸들은
true,15820,맞았는데 왜 틀리죠?
true,15821,낚이고 낚아라
true,15824,너 봄에는 캡사이신이 맛있단다
true,15829,Hashing
true,15905,스텔라(STELLA)가 치킨을 선물했어요
true,15906,변신 이동 게임
true,15907,Acka의 리듬 세상
true,15912,우주선 만들기
true,15913,가위 바위 보 999
true,15953,상금 헌터
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16397,탈출
true,16561,3의 배수
true,16637,괄호 추가하기
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17144,미세먼지 안녕!
true,17173,배수들의 합
true,17224,APC는 왜 서브태스크 대회가 되었을까?
true,17225,세훈이의 선물가게
true,17245,서버실
true,17255,N으로 만들기
true,17281,⚾
true,17300,패턴
true,17301,NC 문자열
true,17305,사탕 배달
true,17307,색깔 통일하기
true,17349,1루수가 누구야
true,17350,2루수 이름이 뭐야
true,17406,배열 돌리기 4
true,17419,비트가 넘쳐흘러
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17825,주사위 윷놀이
true,17837,새로운 게임 2
true,18247,겨울왕국 티켓 예매
true,18248,제야의 종
true,18249,욱제가 풀어야 하는 문제
false,17228,아름다운 만영로
