정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1032,명령 프롬프트
true,1039,교환
true,1051,숫자 정사각형
true,1062,가르침
true,1065,한수
true,1068,트리
true,1074,Z
true,1080,행렬
true,1086,박성원
true,1092,배
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1126,같은 탑
true,1135,뉴스 전하기
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1162,도로포장
true,1175,배달
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1201,NMK
true,1208,부분수열의 합 2
true,1219,오민식의 고민
true,1225,이상한 곱셈
true,1238,파티
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1285,동전 뒤집기
true,1300,K번째 수
true,1309,동물원
true,1312,소수
true,1325,효율적인 해킹
true,1327,소트 게임
true,1328,고층 빌딩
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1420,학교 가지마!
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1527,금민수의 개수
true,1528,금민수의 합
true,1535,안녕
true,1541,잃어버린 괄호
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1629,곱셈
true,1647,도시 분할 계획
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1720,타일 코드
true,1722,순열의 순서
true,1725,히스토그램
true,1726,로봇
true,1743,음식물 피하기
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1789,수들의 합
true,1793,타일링
true,1796,신기한 키보드
true,1799,비숍
true,1806,부분합
true,1816,암호 키
true,1826,연료 채우기
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1867,돌멩이 제거
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1922,네트워크 연결
true,1924,2007년
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1969,DNA
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2014,소수의 곱
true,2022,사다리
true,2042,구간 합 구하기
true,2056,작업
true,2092,집합의 개수
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2157,여행
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2172,팰린드롬 경로
true,2176,합리적인 이동경로
true,2178,미로 탐색
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2240,자두나무
true,2248,이진수 찾기
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2262,토너먼트 만들기
true,2263,트리의 순회
true,2266,금고 테스트
true,2281,데스노트
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2315,가로등 끄기
true,2320,끝말잇기
true,2342,Dance Dance Revolution
true,2343,기타 레슨
true,2344,거울
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2381,최대 거리
true,2411,아이템 먹기
true,2437,저울
true,2447,별 찍기 - 10
true,2468,안전 영역
true,2482,색상환
true,2485,가로수
true,2490,윷놀이
true,2503,숫자 야구
true,2512,예산
true,2529,부등호
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2563,색종이
true,2565,전깃줄
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2610,회의준비
true,2615,오목
true,2616,소형기관차
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2631,줄세우기
true,2636,치즈
true,2637,장난감조립
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2676,라스칼 삼각형
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2705,팰린드롬 파티션
true,2738,행렬 덧셈
true,2740,행렬 곱셈
true,2741,N 찍기
true,2743,단어 길이 재기
true,2745,진법 변환
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2842,집배원 한상덕
true,2851,슈퍼 마리오
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2879,코딩은 예쁘게
true,2884,알람 시계
true,2935,소음
true,2942,퍼거슨과 사과
true,2959,거북이
true,2960,에라토스테네스의 체
true,3015,오아시스 재결합
true,3034,앵그리 창영
true,3053,택시 기하학
true,3055,탈출
true,3085,사탕 게임
true,3109,빵집
true,3295,단방향 링크 네트워크
true,3640,제독
true,3665,최종 순위
true,3745,오름세
true,3943,헤일스톤 수열
true,4095,최대 정사각형
true,4195,친구 네트워크
true,4233,가짜소수
true,4307,개미
true,4327,Combination Lock
true,4343,Arctic Network
true,4485,녹색 옷 입은 애가 젤다지?
true,4796,캠핑
true,4803,트리
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4989,Traveling by Stagecoach
true,4994,배수 찾기
true,5014,스타트링크
true,5015,ls
true,5063,TGN
true,5427,불
true,5502,팰린드롬
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5618,공약수
true,5624,좋은 수
true,5692,팩토리얼 진법
true,5719,거의 최단 경로
true,5721,사탕 줍기 대회
true,6137,문자열 생성
true,6156,Cow Contest
true,6168,Dining Cows
true,6195,Fence Repair
true,6197,Roadblocks
true,6233,Face The Right Way
true,6235,Argus
true,6236,용돈 관리
true,6241,Dining
true,6359,만취한 상범
true,6443,애너그램
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6597,트리 복구
true,6603,로또
true,6996,애너그램
true,7562,나이트의 이동
true,7563,Rat Attack
true,7568,덩치
true,7571,점 모으기
true,7576,토마토
true,7579,앱
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8895,막대 배치
true,8974,희주의 수학시험
true,8979,올림픽
true,8986,전봇대
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9023,연습시즌
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9177,단어 섞기
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9470,Strahler 순서
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9525,룩 배치하기
true,9550,아이들은 사탕을 좋아해
true,9576,책 나눠주기
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,9935,문자열 폭발
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10158,개미
true,10159,저울
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10172,개
true,10217,KCM Travel
true,10424,알고리즘 기말고사
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10453,문자열 변환
true,10610,30
true,10653,마라톤 2
true,10707,수도요금
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10817,세 수
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10828,스택
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10937,두부 모판 자르기
true,10942,팰린드롬?
true,10943,랜덤 게임~
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11375,열혈강호
true,11377,열혈강호 3
true,11399,ATM
true,11401,이항 계수 3
true,11402,이항 계수 4
true,11403,경로 찾기
true,11405,책 구매하기
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11437,LCA
true,11438,LCA 2
true,11451,팩맨
true,11478,서로 다른 부분 문자열의 개수
true,11495,격자 0 만들기
true,11497,통나무 건너뛰기
true,11504,돌려 돌려 돌림판!
true,11564,점프왕 최준민
true,11565,바이너리 게임
true,11566,킥
true,11568,민균이의 계략
true,11583,인경호의 징검다리
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11779,최소비용 구하기 2
true,12015,가장 긴 증가하는 부분 수열 2
true,12759,틱! 택! 토!
true,12761,돌다리
true,12767,Ceiling Function
true,12790,Mini Fantasy War
true,12791,Starman
true,13161,분단의 슬픔
true,13399,Rearranging a Sequence
true,14500,테트로미노
true,14612,김식당
true,14613,너의 티어는?
true,14614,Calculate!
true,14623,감정이입
false,1014,컨닝
false,1016,제곱 ㄴㄴ 수
false,1038,감소하는 수
false,1167,트리의 지름
false,1209,단조수열 만들기
false,1212,8진수 2진수
false,1339,단어 수학
false,1450,냅색문제
false,1532,동전 교환
false,1633,최고의 팀 만들기
false,1671,상어의 저녁식사
false,1693,트리 색칠하기
false,1701,Cubeditor
false,1848,동굴 탐험
false,1941,소문난 칠공주
false,1947,선물 전달
false,1967,트리의 지름
false,1976,여행 가자
false,2003,수들의 합 2
false,2011,암호코드
false,2044,windows
false,2136,개미
false,2143,두 배열의 합
false,2146,다리 만들기
false,2261,가장 가까운 두 점
false,2316,도시 왕복하기 2
false,2329,장애물 설계
false,2363,약수부분수열
false,2407,조합
false,2410,2의 멱수의 합
false,2448,별 찍기 - 11
false,2451,모둠
false,2467,용액
false,2494,숫자 맞추기
false,2532,먹이사슬
false,2549,루빅의 사각형
false,2572,보드게임
false,2574,마법색종이
false,2583,영역 구하기
false,2584,트리분할
false,2608,로마 숫자
false,2618,경찰차
false,2632,피자판매
false,2638,치즈
false,2725,보이는 점의 개수
false,2840,행운의 바퀴
false,2987,사과나무
false,2995,생일
false,3012,올바른 괄호 문자열
false,3111,검열
false,3649,로봇 프로젝트
