정답여부,문제번호,문제이름
true,1000,A+B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1007,벡터 매칭
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1035,조각 움직이기
true,1038,감소하는 수
true,1039,교환
true,1043,거짓말
true,1062,가르침
true,1068,트리
true,1072,게임
true,1074,Z
true,1085,직사각형에서 탈출
true,1102,발전소
true,1103,게임
true,1106,호텔
true,1107,리모컨
true,1114,통나무 자르기
true,1138,한 줄로 서기
true,1149,RGB거리
true,1158,요세푸스 문제
true,1162,도로포장
true,1166,선물
true,1167,트리의 지름
true,1174,줄어드는 숫자
true,1181,단어 정렬
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1238,파티
true,1244,스위치 켜고 끄기
true,1256,사전
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1270,전쟁 - 땅따먹기
true,1273,샷
true,1275,커피숍2
true,1285,동전 뒤집기
true,1300,K번째 수
true,1306,달려라 홍준
true,1321,군인
true,1325,효율적인 해킹
true,1339,단어 수학
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1398,동전 문제
true,1405,미친 로봇
true,1446,지름길
true,1456,거의 소수
true,1463,1로 만들기
true,1473,미로 탈출
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1484,다이어트
true,1495,기타리스트
true,1503,세 수 고르기
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1522,문자열 교환
true,1535,안녕
true,1541,잃어버린 괄호
true,1562,계단 수
true,1572,중앙값
true,1590,캠프가는 영식
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1615,교차개수세기
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1633,최고의 팀 만들기
true,1640,동전 뒤집기
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1689,겹치는 선분
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1713,후보 추천하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1735,분수 합
true,1747,소수&팰린드롬
true,1753,최단경로
true,1756,피자 굽기
true,1757,달려달려
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1777,순열복원
true,1780,종이의 개수
true,1786,찾기
true,1793,타일링
true,1799,비숍
true,1806,부분합
true,1837,암호제작
true,1843,방정식
true,1849,순열
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1893,시저 암호
true,1904,01타일
true,1911,흙길 보수하기
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1933,스카이라인
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2014,소수의 곱
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2056,작업
true,2086,피보나치 수의 합
true,2091,동전
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2137,가장 가까운 분수
true,2143,두 배열의 합
true,2156,포도주 시식
true,2164,카드2
true,2166,다각형의 면적
true,2170,선 긋기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2228,구간 나누기
true,2230,수 고르기
true,2239,스도쿠
true,2243,사탕상자
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2268,수들의 합
true,2293,동전 1
true,2294,동전 2
true,2295,세 수의 합
true,2307,도로검문
true,2342,Dance Dance Revolution
true,2343,기타 레슨
true,2407,조합
true,2448,별 찍기 - 11
true,2449,전구
true,2457,공주님의 정원
true,2458,키 순서
true,2467,용액
true,2470,두 용액
true,2473,세 용액
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2529,부등호
true,2531,회전 초밥
true,2533,사회망 서비스(SNS)
true,2559,수열
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2589,보물섬
true,2594,놀이공원
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2631,줄세우기
true,2638,치즈
true,2662,기업투자
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2672,여러 직사각형의 전체 면적 구하기
true,2725,보이는 점의 개수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2776,암기왕
true,2783,삼각 김밥
true,2792,보석 상자
true,2798,블랙잭
true,2800,괄호 제거
true,2805,나무 자르기
true,2820,자동차 공장
true,2824,최대공약수
true,2830,행성 X3
true,2836,수상 택시
true,2842,집배원 한상덕
true,2866,문자열 잘라내기
true,2887,행성 터널
true,2904,수학은 너무 쉬워
true,2960,에라토스테네스의 체
true,3020,개똥벌레
true,3055,탈출
true,3078,좋은 친구
true,3079,입국심사
true,3182,한동이는 공부가 하기 싫어!
true,3190,뱀
true,3425,고스택
true,3745,오름세
true,3770,대한민국
true,3780,네트워크 연결
true,3830,교수님은 기다리지 않는다
true,3955,캔디 분배
true,3986,좋은 단어
true,4179,불!
true,4355,서로소
true,4358,생태학
true,4375,1
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4803,트리
true,4889,안정적인 문자열
true,4949,균형잡힌 세상
true,5014,스타트링크
true,5052,전화번호 목록
true,5376,소수를 분수로
true,5397,키로거
true,5419,북서풍
true,5427,불
true,5430,AC
true,5525,IOIOI
true,5536,물고기의 서식 범위
true,5557,1학년
true,5568,카드 놓기
true,5582,공통 부분 문자열
true,5620,가장 가까운 두 점의 거리
true,5626,제단
true,5639,이진 검색 트리
true,5874,소를 찾아라
true,5972,택배 배송
true,6064,카잉 달력
true,6416,트리인가?
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,7453,합이 0인 네 정수
true,7569,토마토
true,7571,점 모으기
