정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1019,책 페이지
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1041,주사위
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1102,발전소
true,1105,팔
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1246,온라인 판매
true,1251,단어 나누기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1263,시간 관리
true,1269,대칭 차집합
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1342,행운의 문자열
true,1343,폴리오미노
true,1350,진짜 공간
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1402,아무래도이문제는A번난이도인것같다
true,1405,미친 로봇
true,1406,에디터
true,1408,24
true,1427,소트인사이드
true,1436,영화감독 숌
true,1440,타임머신
true,1448,삼각형 만들기
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1526,가장 큰 금민수
true,1527,금민수의 개수
true,1535,안녕
true,1543,문서 검색
true,1546,평균
true,1550,16진수
true,1551,수열의 변화
true,1563,개근상
true,1568,새
true,1605,반복 부분문자열
true,1613,역사
true,1614,영식이의 손가락
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1662,압축
true,1670,정상 회담 2
true,1676,팩토리얼 0의 개수
true,1689,겹치는 선분
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1708,볼록 껍질
true,1717,집합의 표현
true,1731,추론
true,1735,분수 합
true,1740,거듭제곱
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1796,신기한 키보드
true,1799,비숍
true,1806,부분합
true,1818,책정리
true,1822,차집합
true,1834,나머지와 몫이 같은 수
true,1865,웜홀
true,1908,곱셈 전개식
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1925,삼각형
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1947,선물 전달
true,1948,임계경로
true,1956,운동
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1966,프린터 큐
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2015,수들의 합 4
true,2033,반올림
true,2042,구간 합 구하기
true,2056,작업
true,2057,팩토리얼 분해
true,2078,무한이진트리
true,2079,팰린드롬
true,2096,내려가기
true,2103,직교다각형 복원
true,2108,통계학
true,2109,순회강연
true,2110,공유기 설치
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2159,케익 배달
true,2160,그림 비교
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2169,로봇 조종하기
true,2170,선 긋기
true,2178,미로 탐색
true,2185,직사각형의 합집합
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2217,로프
true,2230,수 고르기
true,2246,콘도 선정
true,2252,줄 세우기
true,2257,화학식량
true,2261,가장 가까운 두 점
true,2262,토너먼트 만들기
true,2285,우체국
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2331,반복수열
true,2342,Dance Dance Revolution
true,2355,시그마
true,2357,최솟값과 최댓값
true,2358,평행선
true,2399,거리의 합
true,2407,조합
true,2410,2의 멱수의 합
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2435,기상청 인턴 신현수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2468,안전 영역
true,2475,검증수
true,2480,주사위 세개
true,2490,윷놀이
true,2495,연속구간
true,2501,약수 구하기
true,2506,점수계산
true,2511,카드놀이
true,2512,예산
true,2513,통학버스
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2530,인공지능 시계
true,2531,회전 초밥
true,2547,사탕 선생 고창영
true,2553,마지막 팩토리얼 수
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2567,색종이 - 2
true,2568,전깃줄 - 2
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2592,대표값
true,2596,비밀편지
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2636,치즈
true,2638,치즈
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2702,초6 수학
true,2711,오타맨 고창영
true,2718,타일 채우기
true,2720,세탁소 사장 동혁
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2755,이번학기 평점은 몇점?
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2777,숫자 놀이
true,2780,비밀번호
true,2805,나무 자르기
true,2816,디지털 티비
true,2822,점수 계산
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2854,문제 출제
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2879,코딩은 예쁘게
true,2884,알람 시계
true,2896,무알콜 칵테일
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2929,머신 코드
true,2953,나는 요리사다
true,2959,거북이
true,2965,캥거루 세마리
true,2997,네 번째 수
true,2999,비밀 이메일
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3018,캠프파이어
true,3019,테트리스
true,3020,개똥벌레
true,3023,마술사 이민혁
true,3028,창영마을
true,3029,경고
true,3033,가장 긴 문자열
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3049,다각형의 대각선
true,3052,나머지
true,3054,피터팬 프레임
true,3055,탈출
true,3058,짝수를 찾아라
true,3059,등장하지 않는 문자의 합
true,3060,욕심쟁이 돼지
true,3061,사다리
true,3076,상근이의 체스판
true,3095,플러스의 개수
true,3164,패턴
true,3167,기차표 검사
true,3213,피자
true,3226,전화 요금
true,3273,두 수의 합
true,3392,화성 지도
true,3449,해밍 거리
true,3495,아스키 도형
true,3758,KCPC
true,3943,헤일스톤 수열
true,3955,캔디 분배
true,4084,Viva la Diferencia
true,4101,크냐?
true,4134,다음 소수
true,4195,친구 네트워크
true,4299,AFC 윔블던
true,4307,개미
true,4358,생태학
true,4388,받아올림
true,4458,첫 글자를 대문자로
true,4470,줄번호
true,4504,배수 찾기
true,4539,반올림
true,4564,숫자 카드놀이
true,4597,패리티
true,4706,쌍둥이 역설
true,4792,레드 블루 스패닝 트리
true,4806,줄 세기
true,4811,알약
true,4883,삼각 그래프
true,4963,섬의 개수
true,4999,아!
true,5014,스타트링크
true,5032,탄산 음료
true,5052,전화번호 목록
true,5054,주차의 신
true,5063,TGN
true,5086,배수와 약수
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5354,J박스
true,5355,화성 수학
true,5361,전투 드로이드 가격
true,5363,요다
true,5393,콜라츠
true,5397,키로거
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5582,공통 부분 문자열
true,5586,JOI와 IOI
true,5620,가장 가까운 두 점의 거리
true,5635,생일
true,5637,가장 긴 단어
true,5670,휴대폰 자판
true,5671,호텔 방 번호
true,5675,시침과 분침
true,5698,Tautogram
true,5704,팬그램
true,5721,사탕 줍기 대회
true,5724,파인만
true,5789,한다 안한다
true,5883,아이폰 9S
true,5911,선물
true,5913,준규와 사과
true,5988,홀수일까 짝수일까
true,6064,카잉 달력
true,6321,IBM 빼기 1
true,6322,직각 삼각형의 두 변
true,6439,교차
true,6502,동혁 피자
true,6504,킬로미터를 마일로
true,6588,골드바흐의 추측
true,6603,로또
true,6996,애너그램
true,7287,등록
true,7354,트리의 순서
true,7507,올림픽 게임
true,7511,소셜 네트워킹 어플리케이션
true,7512,연속하는 소수의 합
true,7523,Gauß
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7571,점 모으기
true,7572,간지(干支)
true,7576,토마토
true,7662,이중 우선순위 큐
true,7795,먹을 것인가 먹힐 것인가
true,7806,GCD!
true,8393,합
true,8913,문자열 뽑기
true,8932,7종 경기
true,8958,OX퀴즈
true,8979,올림픽
true,8980,택배
true,8981,입력숫자
true,8983,사냥꾼
true,8986,전봇대
true,9009,피보나치
true,9012,괄호
true,9019,DSLR
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9204,체스
true,9237,이장님 초대
true,9243,파일 완전 삭제
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9251,LCS
true,9252,LCS 2
true,9375,패션왕 신해빈
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9489,사촌
true,9494,Text Roll
true,9498,시험 성적
true,9575,행운의 수
true,9577,토렌트
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,9734,순환 소수
true,9763,마을의 친밀도
true,9935,문자열 폭발
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10216,Count Circle Groups
true,10252,그리드 그래프
true,10367,Túnel de Rata
true,10419,지각
true,10420,기념일 1
true,10422,괄호
true,10429,QUENTO
true,10451,순열 사이클
true,10610,30
true,10757,큰 수 A+B
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10826,피보나치 수 4
